pc,kappa_0.0109158,kappa_0.109158,kappa_1.09158,kappa_10.9158,kappa_109.158
1.000000000000000000e+02,8.253677802703981992e-02,8.936134535370363063e-02,1.470714843601764465e-01,3.861584222103587316e-01,6.333678078195384975e-01
1.010000000000000000e+02,8.359668678043194467e-02,9.049449638589031342e-02,1.487394320887971688e-01,3.887278498583521813e-01,6.353359580542333740e-01
1.020000000000000000e+02,8.463431257527488649e-02,9.160368023192042020e-02,1.503703676810879408e-01,3.912319614845906623e-01,6.372508090577498896e-01
1.030000000000000000e+02,8.560014341923113945e-02,9.263606855913655846e-02,1.518877919559063761e-01,3.935589660758421204e-01,6.390291196280177832e-01
1.040000000000000000e+02,8.648545698285659000e-02,9.358213317145319676e-02,1.532752513857127685e-01,3.956720604407352182e-01,6.406382638963563636e-01
1.050000000000000000e+02,8.768553449626773078e-02,9.486404992702118788e-02,1.551491679611983476e-01,3.984976068345909006e-01,6.427790023720693080e-01
1.060000000000000000e+02,8.869777493984606909e-02,9.594516123166382804e-02,1.567276595781754989e-01,4.008689922904059566e-01,6.445723152146637380e-01
1.070000000000000000e+02,8.978866633675466891e-02,9.711005479126937068e-02,1.584258727423549784e-01,4.034082860218682343e-01,6.464880540634559969e-01
1.080000000000000000e+02,9.086222181508776807e-02,9.825596525526938962e-02,1.600908514847884101e-01,4.058727210472402591e-01,6.483378481164699947e-01
1.090000000000000000e+02,9.178715588044460139e-02,9.924303922726716853e-02,1.615227127396158258e-01,4.079816734714981075e-01,6.499169201949231978e-01
1.100000000000000000e+02,9.274467475059260113e-02,1.002648040267769824e-01,1.630039213334265047e-01,4.101589675753948838e-01,6.515455453491422189e-01
1.110000000000000000e+02,9.376135601403627617e-02,1.013493718914731251e-01,1.645723224601511048e-01,4.124474466183543075e-01,6.532510624828414825e-01
1.120000000000000000e+02,9.480714342681124951e-02,1.024648371093695304e-01,1.661836263990209561e-01,4.147907475600689509e-01,6.549945757022592741e-01
1.130000000000000000e+02,9.583655730047418997e-02,1.035626198476618381e-01,1.677668477990541251e-01,4.170821747719505868e-01,6.566954582830137888e-01
1.140000000000000000e+02,9.689083276574986248e-02,1.046866911363003722e-01,1.693853767150307610e-01,4.194134739420894431e-01,6.584218554363864273e-01
1.150000000000000000e+02,9.784736222025554320e-02,1.057062417931067533e-01,1.708498916757993091e-01,4.215079357761667977e-01,6.599674621412928710e-01
1.160000000000000000e+02,9.884060850492441819e-02,1.067646610021710379e-01,1.723671519620154080e-01,4.236648075067540042e-01,6.615544660236054586e-01
1.170000000000000000e+02,9.993185700396327309e-02,1.079274339274459565e-01,1.740330944373112976e-01,4.260292195260673709e-01,6.632928130054358551e-01
1.180000000000000000e+02,1.008400194415772638e-01,1.088948714981614746e-01,1.754163088474218202e-01,4.279804328858594076e-01,6.647231429127796742e-01
1.190000000000000000e+02,1.018363466646479837e-01,1.099562026197524051e-01,1.769334746798932045e-01,4.301193804693757561e-01,6.662906581075446200e-01
1.200000000000000000e+02,1.028813007083585196e-01,1.110688663186290004e-01,1.785186774585328373e-01,4.323323241114257476e-01,6.679047280693580779e-01
1.210000000000000000e+02,1.039004935426513371e-01,1.121538215811830747e-01,1.800612360396337819e-01,4.344728975509324354e-01,6.694615542795859797e-01
1.220000000000000000e+02,1.049491630580872414e-01,1.132699441947455921e-01,1.816457060571105009e-01,4.366619804990326537e-01,6.710503284150212133e-01
1.230000000000000000e+02,1.059985255509125757e-01,1.143866702718296241e-01,1.832295116360512233e-01,4.388440677604441009e-01,6.726319337115113095e-01
1.240000000000000000e+02,1.069212600739754826e-01,1.153684444210092142e-01,1.846197117480786465e-01,4.407506467421080099e-01,6.740108456140170290e-01
1.250000000000000000e+02,1.079167468559035920e-01,1.164274798649402726e-01,1.861176661678217714e-01,4.427985019309107484e-01,6.754897169972036153e-01
1.260000000000000000e+02,1.089228141548418405e-01,1.174973801385972294e-01,1.876265839631860999e-01,4.448441523646955997e-01,6.769611903772737582e-01
1.270000000000000000e+02,1.097402066684312893e-01,1.183664090118655421e-01,1.888496752954423596e-01,4.464925411637405417e-01,6.781436330302195170e-01
1.280000000000000000e+02,1.108035142619358260e-01,1.194968257659822369e-01,1.904399539720263712e-01,4.486331250643680324e-01,6.796782492820715449e-01
1.290000000000000000e+02,1.119017175974037354e-01,1.206642550094345345e-01,1.920813438428801145e-01,4.508388374634942908e-01,6.812583319106297886e-01
1.300000000000000000e+02,1.128144877379404359e-01,1.216343433629660936e-01,1.934428317921784435e-01,4.526591180245472246e-01,6.825592202675965225e-01
1.310000000000000000e+02,1.139578443721682988e-01,1.228492411567254361e-01,1.951450405901010987e-01,4.549241356282578974e-01,6.841743812560884264e-01
1.320000000000000000e+02,1.151240947816133953e-01,1.240878911733778317e-01,1.968741636433696540e-01,4.572012681295861691e-01,6.857904506770204911e-01
1.330000000000000000e+02,1.161997028078485400e-01,1.252302274290463258e-01,1.984683443725844820e-01,4.592988778465862398e-01,6.872785233085697554e-01
