profile_id,profile_type,profile_label,requested_center,signal_rank_centroid,sigma,pc_index,rank_fraction,eigenvalue,teacher_coefficient,teacher_aligned,signal_allocation,mc_mean_aligned,mc_std_aligned,mc_q10_aligned,mc_q90_aligned,theory_mean_aligned,theory_lambda_cv,mc_lambda_median
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,22,0.16796875,1.070867716082606,-0.07451946251172377,0.07451946251172377,0.005946689371367134,0.05529719491761976,0.051558478644716764,-0.013427527595735216,0.11996326233479625,0.055756982913607644,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,23,0.17578125,1.0243082501659708,-0.08168466557967037,0.08168466557967037,0.006834578584700843,0.06137534116554145,0.054876588537556684,-0.0027720547906822865,0.12809352669819382,0.060426580485913206,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,24,0.18359375,0.9816287397423887,0.08918157143401662,0.08918157143401662,0.00780723957137255,0.06357895193364488,0.05355943536113178,-0.002578686506487043,0.12420464832490877,0.06523432024116821,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,25,0.19140625,0.9423635901526932,-0.09698554819550124,0.09698554819550124,0.008864057158815615,0.07330480466589473,0.05965177692226605,-0.003040881891674681,0.15194725057772837,0.07015779839107403,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,26,0.19921875,0.906118836685282,-0.1050668843310782,0.1050668843310782,0.010002691309966807,0.077651277127712,0.04862410312813437,0.013650184280672703,0.14175065642463208,0.0751719575274009,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,27,0.20703125,0.8725588797710122,-0.11339081050046416,0.11339081050046416,0.01121890477318041,0.08134249258700368,0.055706656050044205,0.008153851769627225,0.14840090423301278,0.0802492457116147,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,28,0.21484375,0.8413960626363332,0.12191760686416347,0.12191760686416347,0.012506429344744961,0.08829349758443955,0.057362244992599544,0.01714562938633846,0.15874409104367473,0.08535982517750822,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,29,0.22265625,0.8123824053040459,-0.13060279974402458,0.13060279974402458,0.013856880858579054,0.08824454634365825,0.05514185296692491,0.02301889382080862,0.15560457298005198,0.09047182966248055,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,30,0.23046875,0.785302991793911,0.13939744971586135,0.13939744971586135,0.015259732085204892,0.09334811064741885,0.05719222841852733,0.02295800148242241,0.1681091638403666,0.09555166822394295,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,31,0.23828125,0.7599706372199139,0.14824853123470838,0.14824853123470838,0.01670235120583991,0.10035611068980771,0.05790256168880359,0.022382609039347696,0.17676137960209326,0.10056437223282666,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,32,0.24609375,0.7362215548067916,0.15709940179301896,0.15709940179301896,0.018170111446007636,0.10319829166210144,0.05582959946576198,0.02784919214455734,0.17505828288123568,0.10547398109785418,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,33,0.25390625,0.7139118107217374,0.16589035644380126,0.16589035644380126,0.019646574863214913,0.11205648779916906,0.05715915664038976,0.041576458488259624,0.18372980361802682,0.1102439611948359,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,34,0.26171875,0.6929144045240392,-0.17455926134308355,0.17455926134308355,0.02111375028015958,0.11205939329662534,0.060775082605339294,0.032940461561262256,0.19403428730810413,0.1148376514874932,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,35,0.26953125,0.6731168501090665,0.18304225784162004,0.18304225784162004,0.022552422069583425,0.11658957943721136,0.05928006063291722,0.04023539899804064,0.18863796853589476,0.11921872846171683,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,36,0.27734375,0.6544191598282592,-0.19127452664840497,0.19127452664840497,0.02394254309038169,0.1221378129193651,0.06180338727689844,0.04481135147464884,0.19852090312941703,0.12335168228286864,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,37,0.28515625,0.6367321555085765,0.19919109976174126,0.19919109976174126,0.02526368172975031,0.12646947623119636,0.061366119621278296,0.05247718049407396,0.20958467041108542,0.1272022955513364,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,38,0.29296875,0.6199760461530877,-0.2067277062777872,0.2067277062777872,0.02649550991672776,0.1306642887481385,0.06441047025774578,0.050432663930983425,0.21574591517267305,0.1307381156960863,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,39,0.30078125,0.6040792244568546,0.21382163689698805,0.21382163689698805,0.02761831633060404,0.1328144337694767,0.06264461633126481,0.051943046062722466,0.20807371725279175,0.13392891192501316,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,40,0.30859375,0.5889772438454333,-0.22041261100355347,0.22041261100355347,0.028613527010550113,0.12798595306515254,0.06175930208556304,0.04921476872334032,0.20630037425381517,0.1367471077538633,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,41,0.31640625,0.5746119452150569,-0.22644362963086015,0.22644362963086015,0.029464214329685545,0.13454973254167504,0.06175526033763836,0.05475123525647988,0.21085254617772983,0.1391681804651307,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,42,0.32421875,0.5609307084242221,0.23186179747407237,0.23186179747407237,0.030155574937047767,0.13465939682981076,0.06136425550160974,0.05973339462408659,0.21593414178591516,0.14117101940038054,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,43,0.33203125,0.54788580822831,-0.23661909738587236,0.23661909738587236,0.03067535785462816,0.14105661594446806,0.06619075990290442,0.062384207606628016,0.22632530655657537,0.14273823575275602,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,44,0.33984375,0.535433858041303,0.24067310149434434,0.24067310149434434,0.03101422544823849,0.1390863327968425,0.06406637009140666,0.05564240576197014,0.21751333130666275,0.1438564174830745,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,45,0.34765625,0.5235353278626074,0.243987604202619,0.243987604202619,0.031166032416803588,0.14285451477256397,0.06313297290107853,0.061863032390715555,0.22008318410292863,0.1445163241088058,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,46,0.35546875,0.5121541250829854,-0.24653316384331717,0.24653316384331717,0.03112801115469662,0.14729919486070434,0.06283091604971738,0.06370024791774094,0.22313510955339322,0.14471301738074127,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,47,0.36328125,0.5012572288046241,-0.24828754162980404,0.24828754162980404,0.030900855675420637,0.14441184838088605,0.0675323515700585,0.05516821098309648,0.24102000174744098,0.1444459252331722,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,48,0.37109375,0.49081436987119437,0.2492360287217826,0.2492360287217826,0.030488700541035193,0.1384056040472384,0.06128819120374972,0.06062121518454255,0.2194580851205786,0.14371883783233816,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,49,0.37890625,0.48079775007790465,0.24937165464570607,0.24937165464570607,0.02989899569111127,0.14069558184146097,0.06745810411524321,0.06230353298575967,0.23018526706398987,0.1425398360150557,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,50,0.38671875,0.4711817950763466,-0.2486952729136187,0.2486952729136187,0.02914228246573545,0.14547024214167537,0.0631603210368799,0.061670901559555534,0.2225367517573342,0.140921153864239,0.2610157215682536,0.2610157215682536
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,1.0,51,0.39453125,0.4619429363493594,0.2472155223941978,0.2472155223941978,0.028231880230469016,0.13603515282795178,0.06718061561059994,0.055925973364794566,0.22205536946660004,0.13887897857045056,0.2610157215682536,0.2610157215682536
