map_index,theta,low_fraction,trace_g,trace_g2,effective_rank_g,max_eigenvalue_g,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,mc_alpha_cv_mean,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,de_gen_error_normalized,de_r2_gen,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_r2_gen,mc_r2_gen_se,de_slope_acc,de_acc_error_normalized,de_r2_acc,mc_moment_slope_acc,mc_moment_acc_error_normalized,mc_moment_r2_acc,mc_slope_acc,mc_slope_acc_se,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_r2_acc_median_ci_low,mc_r2_acc_median_ci_high,mc_denominator_mean,mc_denominator_cv,gaussian_slope_acc,gaussian_acc_error_normalized,gaussian_r2_acc_median,gaussian_r2_acc_q25,gaussian_r2_acc_q75,gaussian_denominator_mean,gaussian_denominator_cv,gaussian_variance_scale_per_coordinate,delta2_slope_acc,delta2_acc_error_normalized,delta2_r2_acc_mean
10,0.39269908169872414,0.14644660940672624,52661.12402630407,1754581213.113087,1.5805446695701286,41786.297404562865,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.4269014596900674,0.32844193690537554,-0.8022014096838412,0.4403171619398984,0.31324487921900984,-0.6156703463412256,0.5396125436161251,0.00881095058355219,0.2506954022383279,0.0087427757095445,0.37544821532092376,-1.6807184413776846,0.8190324967525314,0.27408421351697554,0.49390015319606345,1571.1929164315388,0.584148068017422,0.5371696482460723,0.2557879834537546,0.4022866351526231,-1.8661872249540368,0.8363646624438259,1620.7222892156906,0.6447582023350319,0.017640052641227234,0.6043663021882575,0.23228629417323962,-3.0832405797424074
11,0.43196898986859655,0.17527597583490817,60885.429739572544,2509546986.539753,1.4771732007631422,50010.603117831364,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.39182745313918504,0.3698738467551702,-1.409150334689207,0.40558715038643967,0.3533266357857131,-1.1478700558027772,0.5176285124878917,0.009201717440428948,0.27493338228753783,0.009389384868273709,0.2188749600445265,-2.684548289729821,0.7966332709773056,0.08303613922416486,0.3835467600826751,1705.7325538149923,0.6436334031241365,0.5153440746373972,0.2799962571964808,0.24931812018282556,-2.8777786456056695,0.8180094085733898,1765.7994749352924,0.7077401955894419,0.017640052641227234,0.5880892093881946,0.24657158127089512,-4.671686424131364
12,0.47123889803846897,0.2061073738537634,69680.8655846924,3466636780.842646,1.400614871296596,58806.038962951265,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.3601802219281592,0.4093693484118997,-2.1555538728183827,0.37403629212870654,0.39183056357197793,-1.8007272863496042,0.4973974121208823,0.009525504947400324,0.29788624834975735,0.009949388227338868,0.03950412428743921,-3.9311981801639044,0.7762193953294958,-0.15176469217906763,0.2386826980088335,1849.6151854300533,0.6977598162577398,0.49530664089953325,0.3028275197651929,0.06400776869641006,-4.1360285950781766,0.797917786044006,1920.9514262457435,0.7646357857836293,0.017640052641227234,0.5707633941132508,0.2600923263517152,-6.662360183442008
13,0.5105088062083414,0.23875071764202552,78993.20477489922,4648600004.547149,1.3423237952298357,68118.37815315803,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.33180584630886506,0.446483427027012,-3.0554334149209925,0.3455740242595493,0.42827335772384095,-2.5862360961702486,0.4788069294352794,0.009793321452611756,0.3195008801967005,0.010433148402414022,-0.19075475573370848,-5.304202348105187,0.7518378443883265,-0.4302554543424921,0.07334426607547834,2001.9537270069854,0.7466428163682222,0.47692868174992886,0.32425332970149195,-0.15516803061810758,-5.66108563780085,0.7763392114876468,2085.2215797739555,0.8156901410725526,0.017640052641227234,0.552570763604848,0.27344438828743717,-9.09885891036308
14,0.5497787143782138,0.2730047501302265,88765.03364241838,6075370912.054462,1.2969136060328548,77890.20702067728,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.30647128933700873,0.48098207251387104,-4.120935413981001,0.32002050984830205,0.4623721070269632,-3.514773855845595,0.4617374051030763,0.010014504673556007,0.33977148268965063,0.010850506809962716,-0.42138188839853374,-6.91968910423427,0.7350705235543449,-0.7817582720423908,-0.11596487583236892,2161.808960779261,0.7905664131982469,0.46007876110646134,0.34428837691661474,-0.4102444946365632,-7.471940849576608,0.752743227488014,2257.597155398057,0.8613029634010242,0.017640052641227234,0.5338228984083646,0.28699820036015233,-12.01924484829625
15,0.5890486225480862,0.3086582838174551,98936.1056128188,7763275419.874922,1.2608535011873303,88061.27899107766,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.28390822270237964,0.5127874335132646,-5.361820800643867,0.297149984829663,0.4939981438249429,-4.594662494266686,0.44607006576877156,0.010196871517684973,0.35872249022275243,0.011210385359141357,-0.6851988612632093,-8.880543642737884,0.7010286346532177,-1.158972070567648,-0.33899673634604743,2328.1953260734135,0.8299027320480036,0.4446298472174076,0.3629736729440415,-0.7041576056971633,-9.586149028188402,0.7274306375875582,2437.0154003736316,0.9019448275565889,0.017640052641227234,0.5148671934738076,0.3009253449718804,-15.4545036590318
16,0.6283185307179586,0.3454915028125263,109443.71264517836,9724311854.23186,1.2317505256012309,98568.88602343721,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.263840981123816,0.5419301010727458,-6.785002702456951,0.27671965297035767,0.5231344603993198,-5.831771315469549,0.4316915077550989,0.010346926759032277,0.37639693014270525,0.011520667468643778,-1.0144539928109122,-11.154512454140256,0.6561395850324923,-1.580483701207968,-0.5833570999544905,2500.0869956183255,0.8650588990839829,0.4304629363188648,0.38036535283294376,-1.0394021149668446,-12.015101960665096,0.7002274715135544,2622.3701415577834,0.9381040703036942,0.017640052641227234,0.4960299847582351,0.3152470849836003,-19.427147069451753
17,0.667588438887831,0.3832773180720473,120223.07184800852,11965525296.39441,1.2079358529229587,109348.24522626729,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.24600324766069992,0.5685111025382118,-8.394145218008159,0.258487875649306,0.5498402305590792,-7.229172351761047,0.41849595042727017,0.010470072448741161,0.39284854579334627,0.011788217913775434,-1.3601900586830307,-13.668367968394868,0.640143936278409,-2.0614364700538146,-0.8688843802064642,2676.424200111471,0.896443688884508,0.41746862395691126,0.396527295436808,-1.4134184745330411,-14.78428641500159,0.6705628700442621,2812.5186053344046,0.9702550737520176,0.017640052641227234,0.47758822256362166,0.32988503361193444,-23.94999825592116
18,0.7068583470577035,0.4217827674798846,131207.72488732325,14488492967.325436,1.1882165459811425,120332.8982655821,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.2301471463864194,0.5926734162169731,-10.189334549677627,0.2422248587107109,0.5742231647560021,-8.78685797332369,0.4063861724216481,0.010570795947264459,0.40813649804461394,0.012018965309038749,-1.7567080324053486,-16.442851050287494,0.6163327346651981,-2.61873127358359,-1.184242916766217,2856.119762049078,0.92444786101973,0.4055475109809494,0.41152632101801195,-1.8300959539925792,-17.87664498702336,0.6387349805193991,3006.288463193533,0.9988408603665102,0.017640052641227234,0.45975998023856846,0.3447043079937732,-29.02519394521762
19,0.7461282552275759,0.4607704521360774,142329.94772436732,17288935426.43663,1.1717213072729031,131455.12110262612,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.2160474438312337,0.6145816103235427,-12.16683206413098,0.22771830885175925,0.5964190104827867,-10.501528982350612,0.395273682789522,0.010652830459677054,0.42232183433145665,0.012218007129192257,-2.1714978420799067,-19.572845206917624,0.5800292825132043,-3.2235338137914002,-1.5286389070839872,3038.0657985369644,0.9494336190175865,0.3946099689973434,0.4254291198580622,-2.2829264424216706,-21.27939837640953,0.6045055345311042,3202.48505952645,1.0242648780272607,0.017640052641227234,0.4427058741979885,0.3595459865776941,-34.64343200926665
