sigma,noise_signal_ratio,signal_power,grid_alpha_cv,grid_kappa_final,mc_kappa_median,mc_kappa_q25,mc_kappa_q75,oracle_kappa,oracle_alpha,oracle_interior,oracle_gen_error,grid_df_11,grid_df_22,grid_df_12,grid_B_11,grid_B_12,grid_df_23,grid_B_23,grid_h,grid_limbo_count,grid_b2_acc_average,grid_b2_gen_average,grid_z_direct,grid_z_simplified,grid_stationarity_residual,grid_z_reconstructed,grid_slope_acc_leading,grid_r2_acc_leading,oracle_df_11,oracle_df_22,oracle_df_12,oracle_B_11,oracle_B_12,oracle_df_23,oracle_B_23,oracle_h,oracle_limbo_count,oracle_b2_acc_average,oracle_b2_gen_average,oracle_z_direct,oracle_z_simplified,oracle_stationarity_residual,oracle_z_reconstructed,oracle_slope_acc_leading,oracle_r2_acc_leading,mc_z_mean,mc_z_median,mc_z_q25,mc_z_q75,mc_r2_mean,mc_r2_median,mc_r2_q25,mc_r2_q75
3.0,0.0013277659104370839,6778.303260577998,15.848931924611142,0.05738709171074025,0.057387092211223206,0.054844963354329465,0.0601985415103514,0.057912817687038924,16.20840504350176,1.0,7.587902642874467,723.8240961138488,317.1995764973191,7085.644305972526,601.6585384564007,706.4460396415537,1844.141259986754,523.194568608938,682.8004235026809,406.6245196165298,0.09970103058180421,0.2837063407022822,0.12797652784550312,0.12435803043132888,0.20979386574629366,0.12797652784550312,0.8865432704615358,0.9836220083206092,720.1240469581011,315.27478025258597,6990.667746358361,601.2880202974023,703.1095688079147,1817.1802117974673,520.4928656855966,684.725219747414,404.84926670551505,0.10057831301940856,0.28642886506603,0.12513380804705665,0.12513380804705665,0.0,0.12513380804705665,0.8887831765856749,0.9843415300836423,0.13010323324070772,0.1301479990382408,0.11301832200659195,0.14417954622913265,0.9826260595800346,0.9830614107885316,0.9792119994178545,0.9872267943412291
5.0,0.003688238640103011,6778.303260577998,39.81071705534978,0.09022809125373069,0.08453948691269968,0.079397772891425,0.09022809318687544,0.08778087309992649,37.94086583244741,1.0,13.501784381458775,558.7769119109706,233.73398594850096,3602.45818620296,581.2237319737486,553.653792118971,883.1563422297542,398.12557774151026,766.266014051499,325.0429259624698,0.15368777748466517,0.4507985264945733,0.15272648786958679,0.16615589123508698,-1.6602774616961398,0.15272648786958676,0.8675084770960295,0.976674619903021,567.7775295165163,238.15490758988318,3755.062011645782,582.5890949783015,562.2484951282262,923.839070277605,405.2073239975482,761.8450924101169,329.6226219266331,0.14973081493314724,0.4386124564701374,0.1634461148186507,0.16344611481860807,5.03419528286031e-12,0.16344611481865068,0.8595155265578178,0.9732853675506885,0.16832754597857932,0.16414214119824866,0.1445861231682402,0.19132621393550492,0.970761240338648,0.9730573570238841,0.9633932424076834,0.9790947871256386
8.233044840382567,0.009999999223695108,6778.303260577998,79.43282347242821,0.13973891756842338,0.13973891721632767,0.12923396783275704,0.13973891721632767,0.13681788520191057,77.02080435936385,1.0,24.269304341301474,431.5626251109767,172.98876685077227,1850.4069071065571,557.2396167274503,427.6199464458786,429.4868309233143,294.6645631231251,827.0112331492278,258.5738582602045,0.2310950876823839,0.6860852112500232,0.1984602964457114,0.21112740047467657,-3.1547393995259085,0.1984602964457114,0.8344039456006281,0.9606135107346804,437.0560234453302,175.5421221153769,1911.4014293089028,558.4969053038299,433.2595095904337,444.78267831799934,299.25387731197645,824.457877884623,261.5139013299532,0.22667112357820382,0.6728091985138495,0.20890233661146937,0.20890233661148924,-4.803268893738277e-12,0.2089023366114693,0.8271966805879302,0.9563598137582684,0.21113004294867913,0.20336561698798983,0.1810917807852923,0.2375767236300788,0.9533679548324453,0.9586300500991252,0.9435565214599874,0.9672058214905317
10.0,0.014752954560412044,6778.303260577998,100.0,0.16432172272468756,0.1643217227247405,0.15139111907174044,0.1643217227247405,0.1643087941868236,99.98906949388162,1.0,30.601098502519008,391.43773360053683,154.54004993012472,1441.6699127924905,547.2603752414138,385.8285169261548,328.19075795163366,260.88127608351834,845.4599500698753,236.89768367041214,0.2676261143432004,0.7949074425854646,0.22819789902902698,0.228249167954373,-0.0164541488895793,0.22819789902902696,0.8142010345324375,0.947925718878738,391.45637341729076,154.54853653857117,1441.8451431720014,547.2653635671043,385.8481792533319,328.233700480642,260.8970631216492,845.4514634614288,236.90783687871956,0.26760722611617044,0.7948515424821099,0.22824084769832673,0.22824084769899397,-2.141149479939486e-10,0.22824084769832673,0.8141725638533838,0.9479061154419492,0.23486054075057392,0.2314462974773953,0.20599859283991856,0.27155429825587124,0.9420763829556197,0.9464310950696522,0.9262582477912373,0.9575638456293621
14.260051964535403,0.029999997671085327,6778.303260577998,158.48931924611142,0.23204310351409677,0.2320431030606505,0.21234288368494608,0.2320431030606505,0.23293838645978018,159.2761605520512,1.0,46.78548215972247,316.9832809252908,121.29038895232917,843.3471583915148,524.0753658055497,305.4537697260449,184.51501002674837,197.50368646685294,878.7096110476708,195.69289197296163,0.362192208376709,1.0703936034159045,0.2672747480071281,0.2644466581280367,1.5442796354280972,0.267274748007128,0.7890948680012484,0.9285642090777262,316.23051497545987,120.96106614773467,838.2879773293228,523.8022704426196,304.6231050389939,183.32916241960817,196.86304538376254,879.0389338522654,195.26944882772523,0.3633871811086732,1.073822859306899,0.2648449446246673,0.26484494462403374,3.4799541026586667e-10,0.2648449446246673,0.7906107418540081,0.9298571553067569,0.2796552141557195,0.26685612118038404,0.23607508300560676,0.3303869353033767,0.9172751560558313,0.928783125554019,0.8908443937242261,0.9442683822243443
20.0,0.059011818241648174,6778.303260577998,251.18864315095823,0.3357172985650772,0.3357172999527891,0.3054840912560503,0.3357172999527891,0.33069347094641793,246.63612219799393,1.0,70.05230668112594,251.7852245785705,93.31157460166452,472.0449338007128,496.54085876513835,232.43964670615114,99.21768178970709,142.67717033002225,906.6884253983355,158.473649976906,0.4924100018077562,1.4380216082091901,0.2897145712350166,0.30179696208613754,-11.523452135479545,0.2897145712350166,0.7753653578112333,0.9160654672141105,254.18508719830083,94.32121821017103,483.420094538342,497.71539617554623,235.1575569199877,101.77042528043866,144.6579003150029,905.6787817898289,159.8638689881298,0.4864455565186201,1.4214139315659091,0.3003074909177357,0.3003074909177344,1.1937117960769683e-12,0.3003074909177357,0.7690488649682518,0.9098154108986941,0.3155395412712241,0.3013158757211709,0.2550058816957749,0.35944329760513344,0.8919347164369049,0.9092084599401894,0.8708000562613138,0.9349688430806198
26.035173773906333,0.09999999223695111,6778.303260577998,354.81338923357606,0.448823655511794,0.42791951198058326,0.40695265800955527,0.4488236509416739,0.43954664897378143,346.24465688964204,1.0,95.74705833519737,209.45925002775962,75.77695089984398,297.8503861956153,473.1754278283113,184.38953557601337,60.75888885594529,108.57470513937074,924.223049100156,133.68229912791563,0.6190676397341123,1.7869764767554113,0.3120558081993934,0.32995952309143933,-26.287177906939064,0.31205580819939344,0.7621627020365507,0.9026211725690234,212.26869162118157,76.9243643801358,307.91800496497234,474.9007126679924,187.57700867450885,62.94507722838228,110.77978868501077,923.0756356198642,135.3443272410458,0.609178435979562,1.7599436455224422,0.3279623275845771,0.32796232758418326,5.605897968052886e-10,0.327962327584577,0.7530334100809125,0.8924407116853066,0.34154940516602295,0.3230283329360978,0.2772700429287014,0.399433975664408,0.8739847725158014,0.8956526270162212,0.8404525127077866,0.9231121837988322
30.0,0.1327765910437084,6778.303260577998,398.1071705534977,0.4955315444985753,0.49553155222458967,0.4488236509416739,0.5476538171899435,0.5141195552946817,415.40102140485976,1.0,113.13009671172176,196.6057963951832,70.55863532991145,254.36758257805357,464.9120405516259,169.83489450612268,51.377921267357316,98.61757853786364,929.4413646700885,126.04716106527178,0.6676750739415006,1.9194544291639097,0.37332832365692936,0.33938298052829224,57.664858556252625,0.3733283236569295,0.7281579959970371,0.860625962755507,192.01474223877491,68.70736928762203,239.8418260524556,461.8038067562064,164.65182852609288,48.267881911228685,95.11726088884338,931.292630712378,123.30737295115287,0.6865017300613865,1.9706118669921582,0.34287341344360023,0.3428734134460459,-4.385469765111338e-09,0.34287341344360023,0.7446718283264302,0.882437822353534,0.39030954711706,0.3730810470626805,0.30785310269744703,0.45737188875382395,0.8318524332824494,0.8608106564897167,0.7907706573748091,0.9052250604290234
40.0,0.2360472729665927,6778.303260577998,630.9573444801943,0.7433861141234219,0.6708106330888757,0.6058380735846361,0.7433861056220565,0.7116935071758994,600.9574835117606,1.0,158.27038477530814,151.23872709917046,52.573872672971504,132.72356390802585,429.7914212712338,119.32635774965472,25.78298911404421,65.60788658722151,947.4261273270286,98.66485442619899,0.8990593247808274,2.5446191012617834,0.3366142784890821,0.3777621138083168,-126.24147435267628,0.3366142784890813,0.7481589985185606,0.8866908275172747,155.59510175040796,54.26987998136384,142.37199123976407,433.6476165109406,124.0835399969469,27.770127324466717,68.6073316163912,945.7301200186362,101.32522176904412,0.8715445988809822,2.4705443664259,0.37361903971412935,0.3736190397141297,-9.094947017729282e-13,0.37361903971412935,0.7280038868768992,0.8604088131630918,0.4008082486647342,0.3873317556376754,0.2944868544284329,0.47726674872369673,0.8163405042256816,0.8499695039784305,0.7721884270166712,0.9132726729604475
45.09424376029051,0.2999999767108532,6778.303260577998,707.9457843841387,0.8244781228214424,0.8244781400588139,0.7433861056220565,0.9151114776124402,0.8170148868480412,700.8475647172618,1.0,181.82247537588438,141.34072840952786,48.746475252499195,112.30650103869624,420.56205537844346,108.62479706049524,21.60905438451459,58.94960107313601,951.2535247475008,92.59425315702865,0.9672173565719723,2.7280046606472648,0.3786265586586137,0.3876687953755574,-32.21049069781702,0.37862655865861344,0.7253595933716723,0.8566419290783354,142.18507398187188,49.07153436426029,113.96798408023382,421.3761218204856,109.53137575586142,21.947040180944587,59.508793164458964,950.9284656357397,93.1135396176116,0.9610714503711059,2.711472375037031,0.38679464119159057,0.3867946411899908,5.624315235763788e-09,0.38679464119159046,0.7210872974968804,0.8503899055454687,0.3935832351556791,0.4181368785996008,0.28759958704197625,0.4857769477402681,0.8259441896800083,0.8251593303325966,0.7640207531500863,0.9172864550826046
60.0,0.5311063641748336,6778.303260577998,1000.0,1.1297399757476025,1.1297399757476025,1.0164355973896837,1.256470858188562,1.1408127446899439,1010.6459284936756,1.0,252.30263801614072,114.84056378703202,38.68750982629513,67.40759430978159,392.03078383308986,80.91684545060421,12.6095160303683,42.31199817000481,961.3124901737049,76.15305396073688,1.2004114117875038,3.355560837394721,0.42920113317339614,0.41864368123599555,59.02487023340154,0.42920113317339625,0.6996915806941751,0.8157863872826727,114.10007190237488,38.410589276875655,66.34698198964327,391.13897502474464,80.16683354793207,12.400552713145233,41.87425337948404,961.5894107231244,75.68948262549921,1.208296611900841,3.376805401189509,0.41962913135877167,0.4196291313585494,1.260104909306392e-09,0.41962913135877167,0.7044093262885276,0.8239113921150827,0.4697495741635461,0.43806178033923737,0.3290340448672302,0.5658127299622733,0.7322854000413844,0.8081018589036779,0.6798335960912621,0.8917361691769851
82.33044840382567,0.999999922369511,6778.303260577998,1584.893192461114,1.734459644213601,1.7344596401135532,1.3982508052474323,1.9332208408778764,1.6631543509926732,1515.627983836334,1.0,360.96930728322695,86.23230425191015,28.169480501641385,33.4760303844338,352.5881539155781,53.212291965975716,6.039320368369493,26.614531712735744,971.8305194983586,58.06282375026875,1.5895639762210034,4.406875292148342,0.41608755903535327,0.46394369342735714,-489.84864662914606,0.4160875590353531,0.706171022843535,0.8268711432160014,88.70275153252396,29.062394126581072,35.859784974464844,356.4625359167891,55.488213112010996,6.491662179906149,27.86617025481348,970.9376058734189,59.64035740594289,1.547366029983817,4.2926094246044615,0.4593113741979398,0.45931137419641455,1.472199073759839e-08,0.4593113741979399,0.685254715121792,0.7890330615324002,0.5040163102362772,0.42746008389108325,0.33613418341550916,0.6081027449766723,0.6539883683704824,0.8172300196336624,0.6302111530428259,0.887006744263382
100.0,1.4752954560412044,6778.303260577998,1995.262314968883,2.155752950721886,2.1557529652014025,1.9332208408778764,2.4049387625594574,2.1036402326764834,1944.4093213001452,1.0,448.73054129697755,74.44760110348477,23.953607288736013,23.42290372272949,332.5334592819713,42.7214076500188,4.152653744100036,20.938710273658653,976.0463927112639,50.493993814748755,1.8239159480710376,5.042248057259226,0.4590365785372015,0.48869200099758553,-410.93127239757996,0.45903657853720164,0.68538377632902,0.7892854195648596,75.69303386717756,24.395640263805912,24.3850601479063,334.78766393776635,43.799736105756025,4.3315758482968505,21.514833266185494,975.604359736194,51.29739360337165,1.796170927612687,4.966975996656043,0.4858423806689213,0.48584238066943464,-6.8757799454033375e-09,0.4858423806689213,0.6730188968965896,0.7639571811459549,0.5352738468972583,0.4953174117136362,0.3270180627434452,0.6550286163786038,0.6214195710143331,0.7546535139997705,0.5709367633441631,0.8930411981792286
142.60051964535404,2.999999767108533,6778.303260577998,3162.2776601683795,3.3467768603266057,3.346776786789601,2.9966012524764296,3.7391050390246696,3.2504591000201737,3067.6359883597083,1.0,664.3219884257,55.127427927842554,17.211302232781037,11.329146602071745,292.30957658383295,27.059177553457282,1.9434513076707753,12.774296747682554,982.788697767219,37.91612569506151,2.388456827675706,6.572995524643495,0.5040700896146263,0.5427858268084359,-981.7333256357742,0.5040700896146262,0.6648626330015116,0.7459133447559025,56.245319825538154,17.595237150775315,11.890653438624398,294.9562226942345,27.905540640677167,2.044010645329244,13.205103874397443,982.4047628492247,38.65008267476284,2.3468466880072065,6.46038899287161,0.5390249058551682,0.5390249058551271,9.968061931431293e-10,0.5390249058551679,0.6497620644055426,0.7094521508678271,0.5363394325644325,0.4471849094341851,0.33830984414281196,0.677673516097971,0.6033672128544705,0.8000193118966479,0.5407199998226163,0.885544873433103
180.0,4.779957277573502,6778.303260577998,3981.0717055349774,4.178709443629392,4.178709516493439,3.346776786789601,5.223438041982325,4.345015475594849,4144.994703370063,1.0,856.3485709333078,47.29635806474224,14.54454245220481,7.8377824671368,272.3409663848111,21.36566560959187,1.3243417761653518,9.910892335713532,985.4554575477952,32.75181561253743,2.7259834907611187,7.4836364102404485,0.6292792804869266,0.5721569297329476,1955.9729259808191,0.6292792804869272,0.6137683158292788,0.604007587149856,46.03453620551322,14.118663115360988,7.345399175081838,268.8615839514297,20.488909443153062,1.2380085476107556,9.475603487338452,985.881336884639,31.915873090152225,2.7893527573911308,7.65390796826525,0.5774589454871821,0.5774589454860328,4.1465682443231344e-08,0.5774589454871819,0.6339309196355409,0.6665411662768317,0.6901404012987811,0.5703260736581456,0.3759162682909603,0.9083307459495598,0.2967966543526391,0.6747242213172134,0.1743208815212241,0.858685380308963
260.3517377390633,9.999999223695108,6778.303260577998,7079.457843841388,7.313435414424773,7.313435579960251,5.842244758498887,8.185141107634427,6.945249815383035,6714.82324737401,1.0,1272.0111832664354,31.99284020774893,9.453280756585114,3.0819386750455946,223.5426006147254,11.597355625225108,0.5045507394499743,5.157127975502474,990.5467192434149,22.539559451163814,3.763006616299247,10.221227663097695,0.5726436921221287,0.6511754664783219,-5642.306579500844,0.5726436921221287,0.6358719429005548,0.6720792018727366,33.17757807626344,9.84166717118362,3.359981501801865,227.9362231203526,12.28104317309707,0.551417755237909,5.482621265549776,990.1583328288164,23.335910905079814,3.6550924957506723,9.942772450597461,0.643727167264909,0.6437271672633038,1.0781513992697e-07,0.6437271672649089,0.6083734697066283,0.5856153341250959,0.6776326935671115,0.6231898717310108,0.35731664281534836,0.7992451141442044,0.26080861398927363,0.6115488000167817,0.36119391828391295,0.872311824431014
