s_left,s_right,s_center,mode_count,mean_teacher_power,total_teacher_power
0.5948336736934219,0.7822255918861323,0.682124711822288,13,2.7316003834762537,35.5108049851913
0.7822255918861323,1.028652047894944,0.897016140885717,13,1.3093750724027198,17.021875941235358
1.028652047894944,1.3527108376588244,1.1796053464474612,8,3.249196200424084,25.99356960339267
1.3527108376588244,1.7788586666057153,1.5512193258791216,8,4.652927285169904,37.22341828135923
1.7788586666057153,2.3392568963481373,2.039903773094719,7,5.616210811490963,39.31347568043674
2.3392568963481373,3.0761987615091435,2.6825396860806854,5,0.14569040204009648,0.7284520102004823
3.0761987615091435,4.045301238646894,3.5276267745124312,4,8.60381062029973,34.41524248119892
4.045301238646894,5.319702457512812,4.638943731132067,3,9.690209250501374,29.07062775150412
5.319702457512812,6.995581433123041,6.100361607438992,3,16.11097845990757,48.33293537972271
6.995581433123041,9.199416692627693,8.022173558986895,3,10.075776227425445,30.227328682276337
9.199416692627693,12.097531605291568,10.549418665941282,1,0.004758572537691075,0.004758572537691075
12.097531605291568,15.908646801303371,13.872828027341367,1,0.05401834869980249,0.05401834869980249
15.908646801303371,20.920387010017716,18.24321923041399,1,1.9229495480806378,1.9229495480806378
20.920387010017716,27.510988088129537,23.99042554503061,2,44.71142212555404,89.42284425110807
36.17784246643171,47.575037339014735,41.48689198030483,1,4.42962195976088,4.42962195976088
47.575037339014735,62.56271860072267,54.556609805409025,2,33.746032793996285,67.49206558799257
108.19035884588685,142.27383422851565,124.06714786583646,1,0.5538996332784905,0.5538996332784905
