p,n,gamma,n_trials,n_surrogate,map_index,theta,low_fraction,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,trace_g,trace_g2,effective_rank_g,max_weight_fraction_g,de_denominator_cv,mc_denominator_cv,de_gen_error_normalized,de_r2_gen,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_r2_gen,mc_r2_gen_se,de_acc_error_normalized,de_r2_acc,de_slope_acc,gaussian_acc_error_normalized,gaussian_r2_acc_median,gaussian_slope_acc,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_r2_acc_median_ci_low,mc_r2_acc_median_ci_high,mc_slope_acc,mc_slope_acc_se,mc_moment_acc_error_normalized,mc_moment_r2_acc,mc_moment_slope_acc
1000,1000,1.0,2000,100000,35,1.3744467859455345,0.9619397662556434,0.01,4.166947281934958,10.0,0.10512492197250405,15273319.998465925,349498975445.10516,667.4534695801389,0.01796769398267101,0.054726379337889715,0.09918164950935694,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.9994515903763217,-13289005.379998628,0.0002742424162905707,0.9994499549296959,-13216232.526220117,0.000275060478257352,0.9994487816971785,1.3377075260151415e-06,-13296335.111524915,-15375238.461015904,-11435546.695035443,nan,nan,0.00027564758960032886,6.690415570853673e-07,0.9994546303055797,-13437627.30103733,0.0002727220358645727
1000,1000,1.0,2000,100000,36,1.413716694115407,0.9755282581475768,0.01,4.166947281934958,10.0,0.10512492197250405,15277196.459357977,351641608342.3679,663.7233083935345,0.018216876471037695,0.054879949948518844,0.09928310464529227,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.9994517294770823,-13295752.072326435,0.00027417284683388355,0.9994500862869725,-13221716.082702903,0.0002749947820220904,0.9994489219809,1.3382930933688244e-06,-13301063.239575215,-15394054.311124166,-11439349.594683412,nan,nan,0.0002755774287941107,6.693343663970235e-07,0.9994547788751763,-13444954.648259193,0.00027264773080434
1000,1000,1.0,2000,100000,37,1.4529866022852793,0.9861849601988383,0.01,4.166947281934958,10.0,0.10512492197250405,15280236.553068783,353342983700.4983,660.7903365519979,0.018412208047800145,0.05500161238108403,0.09936364986300827,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.9994518385167493,-13301044.327593876,0.0002741183120498195,0.9994501891798269,-13225751.907795323,0.00027494332181851605,0.9994490318517144,1.3387596665902177e-06,-13307341.378795534,-15405846.36550023,-11443042.474035244,nan,nan,0.00027552247855759226,6.69567674005031e-07,0.999454895333466,-13450702.478436189,0.0002725894857808541
1000,1000,1.0,2000,100000,38,1.4922565104551517,0.9938441702975689,0.01,4.166947281934958,10.0,0.10512492197250405,15282421.536409676,354577216927.5359,658.678552559819,0.018552549221345905,0.055089713889443066,0.09942206934366674,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.9994519168592125,-13304848.640227392,0.0002740791300784728,0.9994502630643964,-13228663.00986702,0.0002749063696455538,0.9994491107393046,1.3390989590501502e-06,-13311978.893861081,-15410255.908232234,-11447295.110234108,nan,nan,0.0002754830241197839,6.697373358063153e-07,0.9994549790039201,-13454834.331220038,0.0002725476391477906
1000,1000,1.0,2000,100000,39,1.5315264186250241,0.9984586668665639,0.01,4.166947281934958,10.0,0.10512492197250405,15283737.938231785,355325423071.13684,657.4048187871427,0.018637082155483386,0.05514305790164298,0.09945747904285823,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.999451964047922,-13307140.913006604,0.00027405552925550855,0.999450307551206,-13230360.558738638,0.0002748841202886966,0.9994491582354099,1.339304962673976e-06,-13314862.852077842,-15414122.44052467,-11449994.98156301,nan,nan,0.00027545926966146274,6.698403471919694e-07,0.9994550294010311,-13457323.983061641,0.00027252243372283996
1000,1000,1.0,2000,100000,40,1.5707963267948966,1.0,0.01,4.166947281934958,10.0,0.10512492197250405,15284177.64248012,355576110890.6707,656.9791362578804,0.018665314583438064,0.055160920076268556,0.09946934225913122,0.09512492197250388,0.9048750780274961,0.09559138278913099,0.00021834815275060637,0.9044086172108688,0.0002183481527506064,0.9994519798080743,-13307906.621448904,0.0002740476470193151,0.999450322406173,-13230877.898850642,0.0002748766908176947,0.999449174094721,1.3393740370189962e-06,-13318269.234931212,-15415414.072220057,-11450717.501768615,-13476329.24245712,-13187036.564713014,0.00027545133786733347,6.698748875943638e-07,0.9994550462325867,-13458155.627338225,0.0002725140156509617
1000,1000,1.0,2000,100000,0,0.0,0.0,0.1,13.177044300762265,100.0,0.37015621187164255,14998902.357858226,274189159527.27835,820.4812777004908,0.0025045535579648528,0.04936844938213684,0.05462728408669167,0.2701562118716424,0.7298437881283576,0.2699940616910827,0.00036201508520315224,0.7300059383089174,0.00036201508520315224,0.9998033141096001,-103367838.23473717,9.834778134299497e-05,0.9998027937547084,-103167642.18026572,9.860799824383735e-05,0.9998025448111258,2.9862616936035184e-07,-102996731.37784013,-112748016.61302356,-94268432.30617787,nan,nan,9.873249077716281e-05,1.4932795487848806e-07,0.9998032353499856,-103285091.84212199,9.838716502428977e-05
1000,1000,1.0,2000,100000,1,0.039269908169872414,0.001541333133436012,0.1,13.177044300762265,100.0,0.37015621187164255,14999342.062106565,274189360517.27597,820.5287829974125,0.0025044801372217916,0.049367020348583646,0.054626749148942194,0.2701562118716424,0.7298437881283576,0.2699940616910827,0.00036201508520315224,0.7300059383089174,0.00036201508520315224,0.9998033198747304,-103373899.09851895,9.834489849432085e-05,0.9998027995469609,-103172511.56763375,9.860510183051544e-05,0.9998025507322862,2.986156821230107e-07,-103004516.77109857,-112753414.51570228,-94270111.24855258,nan,nan,9.872952990310605e-05,1.4932271035109934e-07,0.9998032412390665,-103291275.5885805,9.838422019413824e-05
1000,1000,1.0,2000,100000,2,0.07853981633974483,0.0061558297024311365,0.1,13.177044300762265,100.0,0.37015621187164255,15000658.463928673,274192273989.32968,820.6640948613734,0.002504260353388702,0.049362950651481025,0.05462534552739091,0.2701562118716424,0.7298437881283576,0.2699940616910827,0.00036201508520315224,0.7300059383089174,0.00036201508520315224,0.9998033371325571,-103392045.38487865,9.83362687323391e-05,0.9998028168819063,-103187639.64655766,9.859643349880752e-05,0.999802568452845,2.985850166086473e-07,-103035113.30955344,-112763052.92138708,-94275138.07023248,nan,nan,9.872066874425401e-05,1.4930737491113808e-07,0.9998032588678937,-103309789.80975375,9.837540491334769e-05
1000,1000,1.0,2000,100000,3,0.11780972450961724,0.013815039801161699,0.1,13.177044300762265,100.0,0.37015621187164255,15002843.447269566,274204760281.86685,820.8658058011265,0.0025038956380483966,0.04935688582828437,0.05462367037959522,0.2701562118716424,0.7298437881283576,0.2699940616910827,0.00036201508520315224,0.7300059383089174,0.00036201508520315224,0.9998033657706702,-103422168.37653534,9.832194826760609e-05,0.9998028456345429,-103218300.95785758,9.858205575609467e-05,0.9998025978444869,2.9853653169747196e-07,-103068627.73414132,-112765288.3354757,-94314353.5467448,nan,nan,9.870597146527877e-05,1.4928312812640142e-07,0.9998032881215112,-103340523.65201457,9.836077666559261e-05
