sigma,noise_signal_ratio,signal_power,n,alpha,lambda,kappa,df_12_Q,B_12_C,h_n_minus_df_22,B_11_A,noise_numerator_sigma2_Q,shrink_numerator_alpha_C,net_numerator,denominator_h_A,sigma_z1,noise_signal_ratio_z1,z_noise,z_regularization,z_de,r2_de_leading,r2_de_second_order,mc_z_mean,mc_z_se,mc_z_median,mc_z_q25,mc_z_q75,mc_z_min,mc_z_max,mc_r2_mean,mc_r2_se,mc_r2_median,mc_r2_q25,mc_r2_q75,mc_r2_min,mc_r2_max
3.0,0.0013277659104370839,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,12975.02921512596,38582.85169260745,-25607.82247748149,462686.72952682886,18.646733245292705,0.05129612048243695,0.028042795237276423,-0.08338871471862741,-0.05534591948135099,0.9969368291967639,0.9969316643019882,-0.05635698849976322,0.00040752522156893393,-0.056477431340890005,-0.059338825816419805,-0.053949070614322664,-0.06554141598431595,-0.04632260399516841,0.9968074286664539,4.5512344316736995e-05,0.9968103986223323,0.9964789147027271,0.9970893794663961,0.9957042045667793,0.9978544247596096
5.0,0.003688238640103011,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,36041.747819794335,38582.85169260745,-2541.103872813117,462686.72952682886,18.646733245292705,0.05129612048243695,0.07789665343687895,-0.08338871471862741,-0.005492061281748464,0.9999698372628775,0.9999550889920579,-0.008383952266336866,0.0006379883281261151,-0.007476580268117927,-0.013094390332984901,-0.004719147843738697,-0.02273677673866159,0.005090967198495999,0.9998894564177617,1.2163953102451471e-05,0.9999440877828695,0.9998282320167554,0.9999768663868371,0.9994832641276427,0.9999999983862048
8.233044840382567,0.009999999223695108,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,97720.75111942647,38582.85169260745,59137.899426819014,462686.72952682886,18.646733245292705,0.05129612048243695,0.21120283959594335,-0.08338871471862741,0.12781412487731594,0.9836635494818459,0.9836142561885634,0.11996438279562888,0.0011351855277802192,0.11959007926955123,0.11245571056118997,0.12647696355058258,0.09337263944557717,0.14482910793696147,0.9854809295394028,0.00027245079880264765,0.9856983089296304,0.9840031770967463,0.9873535538056667,0.9790245423656725,0.9912815581283458
10.0,0.014752954560412044,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,144166.99127917734,38582.85169260745,105584.13958656989,462686.72952682886,18.646733245292705,0.05129612048243695,0.3115866137475158,-0.08338871471862741,0.22819789902888837,0.9479257188788013,0.9478335919374858,0.22032888202372772,0.0016509955727886216,0.22058973095543277,0.20907730416967218,0.229367057848757,0.17951262205241503,0.2779588302191549,0.9511853217515583,0.0007363936534538535,0.9513400281478626,0.9473908992471615,0.9562866965543055,0.9227389162790949,0.9677757285889589
14.260051964535403,0.029999997671085327,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,293162.2533582794,38582.85169260745,254579.40166567196,462686.72952682886,18.646733245292705,0.05129612048243695,0.6336085187878301,-0.08338871471862741,0.5502198040692027,0.6972581672100482,0.6968373439842214,0.5342985271129433,0.0030058972784874982,0.5319130635958981,0.5119716039786553,0.5563693919688257,0.47668887509105495,0.6115222249205017,0.7136305947271402,0.003245957704016471,0.7170682700332005,0.6904530879686681,0.7378851108315878,0.6260406449317009,0.772767993458057
20.0,0.059011818241648174,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,576667.9651167094,38582.85169260745,538085.1134241018,462686.72952682886,18.646733245292705,0.05129612048243695,1.2463464549900631,-0.08338871471862741,1.1629577402714357,-0.35247070565724425,-0.3550578419407974,1.1297562229384306,0.006226607040864163,1.1356938551440854,1.088142022465243,1.1652237685378786,0.9983894843719727,1.268020332959729,-0.2801872883319661,0.014073322206561148,-0.2898006505642736,-0.3577473336095929,-0.1840655274905557,-0.6078762573246326,0.0032190363771821273
26.035173773906333,0.09999999223695111,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,977207.5111942649,38582.85169260745,938624.6595016574,462686.72952682886,18.646733245292705,0.05129612048243695,2.112028395959434,-0.08338871471862741,2.028639681240807,-3.115378956304803,-3.1273279169399895,1.952553105013112,0.010575848119576419,1.9555130560572993,1.8882881352164542,2.0130515345096516,1.66680548104484,2.2733867679879447,-2.823536181350988,0.04140899401391384,-2.824039248833413,-3.052378002837298,-2.565632257878776,-4.168287229355449,-1.7782397386260795
30.0,0.1327765910437084,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,1297502.921512596,38582.85169260745,1258920.0698199887,462686.72952682886,18.646733245292705,0.05129612048243695,2.8042795237276423,-0.08338871471862741,2.720890809009015,-6.403246794549733,-6.430895602447907,2.6158858898568527,0.016164560878298023,2.6166608765403816,2.5124299224989692,2.7194486581660477,2.244153443721483,2.958132296139653,-5.868726197677762,0.08445924301150196,-5.8469146422953475,-6.395401756076533,-5.312311987313275,-7.750546699138891,-4.036224528248333
40.0,0.2360472729665927,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,2306671.8604668374,38582.85169260745,2268089.00877423,462686.72952682886,18.646733245292705,0.05129612048243695,4.9853858199602525,-0.08338871471862741,4.901997105241625,-23.02957561979727,-23.183485375756806,4.729678029142637,0.0310067051679875,4.739821808007238,4.514853685260564,4.9399167418096575,4.009258031930903,5.470568860542943,-21.46503233560069,0.29331146110705186,-21.46591014547041,-23.402774454545202,-19.383908803701136,-28.92711940866392,-15.074149249033958
45.09424376029051,0.2999999767108532,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,2931622.533582793,38582.85169260745,2893039.6818901855,462686.72952682886,18.646733245292705,0.05129612048243695,6.336085187878298,-0.08338871471862741,6.252696473159671,-38.096213185463384,-38.411761630971284,6.016777707421485,0.041890358022352595,6.004738203332165,5.7396232054495755,6.231009365458375,5.080599905508212,7.374108275135718,-35.37533596327623,0.51595889556473,-35.05687856076838,-37.82550232828187,-31.943350882610435,-53.377468984153126,-24.81249257671191
60.0,0.5311063641748336,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,5190011.686050384,38582.85169260745,5151428.834357777,462686.72952682886,18.646733245292705,0.05129612048243695,11.21711809491057,-0.08338871471862741,11.133729380191943,-122.95992991134926,-124.70908663911338,10.910004100723963,0.10297821651820141,10.92202445615311,10.312176418725533,11.495637052607812,8.502981961381357,13.670222262855692,-119.07802602343195,2.2758618403756476,-118.29063195559175,-131.14999555481305,-105.34154791744335,-185.87495934175948,-71.3006944476593
82.33044840382567,0.999999922369511,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,9772075.111942647,38582.85169260745,9733492.26025004,462686.72952682886,18.646733245292705,0.05129612048243695,21.120283959594335,-0.08338871471862741,21.03689524487571,-441.5509615438742,-453.2278521168723,20.718885826758445,0.2503902605363379,20.365428005708566,18.674413584530654,22.455871120155944,15.546705840420575,27.100471360992476,-434.4790274955129,10.730343790515445,-413.752499313833,-503.26618045219595,-347.73370584382667,-733.435489411612,-240.70003618360775
100.0,1.4752954560412044,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,14416699.127917735,38582.85169260745,14378116.276225127,462686.72952682886,18.646733245292705,0.05129612048243695,31.15866137475158,-0.08338871471862741,31.075272660032955,-964.6725708953916,-1002.1729931128554,30.4555464817877,0.39073898910317684,29.70458056310467,28.163623640508753,32.768859163317025,23.337941103941713,40.357286443332924,-941.6552549197055,24.730779503873457,-881.3638889499359,-1072.7980990348888,-792.1900105656264,-1627.7104240377694,-543.6594478125145
142.60051964535404,2.999999767108533,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,29316225.335827943,38582.85169260745,29277642.484135337,462686.72952682886,18.646733245292705,0.05129612048243695,63.360851878783016,-0.08338871471862741,63.277463164064386,-4003.0373444795255,-4318.445401562569,64.09182312565025,1.3260416406513251,61.55855544810048,56.03955912372524,69.89108417038952,42.05325127477678,127.01449399036736,-4280.84171006516,200.03571899252955,-3788.455504222591,-4883.764435172557,-3139.4768657235613,-16131.680421380903,-1767.4757955775056
180.0,4.779957277573502,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,46710105.17445346,38582.85169260745,46671522.32276085,462686.72952682886,18.646733245292705,0.05129612048243695,100.95406285419513,-0.08338871471862741,100.8706741394765,-10173.892901352454,-11449.829770693797,104.47673740820281,2.2876855703206855,100.7410859268864,89.58121451136012,114.93657012985703,67.01956327835369,186.4417840066256,-11432.504786891664,543.3388354039116,-10147.889316907218,-13209.51474962755,-8024.436979133256,-34759.53611062203,-4490.621508131691
260.3517377390633,9.999999223695108,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,97720751.11942646,38582.85169260745,97682168.26773386,462686.72952682886,18.646733245292705,0.05129612048243695,211.20283959594335,-0.08338871471862741,211.1194508812247,-44570.42254038985,-56254.7297391919,231.21340915070937,12.665555622359909,201.2081681911919,173.39829492274333,242.131862878181,126.56107872522418,1146.5110440646213,-69339.84879246619,14139.156636996926,-40488.58524944831,-58629.91028456736,-30066.237239707225,-1314486.4723649821,-16016.705394922732
