panel,series,sweep_name,sweep_value,realization,sigma2_noise,sigma_noise,lambda,kappa,beta_hat_1,beta_hat_2,E_gen,R2_gen,z,E_acc_over_S,R2_acc
fixed_lambda,representative_path,sigma2,0.1,3,0.1,0.31622776601683794,0.05,0.05179536610433671,0.9768540819179544,0.33389268376066944,0.019161870555471187,0.9843818807111654,-0.1748581643587891,0.044907059238156265,0.9694246223570747
fixed_lambda,representative_path,sigma2,0.11190893024087904,3,0.11190893024087904,0.3345279214667724,0.05,0.05179536610433671,0.9752899084460142,0.3426920178381076,0.019330134771420114,0.9842447348835112,-0.17516669272115015,0.0450993913787484,0.9693166297611342
fixed_lambda,representative_path,sigma2,0.12775870297927638,3,0.12775870297927638,0.35743349448432554,0.05,0.05179536610433671,0.9733320950399114,0.353705792544449,0.019556368441846595,0.9840603403359307,-0.1753771046938638,0.0452308776484196,0.9692428711491975
fixed_lambda,representative_path,sigma2,0.1458532947443422,3,0.1458532947443422,0.3819074426406773,0.05,0.05179536610433671,0.9712402275383192,0.36547369509646876,0.01981728773166613,0.9838476748458178,-0.17538836471954777,0.045237921317497924,0.9692389215210029
fixed_lambda,representative_path,sigma2,0.16651064148037467,3,0.16651064148037467,0.408057154673674,0.05,0.05179536610433671,0.9690051270785008,0.37804736163370944,0.020117986232295198,0.983602586818571,-0.1751595766579983,0.0450949490744068,0.9693191227049908
fixed_lambda,representative_path,sigma2,0.1900937087146698,3,0.1900937087146698,0.43599737237129055,0.05,0.05179536610433671,0.9666169863087456,0.3914819638910668,0.02046429134110617,0.9833203265619804,-0.17464377846758883,0.04477374062751905,0.9694995506425638
fixed_lambda,representative_path,sigma2,0.2170168691420047,3,0.2170168691420047,0.4658506940447816,0.05,0.05179536610433671,0.9640653263548875,0.40583645128571977,0.020862869039833292,0.9829954608852935,-0.17378717829660884,0.04424371671597676,0.9697980166597027
fixed_lambda,representative_path,sigma2,0.24775318347273373,3,0.24775318347273373,0.49774811247530987,0.05,0.05179536610433671,0.9613389508402692,0.42117380958007555,0.021321343570961125,0.9826217755554967,-0.17252830944806896,0.043472482806647644,0.9702339824389914
fixed_lambda,representative_path,sigma2,0.28284271247461906,3,0.28284271247461906,0.5318295896944989,0.05,0.05179536610433671,0.9584258967573879,0.4375613372557118,0.02184843412609308,0.9821921638877715,-0.1707970979457082,0.04242670923680047,0.9708283513333241
fixed_lambda,representative_path,sigma2,0.32290200625738624,3,0.32290200625738624,0.5682446711209761,0.05,0.05179536610433671,0.95531338197566,0.4550709408110103,0.022454110959973492,0.9816984995028336,-0.16851383635936057,0.04107344004943938,0.9716030869554506
fixed_lambda,representative_path,sigma2,0.36863493753405935,3,0.36863493753405935,0.6071531417476643,0.05,0.05179536610433671,0.9519877491549698,0.47377945027821516,0.023149773685982103,0.9811314910049864,-0.1655880575645584,0.03938193044653913,0.9725805951919965
fixed_lambda,representative_path,sigma2,0.4208450692078392,3,0.4208450692078392,0.648725727259093,0.05,0.05179536610433671,0.9484344058189066,0.49376895634436385,0.023948454899537095,0.9804805160163526,-0.1619173022300705,0.03732611322035578,0.9737827872385361
fixed_lambda,representative_path,sigma2,0.48044977359257257,3,0.48044977359257257,0.6931448431551465,0.05,0.05179536610433671,0.9446377603247342,0.5151271705553376,0.02486505272181111,0.9797334316392443,-0.15738577406423016,0.0348877831753176,0.975229718122203
fixed_lambda,representative_path,sigma2,0.5484963513524147,3,0.5484963513524147,0.7406053951683141,0.05,0.05179536610433671,0.9405811534491404,0.537947810183565,0.025916596365312884,0.9788763580036572,-0.15186287722206793,0.03206055989691842,0.9769376665218351
fixed_lambda,representative_path,sigma2,0.6261804333828965,3,0.6261804333828965,0.7913156344865786,0.05,0.05179536610433671,0.9362467852895708,0.5623310094481292,0.027122549404175304,0.977893431083075,-0.14520163079508352,0.028854637206870783,0.9789164864144483
fixed_lambda,representative_path,sigma2,0.7148669889686512,3,0.7148669889686512,0.8454980715345548,0.05,0.05179536610433671,0.9316156371603987,0.5883837588916654,0.028505156095631333,0.9767665204208726,-0.13723695598627972,0.025302246647176486,0.98116601791162
fixed_lambda,representative_path,sigma2,0.816114309347348,3,0.816114309347348,0.9033904523224429,0.05,0.05179536610433671,0.9266673881412242,0.6162203748419804,0.030089836856817716,0.9754749067920632,-0.1277838324240339,0.02146364877595791,0.9836712921710264
fixed_lambda,representative_path,sigma2,0.9317013880895633,3,0.9317013880895633,0.9652468016468966,0.05,0.05179536610433671,0.92138032591112,0.6459630010183355,0.03190563986604887,0.9739949141201003,-0.11663532109384755,0.017433320656861692,0.9863962018733351
fixed_lambda,representative_path,sigma2,1.0,3,1.0,1.0,0.05,0.05179536610433671,0.9184098576504695,0.6626735149483978,0.03298140451776869,0.9731180988525807,-0.1099077196005811,0.015247067577573294,0.9879202931722001
fixed_lambda,representative_path,sigma2,1.063659179388998,3,1.063659179388998,1.031338537721246,0.05,0.05179536610433671,0.9157312514775832,0.6777421444833797,0.033985756745239196,0.972299489163551,-0.10356045256540392,0.013345838465891796,0.9892752326644487
fixed_lambda,representative_path,sigma2,1.2143062834953289,3,1.2143062834953289,1.1019556631259395,0.05,0.05179536610433671,0.9096953773821477,0.711697248292428,0.03636811140759753,0.970357721568508,-0.08830198055438665,0.009380778177595028,0.9922027602301727
fixed_lambda,representative_path,sigma2,1.3862896863102931,3,1.3862896863102931,1.1774080373049494,0.05,0.05179536610433671,0.9032462189360024,0.7479773033527997,0.03909603244187099,0.9681342958335064,-0.07057400236570743,0.005765803836725931,0.9950193101900852
fixed_lambda,representative_path,sigma2,1.5826312689731574,3,1.5826312689731574,1.2580267361917066,0.05,0.05179536610433671,0.896355478008364,0.78674150217798,0.042219020873917566,0.9655888655359707,-0.05005944938812401,0.0027770217601018974,0.9974940515269578
fixed_lambda,representative_path,sigma2,1.8067809046448862,3,1.8067809046448862,1.344165504930433,0.05,0.05179536610433671,0.8889929188576876,0.8281599374052044,0.0457936268240475,0.9626753388018197,-0.026407452508757534,0.0007356962343626043,0.9993026464519977
fixed_lambda,representative_path,sigma2,2.062677075442492,3,2.062677075442492,1.4362023100672454,0.05,0.05179536610433671,0.8811262354608722,0.8724143481414689,0.04988445049389738,0.9593410624387502,0.0007694109638609614,5.910833094344672e-07,0.9999994080067687
fixed_lambda,representative_path,sigma2,2.354816074609899,3,2.354816074609899,1.5345409980218512,0.05,0.05179536610433671,0.8727209097583215,0.9196989174128531,0.05456528510323167,0.9555258903714796,0.031897980604586484,0.0009555487620257312,0.9989825188333494
fixed_lambda,representative_path,sigma2,2.6883310098608666,3,2.6883310098608666,1.6396130671170155,0.05,0.05179536610433671,0.863740060192854,0.9702211242162566,0.059920421893449226,0.9511611199825175,0.0674474765901758,0.003992439854998492,0.9954508379016177
fixed_lambda,representative_path,sigma2,3.069081996043703,3,3.069081996043703,1.7518795609412487,0.05,0.05179536610433671,0.8541442798778707,1.0242026539122582,0.06604614016456992,0.9461682776391149,0.10793255268234447,0.009490263077661062,0.9883505640714729
fixed_lambda,representative_path,sigma2,3.503759121882498,3,3.503759121882498,1.8718330913525645,0.05,0.05179536610433671,0.8438914636846817,1.0818803709537868,0.07305240856618196,0.9404577320350624,0.15391642630676694,0.017791855019841592,0.9763097337129536
fixed_lambda,representative_path,sigma2,4.0,3,4.0,2.0,0.05,0.05179536610433671,0.8329366234902708,1.1435073582188229,0.08106482757742231,0.9339271109483884,0.2060140729619402,0.02918025114793955,0.9575582017416324
fixed_lambda,conditional_mean,sigma2,0.0,mean,0.0,0.0,0.05,0.05179536610433671,1.0038830918106683,0.18183967167797244,0.01800542376045999,0.9853244569561822,-0.14856861698046464,0.03044772534459687,0.9779273660485119
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.997647047692896,0.19665212673897603,0.018697098613592058,0.9847606988233825,-0.15610380459248518,0.0342175505834249,0.9756316021917512
