feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq,n_trials,mc_elapsed_seconds,case_path,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_gen_error_normalized,mc_gen_error_normalized_std,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized,mc_acc_error_normalized_std,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
pca_full,10000,1000,60.0,0.5311063641748336,1.0,0.0,1000.0,1.0,1.1297399757476025,3600.0,38.68750982629512,3.8523115137973893,252.31151379738918,0.03722340298121659,0.9627765970187834,1.0310149122140508,611.3022739727348,0.0901851467059631,0.8157863872826724,0.6996915806941751,392.03078383308974,560.2908404931067,300.61578881615173,560.2908404931067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,82.33045159950234,1.0,1.0,0.0,1584.893192461114,1.584893192461114,1.734459644213601,6778.302734375001,28.16948050164139,7.13949995127695,361.19721690194916,0.05328726128301749,0.9467127387169825,1.0423150362476246,585.2079830062403,0.08633546781681446,0.8268711432160014,0.706171022843535,352.5881539155781,499.2956982230924,260.29358092448166,499.2956982230924,50,0.7476894739666022,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_linear_feature_cases/ffhq_feature_pca_full_nsr1_trials50_seed20260814.npz,1536.581016845703,303.7082391509568,42.95083108117345,1584.8931884765625,1412.53759765625,1778.2794189453125,0.05395702541459337,0.009139974885262636,0.0012925876442487893,0.05378500960223247,0.04779177038613139,0.06060795618941263,0.9460429745854068,0.009139974885262631,0.0012925876442487886,0.9462149903977675,0.9393920438105874,0.9522082296138686,1.0421140831729963,0.04644133026046615,0.006567795910899925,1.041021489082795,1.011350767877644,1.0721466472021681,0.10429606659863262,0.06750661440112633,0.009546876963596376,0.08540235502097873,0.062230458924138386,0.1318385041393798,0.7140500769190669,0.31958706670829856,0.04519643640979108,0.8295064377141197,0.6749920047005016,0.8895168876946308,0.6954140123479005,0.10843714780982695,0.015335328509771323,0.7077658931061136,0.6369042938002061,0.7505482628294807
pca_full,10000,1000,100.0,1.4752954560412044,1.0,0.0,1995.262314968883,1.9952623149688828,2.155752950721886,10000.0,23.953607288736013,10.44882500033333,448.82500033332894,0.06621494835494522,0.9337850516450548,1.0462655094145858,670.9392873926364,0.09898336819698801,0.7892854195648599,0.6853837763290201,332.5334592819713,485.1784806799072,240.43665868145075,485.1784806799072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,142.60051964535404,2.999999767108533,1.0,0.0,3162.2776601683795,3.1622776601683795,3.3467768603266057,20334.908203125004,17.211302232781037,20.999423179474135,664.5149763491347,0.09803559250792068,0.9019644074920793,1.0571941101806293,761.3190584892739,0.11231705475867935,0.745913344755903,0.6648626330015118,292.30957658383295,439.654091047659,201.748547288453,439.654091047659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,180.0,4.779957277573502,1.0,0.0,3981.0717055349774,3.981071705534977,4.178709443629392,32400.0,14.544542452204809,33.25678367815156,856.783678151551,0.12640090671872528,0.8735990932812747,1.0524816330833011,1011.1528049957296,0.1491749138573518,0.6040075871498558,0.6137683158292787,272.3409663848111,443.71949375855934,183.06005773258187,443.71949375855934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,260.3517478446803,10.0,1.0,0.0,7079.457843841388,7.079457843841388,7.313435414424773,67783.02734375,9.453280756585118,69.05613444844091,1273.1071046909178,0.1878209126604285,0.8121790873395716,1.0756548210285566,898.7300911425951,0.1325892419670168,0.6720792018727364,0.6358719429005548,223.5426006147254,351.5528607773242,138.72608927152572,351.5528607773242,50,0.7479650030145422,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_linear_feature_cases/ffhq_feature_pca_full_nsr10_trials50_seed20260814.npz,7033.976110839843,2581.125704510258,365.02629775082164,7079.4580078125,5164.7576904296875,8912.509765625,0.20029105619735013,0.05905258698424005,0.008351296940632918,0.18985128259979328,0.16720456988720744,0.22535010677511924,0.7997089438026499,0.05905258698424005,0.008351296940632918,0.8101487174002067,0.7746498932248808,0.8327954301127926,1.0874822586285786,0.1810743957818073,0.025607786631314546,1.0778097922999992,0.9678298969492174,1.1907642125692481,0.18600304405126894,0.17378812898620044,0.024577352899172945,0.13774621058851044,0.06559691176680107,0.2717038920561747,-1.5602144879660984,9.2880051910197,1.3135222908531767,0.651682432617302,-0.18609400912146118,0.8813165189041897,0.6157312134780473,0.19779535847150814,0.027972487852485486,0.6288584192539208,0.47876906134900643,0.7439863654467587
whiten_full,10000,1000,0.0,0.0,1.0,0.0,0.00017782794100389227,1.7782794100389227e-07,9.000000197586608,0.0,99.99999604826796,6.100472934520198,6100.4729345201995,0.9000000000000001,0.09999999999999987,1.000000019758661,6778.0727863011225,0.9999659982346591,-3459671859.4138026,1.7001027187902014e-05,69.19999616192092,4070342.067987743,67.78302992717614,4070342.067987743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.01,1.4752954560412044e-08,1.0,0.0,0.00017782794100389227,1.7782794100389227e-07,9.000000197586608,0.0001,99.99999604826796,6.100473045631309,6100.472945631312,0.9000000016392175,0.09999999836078255,1.000000003366489,6778.07278630532,0.9999659982352783,-3459671985.4413676,1.7001026878253924e-05,69.19999616192092,4070342.142122891,67.78302992717614,4070342.142122891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.03,1.3277659104370838e-07,1.0,0.0,0.0014125375446227555,1.4125375446227554e-06,9.00000156948614,0.0009,99.99996861028461,6.100473934520181,6100.473034520181,0.900000014752952,0.099999985247048,1.00000000941907,6778.072786307284,0.9999659982355682,-3459672044.3812623,1.7001026733439374e-05,69.19998666837819,4070341.618384054,67.78301132887894,4070341.618384054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.1,1.4752954560412047e-06,1.0,0.0,0.01412537544622754,1.412537544622754e-05,9.00001569485888,0.010000000000000002,99.9996861035614,6.1004840456292895,6100.47404562929,0.9000001639214195,0.09999983607858054,0.9999999302691275,6778.072786363724,0.9999659982438946,-3459673738.8876324,1.7001022570060972e-05,69.19988892097108,4070336.8656678926,67.78281983725465,4070336.8656678926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.3,1.3277659104370838e-05,1.0,0.0,0.12589254117941676,0.00012589254117941674,9.000139880383916,0.09,99.99720245102017,6.10057293435672,6100.482934356721,0.9000014752713382,0.09999852472866178,0.9999992351192335,6778.0727868597405,0.9999659983170718,-3459688630.8505626,1.7000985980848328e-05,69.19902957053789,4070295.0786790154,67.78113634224282,4070295.0786790154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.5,3.6882386401030106e-05,1.0,0.0,0.3548133892335757,0.0003548133892335757,9.000394235372317,0.25,99.99211575879369,6.100750711035037,6100.500711035039,0.900004097856613,0.09999590214338705,0.9999984433580096,6778.072787713795,0.9999659984430701,-3459714272.4279847,1.7000922980632085e-05,69.19726952808861,4070206.635658548,67.77768842799242,4070206.635658548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,0.7,7.228947734601901e-05,1.0,0.0,0.707945784384138,0.000707945784384138,9.00078659955277,0.48999999999999994,99.98426986496648,6.1010173741082365,6100.527374108235,0.9000080314476859,0.09999196855231407,0.9999983391636451,6778.072788745093,0.999965998595217,-3459745235.7884445,1.7000846905964906e-05,69.19455468864298,4070065.160363595,67.77237024322132,4070065.160363595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,1.0,0.00014752954560412043,1.0,0.0,1.4125375446227555,0.0014125375446227555,9.001569458796098,1.0,99.96861821213471,6.101584025434715,6100.584025434714,0.9000163891921392,0.09998361080786078,0.9999930282846614,6778.072792109235,0.9999659990915273,-3459846242.7525735,1.700059874648727e-05,69.18913857900647,4069805.988056897,67.761761078279,4069805.988056897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,1.5,0.00033194147760927097,1.0,0.0,3.1622776601683795,0.0031622776601683794,9.003513504729309,2.25,99.92976692221859,6.102972832344574,6100.722832344574,0.9000368673124777,0.09996313268752233,0.999982548119251,6778.072799768126,0.99996600022144,-3460076214.175519,1.7000033780552794e-05,69.17569261690389,4069150.3034563083,67.73542649576736,4069150.3034563083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,2.0,0.0005901181824164817,1.0,0.0,5.62341325190349,0.00562341325190349,9.00624780349462,4.0,99.87516093777595,6.104917056143652,6100.917056143652,0.9000655210613011,0.09993447893869889,0.9999691613247903,6778.072810189747,0.999966001758937,-3460389178.113988,1.699926501913495e-05,69.15678972596751,4068222.340678981,67.69841290352787,4068222.340678981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,3.0,0.0013277659104370839,1.0,0.0,12.589254117941687,0.012589254117941687,9.013985889776349,9.0,99.72086792743677,6.110471302636453,6101.4713026364525,0.9001472887945366,0.09985271120546335,0.9999236468976638,6778.072841610878,0.9999660063944822,-3461333019.966637,1.6996947207054865e-05,69.10335034510987,4065633.0518239997,67.59382842202126,4065633.0518239997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiten_full,10000,1000,5.0,0.003688238640103011,1.0,0.0,35.481338923357605,0.03548133892335761,9.039406523484013,25.0,99.21650379525458,6.1282381450144605,6103.238145014458,0.9004079502477178,0.0995920497522822,0.99984509796856,6778.072926408456,0.9999660189046303,-3463882135.223563,1.6990692026647597e-05,68.92837476732184,4056831.508641145,67.25195511785238,4056831.508641145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
