feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq
top_pc_10000,10000,1000,0.0,0.0,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.0,467.2203109502513,0.0018055350368963244,1.8055350368963243,0.00026636976356563354,0.9997336302364344,1.0026688486488013,5.575597651961855e-10,8.225653880653333e-14,0.9999999999999177,1.0000002868040077,622.4269883222023,622.4268098076988,592.1796354318212,622.4268098076988
top_pc_5,5,1000,8.233045159950235,0.010000000000000002,0.56451617769074,0.4354838223092599,177.82794100389228,0.17782794100389226,0.17871783894283944,3019.624445293606,4.958795728017869,3.0347356362471967,2966.9526036414163,0.4377131694441802,0.5622868305558197,0.9999618732322276,1.1214725869582002e-06,1.654503411614207e-10,0.9999999998345539,1.00001286275014,83.74018776822905,83.73911065297177,83.39015642679095,83.73911065297177
top_pc_10,10,1000,8.233045159950235,0.010000000000000002,0.8755830670852994,0.12441693291470063,56.23413251903491,0.05623413251903491,0.05680055026589029,911.1187346526093,9.944203827023145,0.9202958645993627,852.5128319935828,0.12577083072569514,0.8742291692743048,1.0002460879483754,6.420954298724506e-07,9.472804700356502e-11,0.9999999999052701,0.999990267166548,187.22843592066477,187.230258201585,186.7791394280863,187.230258201585
top_pc_20,20,1000,8.233045159950235,0.010000000000000002,0.9534845312348563,0.04651546876514364,31.622776601683793,0.03162277660168379,0.032265556560727424,383.0789862038672,19.843553338925332,0.39086398233054187,323.0809497247618,0.047663985706241786,0.9523360142937582,1.0002332508508618,0.00020629715162681213,3.043492503892793e-08,0.999999969554453,0.9998255439165895,287.92251353524347,287.97275213370966,287.02788012083306,287.97275213370966
top_pc_30,30,1000,8.233045159950235,0.010000000000000002,0.9641755087875822,0.03582449121241779,50.118723362727245,0.05011872336272725,0.05165177670909419,310.61229819945936,29.36611709912938,0.3201102419720826,252.3272093663026,0.03722571854136639,0.9627742814586336,1.0010203989046966,0.00025074609585030365,3.699245758280252e-08,0.9999999629933085,0.9998076657659625,312.54453223760987,312.6046568148349,310.6559443040361,312.6046568148349
top_pc_50,50,1000,8.233045159950235,0.010000000000000002,0.9861837720605539,0.013816227939446143,31.622776601683793,0.03162277660168379,0.03326386207321154,161.43361549661662,48.683719048562004,0.1698076141618014,102.02458155602139,0.015051640157410362,0.9849483598425897,1.0007692939634918,0.0004618837542417604,6.814150038521215e-08,0.9999999318229105,0.9997389607301856,405.9098562181409,406.0158422971472,402.68916931205626,406.0158422971472
top_pc_70,70,1000,8.233045159950235,0.010000000000000002,0.991183766609438,0.008816233390562055,35.481338923357605,0.03548133892335761,0.03808461073286526,127.5421361430434,66.76667485838406,0.13689647996920906,69.11344736342906,0.010196275484660984,0.989803724515339,1.001145172960878,0.00024082988863833538,3.5529524038704544e-08,0.9999999644570781,0.9998115072308053,446.8988740408689,446.98312712828465,441.27400208650414,446.98312712828465
top_pc_100,100,1000,8.233045159950235,0.010000000000000002,0.995170448343696,0.004829551656304055,39.81071705534978,0.039810717055349776,0.0440246620709393,100.51919834483564,91.70413679266228,0.11115282253979353,43.36978993401354,0.0063983254019111735,0.9936016745980888,1.0016456083837721,0.0004654173200507126,6.866280574336912e-08,0.9999999313011959,0.9997379641136345,492.45875050325355,492.5878261909024,482.454118300321,492.5878261909024
top_pc_150,150,1000,8.233045159950235,0.010000000000000002,0.9985813530506669,0.0014186469493331585,39.81071705534978,0.039810717055349776,0.046232499016507375,77.39905184805397,128.98972764492453,0.08985113106210714,22.06809845632714,0.003255696537608934,0.9967443034623911,1.0019650374180638,0.008282214731870442,1.2218713759885985e-06,0.999998775422867,0.9988946170907832,555.3747307472604,555.9893118302648,536.72537568091,555.9893118302648
top_pc_200,200,1000,8.233045159950235,0.010000000000000002,0.9994066868813765,0.0005933131186234951,50.118723362727245,0.05011872336272725,0.060659891467698214,71.80468885228933,152.41055929593696,0.08673665087074571,18.953618264965712,0.002796218690184349,0.9972037813098157,1.0029334398858167,0.1108863858043817,1.6359018111403623e-05,0.9999835078423892,0.9959553716967559,571.126261273572,573.4456357221858,542.8970556756449,573.4456357221858
top_pc_300,300,1000,8.233045159950235,0.010000000000000002,0.9997814542592695,0.00021854574073051805,70.79457843841388,0.07079457843841389,0.09075015607869347,69.2644019127591,168.38091473955814,0.08794918674569406,20.166154139914056,0.002975103556844173,0.9970248964431558,1.0049395934274157,1.0588743621652967,0.00015621525350209908,0.9998398053504274,0.987501389937193,570.1441346527005,577.360336362628,527.4354442705718,577.360336362628
top_pc_500,500,1000,8.233045159950235,0.010000000000000002,0.9999204621686296,7.95378313704058e-05,79.43282347242821,0.07943282347242821,0.11026342812097034,68.32216414749732,179.99520217532745,0.09018517683001011,22.402144224230113,0.0033049781579586397,0.9966950218420414,1.0060867684145698,17.58332611375688,0.002594060111771617,0.9971200476754101,0.9490680835647075,566.7340896056254,597.1479806558951,515.6735190998667,597.1479806558951
top_pc_700,700,1000,8.233045159950235,0.010000000000000002,0.9999594019149393,4.059808506073792e-05,89.12509381337459,0.08912509381337459,0.12825964523245284,68.05821873812042,173.49152603655833,0.09104467168933282,23.26163908355283,0.0034317790440035975,0.9965682209559964,1.0073427770038021,26.496247896283336,0.003908979412352812,0.9955522429441357,0.9374781685140877,560.3426139962467,597.7127071496452,504.27685840102436,597.7127071496452
top_pc_1000,1000,1000,8.233045159950235,0.010000000000000002,0.9999801851928315,1.9814807168457426e-05,89.12509381337459,0.08912509381337459,0.13438977808165462,67.91734337781767,173.3236623496897,0.09158357224054922,23.800539634769237,0.003511282797450364,0.9964887172025496,1.0077282139896715,51.65905660753212,0.007621237147646749,0.9908510956636729,0.9127003027058699,558.6133406004328,612.0446535892665,500.6280620906534,612.0446535892665
top_pc_1500,1500,1000,8.233045159950235,0.010000000000000002,0.9999915571772584,8.442822741638577e-06,89.12509381337459,0.08912509381337459,0.1403410938557134,67.84026061869812,170.95870261382868,0.09189662630364934,24.113593697869337,0.0035574675211290457,0.9964425324788709,1.0081334622997844,79.4029110920575,0.011714275393055616,0.9852696809196041,0.89176749382438,556.5867539725936,624.1388678405953,497.11851521088096,624.1388678405953
top_pc_2000,2000,1000,8.233045159950235,0.010000000000000002,0.9999954391229595,4.560877040484501e-06,79.43282347242821,0.07943282347242821,0.1320523800447933,67.8139476134946,179.15351723316067,0.09198566600786662,24.202633402086615,0.0035706035082329456,0.9964293964917671,1.0074873861345979,141.21857126862355,0.02083391165012313,0.9715443885735872,0.8556604293683706,560.3546711589157,654.8797302366279,502.1038256124843,654.8797302366279
top_pc_3000,3000,1000,8.233045159950235,0.010000000000000002,0.9999983955359198,1.6044640801641037e-06,79.43282347242821,0.07943282347242821,0.13577532023390257,67.79390814988605,176.29590717169023,0.09203326536565193,24.25023275987194,0.0035776258198580626,0.9964223741801419,1.0077647295604335,163.49369282791574,0.024120150212042054,0.966194929948587,0.8446933671344264,558.8702628756387,661.6250163909465,499.8442985520119,661.6250163909465
top_pc_5000,5000,1000,8.233045159950235,0.010000000000000002,0.9999996664803754,3.335196245888708e-07,79.43282347242821,0.07943282347242821,0.13857471853781986,67.78529330293881,173.97967989996334,0.09205269343717865,24.26966083139865,0.0035804920344223623,0.9964195079655777,1.0079751604450244,179.46280243142292,0.02647606569554986,0.962233521451034,0.8372853242772802,557.7224701608015,666.1080207541091,498.1726324762469,666.1080207541091
top_pc_7000,7000,1000,8.233045159950235,0.010000000000000002,0.9999999103213496,8.967865041704026e-08,79.43282347242821,0.07943282347242821,0.13943357901742556,67.78364047486852,173.2500381553422,0.09205687192699691,24.273839321216926,0.0035811084851265643,0.9964188915148734,1.0080398870024299,184.20872202890192,0.02717622905723963,0.9610360971088976,0.8351478569831753,557.365918297919,667.3859169217118,497.6645541288589,667.3859169217118
top_pc_10000,10000,1000,8.233045159950235,0.010000000000000002,1.0,0.0,79.43282347242821,0.07943282347242821,0.13973891756842338,67.78303260578,172.9887668507723,0.09205818411800049,24.275151512220482,0.003581302072069065,0.9964186979279309,1.0080629127357639,185.87502586187438,0.02742205810455646,0.9606135023483722,0.8344039308903848,557.2396167274503,667.8295680280713,497.48446828043603,667.8295680280713
top_pc_5,5,1000,26.03517478446803,0.1,0.56451617769074,0.4354838223092599,223.87211385683423,0.22387211385683423,0.22499122742068348,3629.671738745626,4.948228216012974,3.6478209006143345,2969.9905745565347,0.43816135991284616,0.5618386400871538,1.0001763289093633,0.00043819139308012633,6.464617710874756e-08,0.9999999353866837,1.0002542561250172,83.64966481208731,83.62840177870967,83.21004073224648,83.62840177870967
top_pc_10,10,1000,26.03517478446803,0.1,0.8755830670852994,0.12441693291470063,89.12509381337459,0.08912509381337459,0.09002132813211006,1521.1660281046293,9.911874800695749,1.5364590657726875,858.6287397148876,0.12667310781277596,0.873326892187224,1.0002599307716593,0.0003170995356715577,4.678155040890249e-08,0.9999999531982062,0.9997837095693081,186.96617885169078,187.00662659549937,186.2569272437632,187.00662659549937
top_pc_20,20,1000,26.03517478446803,0.1,0.9534845312348563,0.04651546876514364,89.12509381337459,0.08912509381337459,0.09092367416133743,993.1262796558871,19.565906919021074,1.0131748879967388,335.34456193893897,0.049473230843664485,0.9505267691563355,1.0009304754628883,0.00046035751881541305,6.791633556627821e-08,0.9999999321190496,1.0002606076276057,286.3114348686876,286.23683936504733,283.8376810120313,286.23683936504733
top_pc_30,30,1000,26.03517478446803,0.1,0.9641755087875822,0.03582449121241779,141.25375446227554,0.14125375446227553,0.145491187169206,920.6595916514792,28.287285497218534,0.9482264815565553,270.39615549875526,0.039891421953832454,0.9601085780461676,1.0026905497534742,0.008429160192149593,1.24355017297217e-06,0.9999987536717013,0.9988848541920573,309.18037517826,309.5255412880786,304.065723770562,309.5255412880786
top_pc_50,50,1000,26.03517478446803,0.1,0.9861837720605539,0.013816227939446143,158.48931924611142,0.15848931924611143,0.16629088869832917,771.4809089486365,44.10339315450667,0.8095461926455049,131.71586658770502,0.019431981946537072,0.9805680180534629,1.0041602597882338,0.011520610712995486,1.699630463570186e-06,0.9999983047924975,1.0013036987625867,393.8197571873839,393.3070033338209,379.618439818915,393.3070033338209
top_pc_70,70,1000,26.03517478446803,0.1,0.991183766609438,0.008816233390562055,199.52623149688827,0.19952623149688828,0.21272444595060616,737.5894295950633,55.36199636971354,0.7864021578374623,108.57183177966229,0.01601755300786058,0.9839824469921394,1.0062834760742956,0.00038236415120121,5.641000948201971e-08,0.9999999436167766,1.0002375079145671,424.0306870001762,423.9300002698897,399.22895435732113,423.9300002698897
