sigma,noise_signal_ratio,signal_power,de_alpha,mc_alpha_median,mc_alpha_q25,mc_alpha_q75,de_gen_error_normalized,mc_gen_error_normalized,mc_gen_error_normalized_se,de_acc_error_normalized,mc_acc_error_normalized,mc_acc_error_normalized_se,de_r2_gen,mc_r2_gen,mc_r2_gen_se,de_r2_acc,mc_r2_acc,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,de_slope_gen,mc_slope_gen,mc_slope_gen_se,de_slope_acc,mc_slope_acc,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
3.0,0.0013277659104370839,6778.303260577998,10.0,10.0,10.0,10.0,0.001143505756864774,0.001204529082915442,8.367005517515108e-06,0.025030002506996888,0.025814695389530257,0.00025865554543536424,0.9988564942431353,0.9987954708235764,8.367006167050065e-06,0.964669188227532,0.9632937526418911,0.0004364275037443101,0.9635141825814266,0.960302898926409,0.9660791983861957,1.0032407787141966,1.0030924885628558,0.000139180826044431,0.8418189031275981,0.8395339400915637,0.0008124101255652386,0.8396219632796332,0.8338605545682811,0.8444692199429671
5.0,0.003688238640103011,6778.303260577998,10.0,10.0,10.0,100.0,0.0024384855039425233,0.0025688998712553217,1.7996445970940507e-05,0.12793191248216823,0.0806073732152005,0.006236010803676623,0.9975615144960575,0.9974310999293197,1.799644736801368e-05,0.6898139833856098,0.8041775724912138,0.015289275924504419,0.7150690685979784,0.6848496267731667,0.9998925345213265,1.0019333906950323,1.005277552451215,0.0004876471566328232,0.6423483718189936,0.7779583364490147,0.017782319876919007,0.6519803109298702,0.6404580027203447,1.0050421117340105
8.233044840382567,0.009999999223695108,6778.303260577998,100.0,100.0,100.0,100.0,0.0036457823160215373,0.0037977307231715053,3.283597900751067e-05,0.012877042942343167,0.011543313745049242,0.00018965661227948331,0.9963542176839785,0.9962022689820087,3.283598155658366e-05,0.9835969361962201,0.9854712135128527,0.0002670299791575329,0.9852016451301504,0.9837152026647776,0.9874875894123283,1.0098464805799532,1.0096039380798318,0.0003799617924958,0.8866709309113346,0.8929238384010358,0.0008876837319841121,0.8915449143592832,0.8868301205475835,0.899394956297804
10.0,0.014752954560412044,6778.303260577998,100.0,100.0,100.0,100.0,0.00451456617147345,0.004672758905140307,4.1317856665483686e-05,0.03456494946107538,0.032460071771398334,0.0004202462067799294,0.9954854338285265,0.9953272407321111,4.131785987300964e-05,0.9477893482146786,0.9515441621324918,0.0007644933876872109,0.951026310291126,0.9464659549205898,0.9572065491775228,1.0089493890318537,1.008359296461269,0.0004511638626429999,0.8142010345324378,0.8202090714601679,0.0011690292358580202,0.8187996483206557,0.8121008296710832,0.8285927001078548
14.260051964535403,0.029999997671085327,6778.303260577998,100.0,100.0,100.0,100.0,0.007301544789934882,0.007382940854265819,6.630243361630046e-05,0.12603842497071202,0.12077227424230101,0.0008947179232625209,0.9926984552100652,0.9926170585725927,6.630243876339141e-05,0.6966361681529771,0.7153733499157419,0.0032046791722840375,0.7140618854438389,0.691460561981655,0.7366776591721722,1.006082328747956,1.0062082144959685,0.0006563071466085234,0.6450698135676546,0.6527160805608871,0.0012955359131354403,0.6515807377684902,0.642895588119001,0.6608737210272858
20.0,0.059011818241648174,6778.303260577998,100.0,100.0,100.0,100.0,0.012604561448699205,0.012630101850249518,0.00010769738029941006,0.28916296570219063,0.2811559442682024,0.0014572430506870333,0.9873954385513007,0.9873698971692694,0.00010769738866001175,-0.3558234883115633,-0.2801872853021138,0.014073322113464595,-0.2898009256220119,-0.3577479114766244,-0.18406556058540208,1.0006716915795744,1.000900265354312,0.0008006978222735836,0.46232988346514176,0.4699355880382756,0.001376884442929735,0.46823195184802435,0.46184602497598537,0.4788958365254013
26.035173773906333,0.09999999223695111,6778.303260577998,1000.0,100.0,100.0,1000.0,0.019873756356411424,0.020205269199067514,0.00016575962825133734,0.01083276059320276,0.2501050912611907,0.021359504052267792,0.9801262436435886,0.9797947292323873,0.00016575964111933936,0.9911552158158694,-1.1641221847932186,0.19467537925427675,-2.34377664037956,-2.958638148768365,0.9913278094116669,1.0511316244073596,1.0156575751168122,0.0030126947898639874,1.10310890981092,0.6745708826111266,0.03816511181594985,0.35353415979767977,0.334492146675046,1.0988662301485494
30.0,0.1327765910437084,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.021192833140881193,0.021881532015233317,0.00028699450645070185,0.003464657878409557,0.09660429228335854,0.019957209211927267,0.9788071668591188,0.9781184662860926,0.00028699452873022735,0.9969420402294598,-0.21556921909434493,0.2620314955429175,0.9965326858516995,0.9946112646664979,0.9976953901191901,1.0495746309181293,1.0351415000845976,0.0027671586276087645,1.0567841030260907,0.9175439566333167,0.030118503439672224,1.0525882344502442,1.0355752262014346,1.067517572033569
40.0,0.2360472729665927,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.025348906803190366,0.024852508448541775,0.00029479486536382815,0.004773876146942863,0.0049744097725842856,0.00029037918153139105,0.9746510931968096,0.9751474896221456,0.0002947948882488991,0.9944071710000887,0.9941263555733946,0.0003719246827470441,0.9949676846738855,0.9915729947827077,0.9970772544101806,1.0446989641287847,1.0395459496422612,0.0015884284808249474,0.9332953297763756,0.9323715351208434,0.0020120869532560303,0.9337608427413409,0.9159197848947624,0.9487105324082519
45.09424376029051,0.2999999767108532,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.027922649347695484,0.028214488434004648,0.00038298184767449517,0.01717783118360345,0.01664400733733333,0.00047715871586100214,0.9720773506523045,0.9717855093756907,0.00038298187740556575,0.9770066980609772,0.9778320831458689,0.000727973502241021,0.9789776429320777,0.9728067723031695,0.9831599107968135,1.0417022441885033,1.0422722079425795,0.0018465793214646627,0.8703157291354776,0.8723356863328626,0.0018690235264895328,0.8733695785575022,0.8584406916392853,0.8851366157299958
60.0,0.5311063641748336,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.03722340298121659,0.03707968589517067,0.0005490987319311992,0.09062531022166981,0.09051150557696537,0.0015325855353929374,0.9627765970187834,0.9629203112263152,0.0005490987745580051,0.8128468780353438,0.81238564631437,0.004583663074249214,0.8138631991757623,0.7853623677614165,0.8420707295938236,1.031014822595175,1.0316218520491796,0.0024389770494114317,0.6996915806941751,0.7002308296833256,0.00256226921812895,0.698599280186075,0.6833915114199156,0.7156136540085447
82.33044840382567,0.999999922369511,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.05609377481718971,0.05675242931871634,0.0008250107711002359,0.24992072344529592,0.25001836422375373,0.002644156638708644,0.9439062251828103,0.9432475662755644,0.0008250108351462306,-0.011276838440274627,-0.016960010362947853,0.021655806307289013,-0.006704349296160594,-0.12685681046587138,0.14833635247538862,1.0099911195125377,1.0120955593986134,0.003360166890454615,0.5005790305706691,0.5006759951298324,0.002647510347973636,0.4991648350009769,0.48507545948886205,0.5200600435972498
100.0,1.4752954560412044,6778.303260577998,1000.0,1000.0,1000.0,1000.0,0.07522179075090048,0.0766255370042335,0.001198248861062521,0.37441918571521965,0.37127161993173347,0.003086288834111474,0.9247782092490995,0.923374457047288,0.0011982489540831739,-1.5260187431408068,-1.4836423872528384,0.054169176062839164,-1.4020415226708174,-1.7810890123081031,-1.1523204119240291,0.9895376911835203,0.9881869948288872,0.00425787451105271,0.3885103925420127,0.39119950227602546,0.0025298275678333256,0.39217976305560825,0.37486125044733015,0.40534384679629565
142.60051964535404,2.999999767108533,6778.303260577998,1000.0,1000.0,1000.0,10000.0,0.13658270473003034,0.1404554574292403,0.001917701967147724,0.5993102049134847,0.40417605489182185,0.024260345054093534,0.8634172952699697,0.8595445316671331,0.001917702116019877,-11.118727948468555,-5.984254903605829,0.5705544275141354,-8.003832811960757,-9.990500782541607,0.9352903266634189,0.9291750815055071,1.0461091867032617,0.01772364922297851,0.22611739255781022,0.6268912979166585,0.05173416731383129,0.24998641063101962,0.2317397074694676,1.26865832938537
180.0,4.779957277573502,6778.303260577998,10000.0,10000.0,10000.0,10000.0,0.15888375431362364,0.1734641275769048,0.00396240250291554,0.021970073149839574,0.1630466118787574,0.027756423673330227,0.8411162456863763,0.826535858956989,0.0039624028105188095,0.9843492159687004,-5.13096011907871,1.268569842557044,0.9805858463357185,0.9614344819572238,0.9906763096547953,1.2411804516864187,1.1778842771032882,0.01826183209739172,1.1323081214785655,0.9469258351421738,0.04023036663521659,1.112618215527093,1.049869827338534,1.1815075619327011
260.3517377390633,9.999999223695108,6778.303260577998,10000.0,10000.0,10000.0,10000.0,0.1969294555865796,0.20154217670895158,0.008039536075353784,0.032690765701589686,0.06209967115847874,0.01635505887284622,0.8030705444134204,0.7984578076452294,0.008039536699466951,0.9468036721579021,-4.966411471962992,2.9636249375757657,0.968512451415539,0.9313141225452157,0.9822963037980698,1.1631878605554244,1.1622665676111397,0.014332138780954537,0.8318891949350066,0.8112062675282635,0.016347428228434345,0.849296725185488,0.7923428941243632,0.8825701066699367
