pc,kappa_0.0735436,kappa_0.735436,kappa_7.35436,kappa_73.5436,kappa_735.436
9.300000000000000000e+01,8.713301285264866969e-02,9.503176485478595503e-02,1.591198858245545800e-01,4.044763507836193206e-01,6.513634392094650449e-01
9.400000000000000000e+01,8.826268081811750044e-02,9.624740534741098308e-02,1.609288230032191735e-01,4.071335961325395769e-01,6.533149606298194190e-01
9.500000000000000000e+01,8.929832156512212959e-02,9.736156234810564025e-02,1.625831487384749585e-01,4.095480362692240917e-01,6.550825408880391887e-01
9.600000000000000000e+01,9.043514913265675303e-02,9.858442404761059985e-02,1.643970470754472779e-01,4.121874284395409260e-01,6.570119724251505255e-01
9.700000000000000000e+01,9.171489455952294700e-02,9.996064180694241852e-02,1.664339198669657072e-01,4.151319522346163526e-01,6.591576185774326024e-01
9.800000000000000000e+01,9.331747474689375266e-02,1.016834915931136701e-01,1.689774212309709533e-01,4.187817052900672521e-01,6.618076272609034749e-01
9.900000000000000000e+01,9.442920680271341127e-02,1.028782737043286433e-01,1.707367925384948859e-01,4.212873314509240630e-01,6.636203188803955211e-01
1.000000000000000000e+02,9.573536673097580996e-02,1.042817270206294611e-01,1.728001277371916666e-01,4.242121071540211341e-01,6.657314932454496681e-01
1.010000000000000000e+02,9.680732646500721239e-02,1.054334502721911843e-01,1.744923758283927484e-01,4.266067504956008172e-01,6.674585856748938006e-01
1.020000000000000000e+02,9.806503355334787730e-02,1.067843545476490213e-01,1.764727323095585665e-01,4.293904472173556419e-01,6.694598973208546466e-01
1.030000000000000000e+02,9.927184925167557850e-02,1.080805146208468348e-01,1.783718789587503684e-01,4.320560927896985870e-01,6.713750063760046682e-01
1.040000000000000000e+02,1.005907649541206844e-01,1.094963961800156649e-01,1.804385299092149952e-01,4.349250250159714670e-01,6.734254337649833166e-01
1.050000000000000000e+02,1.020168655327228918e-01,1.110267908455061653e-01,1.826659148916006115e-01,4.379917035324267793e-01,6.756087174439608933e-01
1.060000000000000000e+02,1.032383570896858171e-01,1.123374051262075596e-01,1.845710178075126440e-01,4.406052197938039039e-01,6.774662414156329415e-01
1.070000000000000000e+02,1.042517170491383399e-01,1.134245526819612632e-01,1.861495637099932765e-01,4.427640114533329396e-01,6.789983460850040897e-01
1.080000000000000000e+02,1.057387565353401226e-01,1.150190960505988735e-01,1.884559342729322240e-01,4.458838257660669435e-01,6.812012693928926055e-01
1.090000000000000000e+02,1.068632354914051813e-01,1.162247435578300792e-01,1.901983728238925975e-01,4.482353686347573807e-01,6.828599377335891063e-01
1.100000000000000000e+02,1.080808126118676660e-01,1.175296639082420991e-01,1.920780467897708899e-01,4.507485951734393481e-01,6.846250678404480761e-01
1.110000000000000000e+02,1.091011334731531585e-01,1.186230544475451315e-01,1.936516167659476095e-01,4.528472878470391483e-01,6.860973678094178796e-01
1.120000000000000000e+02,1.102129796728760075e-01,1.198144132317909838e-01,1.953649085187301182e-01,4.551275955619228930e-01,6.876955600754034448e-01
1.130000000000000000e+02,1.112586093382362668e-01,1.209344938256826235e-01,1.969719904348105344e-01,4.572528507050861446e-01,6.891807263553645369e-01
1.140000000000000000e+02,1.123782950192164232e-01,1.221337326416358227e-01,1.986907141611388150e-01,4.595186504790069737e-01,6.907618605649389343e-01
1.150000000000000000e+02,1.135098380686096892e-01,1.233454859182626095e-01,2.004252776728197016e-01,4.617976858055469203e-01,6.923498183323942845e-01
1.160000000000000000e+02,1.147718319514570012e-01,1.246963771051864678e-01,2.023527016744391394e-01,4.643073649885934295e-01,6.940913738484906226e-01
1.170000000000000000e+02,1.158798053566155589e-01,1.258820794876548965e-01,2.040408610721872462e-01,4.664927518902442505e-01,6.956039377656050293e-01
1.180000000000000000e+02,1.171314782964081869e-01,1.272214076422995832e-01,2.059460136338544523e-01,4.689529050426891610e-01,6.973047766261977198e-01
1.190000000000000000e+02,1.182847384333355345e-01,1.284552754791963569e-01,2.076994129907483444e-01,4.712109644281403664e-01,6.988640071523929409e-01
1.200000000000000000e+02,1.194329102976538076e-01,1.296836202360995005e-01,2.094440800628872001e-01,4.734546723421468872e-01,7.004123722595324564e-01
1.210000000000000000e+02,1.205483460014005609e-01,1.308767282518097097e-01,2.111363057263100362e-01,4.756225676166148664e-01,7.019058555007239297e-01
1.220000000000000000e+02,1.216646625419891270e-01,1.320703681814206776e-01,2.128247282814616781e-01,4.777698090709775469e-01,7.033803156890648944e-01
1.230000000000000000e+02,1.229903582822996916e-01,1.334875311196953018e-01,2.148253521295350466e-01,4.803004658709072450e-01,7.051139454238114501e-01
1.240000000000000000e+02,1.240904478317695486e-01,1.346631815360169737e-01,2.164812739242845951e-01,4.823823496401733468e-01,7.065363215491774485e-01
1.250000000000000000e+02,1.252955301827412826e-01,1.359506515542378002e-01,2.182904661329870821e-01,4.846427270154379796e-01,7.080764206680973949e-01
1.260000000000000000e+02,1.264531316502584268e-01,1.371870440826678250e-01,2.200240436816883749e-01,4.867958705742456704e-01,7.095396846453717599e-01
1.270000000000000000e+02,1.276793999535064672e-01,1.384965724555713706e-01,2.218579302048828417e-01,4.890662184390296985e-01,7.110804269027645175e-01
1.280000000000000000e+02,1.286388308832323579e-01,1.395211150931805755e-01,2.232923807515575509e-01,4.908409563891310001e-01,7.122845037255410849e-01
1.290000000000000000e+02,1.298316614255749235e-01,1.407946457504934412e-01,2.250726988648393267e-01,4.930346413883795464e-01,7.137701903150566185e-01
1.300000000000000000e+02,1.310664109645645614e-01,1.421126861265122054e-01,2.269125722892467167e-01,4.952930317491648360e-01,7.152971691853893255e-01
1.310000000000000000e+02,1.321791971930436072e-01,1.433001383283624419e-01,2.285658454651688654e-01,4.973084833245529635e-01,7.166558692918763018e-01
1.320000000000000000e+02,1.333219676605637005e-01,1.445193794930010600e-01,2.302611397480849309e-01,4.993680053666335050e-01,7.180422175719162192e-01
1.330000000000000000e+02,1.346110784298368834e-01,1.458946278440444166e-01,2.321719976618056014e-01,5.016850848826849285e-01,7.196006967740966598e-01
1.340000000000000000e+02,1.359608104069552348e-01,1.473343818175787412e-01,2.341706926120074028e-01,5.041029922983841782e-01,7.212253643797253977e-01
1.350000000000000000e+02,1.371625200882743700e-01,1.486154494265488624e-01,2.359406081136434241e-01,5.062175968483796362e-01,7.226387271805905232e-01
1.360000000000000000e+02,1.386242181588308309e-01,1.501733025790765452e-01,2.380889615152042837e-01,5.087720969320096431e-01,7.243426658934877249e-01
1.370000000000000000e+02,1.397495982771113088e-01,1.513726644269157706e-01,2.397424131862252172e-01,5.107365197122206713e-01,7.256525495775764112e-01
1.380000000000000000e+02,1.408055049302616712e-01,1.524978538733222644e-01,2.412922074621375312e-01,5.125734915624841070e-01,7.268762445545943196e-01
1.390000000000000000e+02,1.419735553305506992e-01,1.537423174557002170e-01,2.430038649762963077e-01,5.145949416421102818e-01,7.282207708789681933e-01
1.400000000000000000e+02,1.430878927386813326e-01,1.549292077986043070e-01,2.446326665691528623e-01,5.165074504175865000e-01,7.294897630714338721e-01
1.410000000000000000e+02,1.442901323202884778e-01,1.562093699606200425e-01,2.463857358045731805e-01,5.185546979385375899e-01,7.308450788961992073e-01
1.420000000000000000e+02,1.455605014482407866e-01,1.575618660097389545e-01,2.482356337155083026e-01,5.207084017069424364e-01,7.322690531461820695e-01
1.430000000000000000e+02,1.467342212478436325e-01,1.588113655318559025e-01,2.499436155386050296e-01,5.226937979960631919e-01,7.335809015043129877e-01
1.440000000000000000e+02,1.476889938488759602e-01,1.598273647854986657e-01,2.513280471737824318e-01,5.242902602771778442e-01,7.346322760523499307e-01
1.450000000000000000e+02,1.488537697035676177e-01,1.610666913015718349e-01,2.530152984915914338e-01,5.262315705351418016e-01,7.359095771798997987e-01
1.460000000000000000e+02,1.499815402263562636e-01,1.622663142353247268e-01,2.546450587743991911e-01,5.280967875086324259e-01,7.371341333512635430e-01
1.470000000000000000e+02,1.512892583194062335e-01,1.636570478845004728e-01,2.565313189953245532e-01,5.302465609567215132e-01,7.385430942572933644e-01
1.480000000000000000e+02,1.525921512451893503e-01,1.650423538392934431e-01,2.584071465352991703e-01,5.323756901523588603e-01,7.399361888910446217e-01
1.490000000000000000e+02,1.537316433066791554e-01,1.662539114501049298e-01,2.600475817757905705e-01,5.342372953650544876e-01,7.411541497269370504e-01
1.500000000000000000e+02,1.550025602973422456e-01,1.676049204748175647e-01,2.618738826676886289e-01,5.363014769320147979e-01,7.425024294118361956e-01
1.510000000000000000e+02,1.561500615942277848e-01,1.688245398158215171e-01,2.635205435364663673e-01,5.381569175340431554e-01,7.437128546099144311e-01
1.520000000000000000e+02,1.572676633860926598e-01,1.700123149157639346e-01,2.651235339874449259e-01,5.399612543519244356e-01,7.448894401631087625e-01
1.530000000000000000e+02,1.586964054989164208e-01,1.715301877569190558e-01,2.671660677516838334e-01,5.422437986100762108e-01,7.463735185098108182e-01
1.540000000000000000e+02,1.597824653015354757e-01,1.726834798748076161e-01,2.687126795165891147e-01,5.439575433288981188e-01,7.474839759299577446e-01
1.550000000000000000e+02,1.611610058818731539e-01,1.741472735561171437e-01,2.706748180827238670e-01,5.461293510569255050e-01,7.488906307718626865e-01
1.560000000000000000e+02,1.623150111415459229e-01,1.753723813092538664e-01,2.723143168271259240e-01,5.479367358678832733e-01,7.500593652438081183e-01
1.570000000000000000e+02,1.635493855610923586e-01,1.766827089988642630e-01,2.740668341128580932e-01,5.498659385715402026e-01,7.513061570535405354e-01
1.580000000000000000e+02,1.647038451144010596e-01,1.779080993680570433e-01,2.757046833005684094e-01,5.516660368734834785e-01,7.524687717196567593e-01
1.590000000000000000e+02,1.659871232390867091e-01,1.792697120989263926e-01,2.775194348798282751e-01,5.536467456217312177e-01,7.537445044065278488e-01
1.600000000000000000e+02,1.674071278333829349e-01,1.807760939764958275e-01,2.795240727112235368e-01,5.558265952986352065e-01,7.551464353739621993e-01
1.610000000000000000e+02,1.684897651632101812e-01,1.819243031961884915e-01,2.810492128303645476e-01,5.574775295108840290e-01,7.562063023571252707e-01
