pc,training_variance
2.610000000000000000e+02,2.349349278467405355e+01
2.620000000000000000e+02,2.342917932203997111e+01
2.630000000000000000e+02,2.334734283470091043e+01
2.640000000000000000e+02,2.330685620723911455e+01
2.650000000000000000e+02,2.317957128221034679e+01
2.660000000000000000e+02,2.313471972544314426e+01
2.670000000000000000e+02,2.306815046246588707e+01
2.680000000000000000e+02,2.298771659608435058e+01
2.690000000000000000e+02,2.287885892850417946e+01
2.700000000000000000e+02,2.285422727386193742e+01
2.710000000000000000e+02,2.277763253504654628e+01
2.720000000000000000e+02,2.272772207325034444e+01
2.730000000000000000e+02,2.272048111775522017e+01
2.740000000000000000e+02,2.259188343589863024e+01
2.750000000000000000e+02,2.256802774377712595e+01
2.760000000000000000e+02,2.249550519984246932e+01
2.770000000000000000e+02,2.243316742869980729e+01
2.780000000000000000e+02,2.235082788652336205e+01
2.790000000000000000e+02,2.232551806942430872e+01
2.800000000000000000e+02,2.216891005757642574e+01
2.810000000000000000e+02,2.207997997725965078e+01
2.820000000000000000e+02,2.203740987326685286e+01
2.830000000000000000e+02,2.198314481765310546e+01
2.840000000000000000e+02,2.190362510897451642e+01
2.850000000000000000e+02,2.183535605596588525e+01
2.860000000000000000e+02,2.180010615969979071e+01
2.870000000000000000e+02,2.167164677795933514e+01
2.880000000000000000e+02,2.166625963212716144e+01
2.890000000000000000e+02,2.160829492073631641e+01
2.900000000000000000e+02,2.157184903522803410e+01
2.910000000000000000e+02,2.146154152517598490e+01
2.920000000000000000e+02,2.131657286864411560e+01
2.930000000000000000e+02,2.128670272708510325e+01
2.940000000000000000e+02,2.128069696637308184e+01
2.950000000000000000e+02,2.118479429070077202e+01
2.960000000000000000e+02,2.111495280834460786e+01
2.970000000000000000e+02,2.108953745942543634e+01
2.980000000000000000e+02,2.100721636016151805e+01
2.990000000000000000e+02,2.094833865797615147e+01
3.000000000000000000e+02,2.079301433822251965e+01
3.010000000000000000e+02,2.075641645120215983e+01
3.020000000000000000e+02,2.073499184415691587e+01
3.030000000000000000e+02,2.065191767828054736e+01
3.040000000000000000e+02,2.058908757548117663e+01
3.050000000000000000e+02,2.056412011979394094e+01
3.060000000000000000e+02,2.050714742723583939e+01
3.070000000000000000e+02,2.041238444969992827e+01
3.080000000000000000e+02,2.038188924138763269e+01
3.090000000000000000e+02,2.036348974530983114e+01
3.100000000000000000e+02,2.031546392973726967e+01
3.110000000000000000e+02,2.025721322730526097e+01
3.120000000000000000e+02,2.018059690562705910e+01
3.130000000000000000e+02,2.015555691744096123e+01
3.140000000000000000e+02,2.009588791710245204e+01
3.150000000000000000e+02,2.003201995744833397e+01
3.160000000000000000e+02,2.001145405807242383e+01
3.170000000000000000e+02,1.994281228857418498e+01
3.180000000000000000e+02,1.987324008716139545e+01
3.190000000000000000e+02,1.985772443976370738e+01
3.200000000000000000e+02,1.978600778756144152e+01
3.210000000000000000e+02,1.968133998072572410e+01
3.220000000000000000e+02,1.963077016282512233e+01
3.230000000000000000e+02,1.961731560543415753e+01
3.240000000000000000e+02,1.955944719745033922e+01
3.250000000000000000e+02,1.954428561041653012e+01
3.260000000000000000e+02,1.947118061752176033e+01
3.270000000000000000e+02,1.937242658635942760e+01
3.280000000000000000e+02,1.934243749026039438e+01
3.290000000000000000e+02,1.931746337436524996e+01
3.300000000000000000e+02,1.923872645476126308e+01
3.310000000000000000e+02,1.920327457550299854e+01
3.320000000000000000e+02,1.917395880399012142e+01
3.330000000000000000e+02,1.914050431699568122e+01
3.340000000000000000e+02,1.907221712599532992e+01
3.350000000000000000e+02,1.903162003165272509e+01
3.360000000000000000e+02,1.895146623275300612e+01
3.370000000000000000e+02,1.887222810159609310e+01
3.380000000000000000e+02,1.881758706225604527e+01
3.390000000000000000e+02,1.877396347041080915e+01
3.400000000000000000e+02,1.872580974754691141e+01
3.410000000000000000e+02,1.868661533957795839e+01
3.420000000000000000e+02,1.859884619368661163e+01
3.430000000000000000e+02,1.857849429825458287e+01
3.440000000000000000e+02,1.854867722266986618e+01
3.450000000000000000e+02,1.849867792454196902e+01
3.460000000000000000e+02,1.839679471356657103e+01
3.470000000000000000e+02,1.837596338780581462e+01
3.480000000000000000e+02,1.836369339682117641e+01
3.490000000000000000e+02,1.834306949990402558e+01
3.500000000000000000e+02,1.830007406201158204e+01
3.510000000000000000e+02,1.819387425329089680e+01
3.520000000000000000e+02,1.808926436195139686e+01
3.530000000000000000e+02,1.808224956044832510e+01
3.540000000000000000e+02,1.803240158115606562e+01
3.550000000000000000e+02,1.793672791987409809e+01
3.560000000000000000e+02,1.788200520654453030e+01
3.570000000000000000e+02,1.782807079504012293e+01
3.580000000000000000e+02,1.776044264217140523e+01
3.590000000000000000e+02,1.773930943305362717e+01
3.600000000000000000e+02,1.771130646822461330e+01
3.610000000000000000e+02,1.769635664526543550e+01
3.620000000000000000e+02,1.768696771880883745e+01
3.630000000000000000e+02,1.762159791336796388e+01
3.640000000000000000e+02,1.757902154261179462e+01
3.650000000000000000e+02,1.755499625331483315e+01
3.660000000000000000e+02,1.751480774972953114e+01
3.670000000000000000e+02,1.744653316604171778e+01
3.680000000000000000e+02,1.742756899792201253e+01
3.690000000000000000e+02,1.736205128649655904e+01
3.700000000000000000e+02,1.732289604072464684e+01
3.710000000000000000e+02,1.729582757991709840e+01
3.720000000000000000e+02,1.725477808503364940e+01
3.730000000000000000e+02,1.719762043576305288e+01
3.740000000000000000e+02,1.711640645956547147e+01
3.750000000000000000e+02,1.706584807437055673e+01
3.760000000000000000e+02,1.706112327734270551e+01
3.770000000000000000e+02,1.702163507083051286e+01
