policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90
fixed,2.8729848333536687e-05,0.2233493396013774,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072462297027424,0.1251490516695634,0.1251497657299129,0.9927537702972576,0.9317124447288614,1.353764118685832,,0.12540971756526,7.561461266586047e-05,0.0072563368258782,4.137033793652267e-05,0.1090303529115568,0.0007535304847538,100,0.00041370337936522496,0.0072239151013969004,0.00675587005205896,0.00777635361892761,0.0075353048475382085,0.10869395586565245,0.10061764581807985,0.11929841205962023
DE_gen_CV,2.8729848333536687e-05,0.2233493396013774,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,8.185594434381348e-05,0.0009798779344375,0.00098042831712,0.9999181440556562,0.9989557702301144,0.9686969979963967,,0.0009837521693195,1.3755687560877875e-06,0.0001538416700965,2.750039800782162e-06,0.0269216911113118,0.0016947057532914,100,2.7500398007818348e-05,0.00014773976636340002,0.00012593190359681998,0.00019082421378603006,0.01694705753291466,0.02299683542548745,0.01328836014039758,0.04114425990430237
fixed,5.623413251903491e-05,0.312476963731664,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072467809374554,0.1250588694057997,0.1250602662876719,0.9927532190625444,0.9317487988359138,1.3536366347054554,,0.1253202453682918,7.571781113311215e-05,0.0072560604727824,4.152807248977901e-05,0.1089590815456311,0.0007558322490992,100,0.00041528072489778613,0.0072273603451498,0.00675595021300554,0.0077811422465431,0.007558322490992904,0.1086376467141544,0.1005554349183235,0.11919136336369766
DE_gen_CV,5.623413251903491e-05,0.312476963731664,1736.3449650425118,1000,10000,False,E_acc,0.0670088426085858,6.700884260858583e-05,0.0025360208236793,0.000105678536248,0.0027820999761966,0.0027831208653884,0.999894321463752,0.9968994446799084,0.9472543842940794,,0.0027881224566365,2.84749075920948e-06,0.0001493384252099,9.889986817346774e-07,0.0087035834467767,0.0001300297097041,100,9.889986817346601e-06,0.00014859825692515,0.00013782569936305,0.00016228299649517,0.001300297097041688,0.008688170746416701,0.0070773978541237605,0.01065460807458829
fixed,0.0001100694171252,0.4371709942694524,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072478598921906,0.1248824950753978,0.1248852262716019,0.9927521401078092,0.9318199282336672,1.353387174463644,,0.1251452575165795,7.591858739402586e-05,0.0072559643284359,4.176701436915394e-05,0.108817448955052,0.0007593297024852,100,0.00041767014369154123,0.007223568779202549,0.00675629744261519,0.007788123530457091,0.00759329702485201,0.1085156443480768,0.10047440104901881,0.11911370522989354
DE_gen_CV,0.0001100694171252,0.4371709942694524,1736.3449650425118,1000,10000,False,E_acc,0.4249534679576583,0.0004249534679576,0.0031513022025788,0.0001441418794548,0.0038219301942801,0.0038237687573663,0.9998558581205452,0.9956577778289116,0.9381782385055214,,0.0038300774718422,3.9192164041983415e-06,0.0001784749457814,1.2007729766389837e-06,0.0046760245492733,6.436879349673273e-05,100,1.20077297663866e-05,0.00017717693907285,0.00016362732928006,0.00019242233092574003,0.000643687934967325,0.0046879180430734,0.00378262492184587,0.0054830249150988
fixed,0.0002154434690031,0.6116242168643903,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072499717753742,0.1245378182073113,0.1245431526987178,0.9927500282246258,0.9319590454454304,1.3528991615282069,,0.1248032816432022,7.630696136601721e-05,0.0072563984010548,4.213646672176733e-05,0.1085375227514048,0.0007647331912878,100,0.0004213646672176709,0.0072301476344929,0.00675724336702247,0.00779844218472,0.007647331912878848,0.1081977762184563,0.1001474567198335,0.11921180864368892
DE_gen_CV,0.0002154434690031,0.6116242168643903,1736.3449650425118,1000,10000,False,E_acc,0.9660348324974672,0.0009660348324974,0.0039928176602942,0.0002022589044517,0.0053955391804267,0.0053987241347421,0.9997977410955482,0.9937150591799326,0.9265456660201268,,0.0054066311119347,5.540166888689723e-06,0.0002395363002106,1.7420089366703607e-06,0.0047711459064086,6.549013410348384e-05,100,1.7420089366703788e-05,0.00023809472346135002,0.00021865331549651002,0.00025973188714876,0.0006549013410348399,0.00479746858898125,0.00389520439787041,0.0056830746802445705
fixed,0.0004216965034285,0.8556930527381014,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.007254105452567,0.1238652628327676,0.1238756607582527,0.9927458945474328,0.932230934173908,1.3519449713133682,,0.1241359644639503,7.704985933776883e-05,0.0072581186025279,4.27204469968802e-05,0.1079868863081627,0.0007731935621124,100,0.00042720446996880637,0.007243308626799149,0.00675946739984536,0.0078038785843577,0.007731935621124579,0.1078360150904174,0.09951773429078974,0.11916161543572233
DE_gen_CV,0.0004216965034285,0.8556930527381014,1736.3449650425118,1000,10000,False,E_acc,1.764987180185427,0.0017649871801854,0.0051335459628615,0.000289866232221,0.0077612724328085,0.0077665458103155,0.999710133767779,0.9906666689181186,0.9119019158391708,,0.0077762115037713,7.968588948505598e-06,0.0003316765371278,2.591580327145957e-06,0.0058625174614508,8.162015198595935e-05,100,2.5915803271459828e-05,0.00033019162450015,0.00030256119580013,0.00036224574031148006,0.0008162015198595901,0.0058134900090359,0.00482220243861497,0.00707277301500439
fixed,0.000825404185268,1.197157634238341,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072621964716477,0.1225568361980273,0.1225770229742407,0.9927378035283524,0.9327615379479592,1.3500811851528547,,0.1228376084897985,7.844053264439439e-05,0.0072627036001729,4.3663717262766615e-05,0.1069093057468634,0.0007864910967176,100,0.000436637172627663,0.0072555299443024,0.00676601869893386,0.0078377781338225,0.007864910967176255,0.10654453462897405,0.0979275415534452,0.11871514863985129
DE_gen_CV,0.000825404185268,1.197157634238341,1736.3449650425118,1000,10000,False,E_acc,2.9228799757517865,0.0029228799757517,0.0066726953931934,0.000421815119524,0.0112895846495507,0.0112978619604736,0.999578184880476,0.9858665481843866,0.8937475428540558,,0.0113091223620622,1.1563487112321735e-05,0.000467930032824,3.92011066802846e-06,0.0079458925441211,0.0001130847685592,100,3.920110668029019e-05,0.00046775235442465,0.00042241323661225,0.00051317124475006,0.0011308476855920893,0.0078017998489109,0.0064344230966717295,0.00946959135073548
fixed,0.0016155980984398,1.67488376425301,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072780333613491,0.1200261832359246,0.1200650698979598,0.9927219666386508,0.9337940752551172,1.3464479516982668,,0.1203259952319569,8.093819759287525e-05,0.0072733820165384,4.521566432598188e-05,0.1048156055876494,0.0008070430876671,100,0.00045215664325981965,0.007294964302379451,0.00672298595097454,0.007875239337998259,0.008070430876671475,0.10415909965525355,0.0955337955848793,0.11618546191531524
DE_gen_CV,0.0016155980984398,1.67488376425301,1736.3449650425118,1000,10000,False,E_acc,4.5768714507960935,0.004576871450796,0.0087455467331825,0.0006204028416495,0.0164919318308796,0.016504111961639,0.9993795971583505,0.9782900945285502,0.8715790833591364,,0.0165161965622833,1.679876544862604e-05,0.0006689789398124,6.021058307830525e-06,0.0113847162747034,0.000164407966403,100,6.0210583078303327e-05,0.00066541335396035,0.00059602039766199,0.00073484139582011,0.0016440796640303952,0.01134999077622435,0.00918028402295962,0.0135585337793535
fixed,0.0031622776601683,2.343246656521626,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0073090315672506,0.1151874541544876,0.1152612326488409,0.9926909684327494,0.935791980044112,1.339392772690415,,0.1155221290499082,8.508212500879404e-05,0.0072966673212467,4.7799392540977616e-05,0.1007963068774009,0.0008369765565067,100,0.0004779939254097755,0.0073300619597577,0.00673753774475802,0.007935744166825189,0.008369765565067428,0.1007518859276075,0.09067024023501385,0.11183300815132594
DE_gen_CV,0.0031622776601683,2.343246656521626,1736.3449650425118,1000,10000,False,E_acc,6.914469100008366,0.0069144691000083,0.011537807724528,0.000918882461754,0.0240384002110225,0.0240549486414221,0.999081117538246,0.9663305073985882,0.8449567795386635,,0.0240661821067743,2.425826475133333e-05,0.0009657320542975,9.378024807867538e-06,0.0167900327482594,0.0002417984754466,100,9.378024807867795e-05,0.00096727603865035,0.0008559453506523301,0.00107422729656458,0.0024179847544662588,0.016765356800681752,0.013677138388487971,0.02004452728236403
fixed,0.0061896581889126,3.278319970907745,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0073697056508126,0.1061425085618194,0.106278409764357,0.9926302943491874,0.9396139716417362,1.3257951941969364,,0.1065372196318304,9.095482335000838e-05,0.0073455799488763,5.210939156316311e-05,0.0932501985883267,0.0008742282119993,100,0.0005210939156316295,0.007374175814684501,0.00669864297476283,0.00803623759900886,0.008742282119993883,0.09354996480329206,0.08270850147423742,0.10437701525379839
DE_gen_CV,0.0061896581889126,3.278319970907745,1736.3449650425118,1000,10000,False,E_acc,10.195185116287414,0.0101951851162874,0.0153074366309116,0.001366441643625,0.034743022343734,0.0347633877607227,0.9986335583563748,0.947514399929252,0.8136051976482874,,0.0347711016261607,3.460032794199221e-05,0.001403724977853,1.4778290833374153e-05,0.0250069712918931,0.0003520452467417,100,0.0001477829083337415,0.0013969202829757,0.00123098464264812,0.00159090553912829,0.003520452467417163,0.024864157010563902,0.020860832290819583,0.029610490403487563
