sigma,ratio,trials,boundary_fraction,E_gen_mc,E_gen_mc_se,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc,E_acc_mc_se,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90,R2_gen_mc,R2_gen_mc_se,R2_gen_mc_median,R2_gen_mc_q10,R2_gen_mc_q90,R2_acc_mc,R2_acc_mc_se,R2_acc_mc_median,R2_acc_mc_q10,R2_acc_mc_q90,slope_gen_mc,slope_gen_mc_se,slope_gen_mc_median,slope_gen_mc_q10,slope_gen_mc_q90,slope_acc_mc,slope_acc_mc_se,slope_acc_mc_median,slope_acc_mc_q10,slope_acc_mc_q90,lam_mc,lam_mc_se,lam_mc_median,lam_mc_q10,lam_mc_q90
0.8556930527381014,0.0004216965034285,100,0.0,0.0003324905307527535,2.583751785996655e-06,0.0003310268657973056,0.0003039190283295303,0.0003623795700661524,0.008203943284438037,0.00020772947591877312,0.008186317135570963,0.005621306219362109,0.010836551608698827,0.9996675094692472,2.583751785996687e-06,0.9996689731342028,0.9996376204299338,0.9996960809716705,0.9900285190465178,0.0002764120688697361,0.9901039378098782,0.9864986112164821,0.9934305250520171,1.0014891730669242,8.39625588960783e-05,1.0014695729517173,1.0006281293213828,1.0024630829505115,0.9101788596801158,0.0011725222578652563,0.909521734629457,0.8959035532881388,0.9250246322757677,0.001551566184306817,1.9619600832966374e-05,0.001584893192461114,0.0013593563908785241,0.0018478497974222907
1.197157634238341,0.000825404185268,100,0.0,0.0004690811442234741,3.877207883570046e-06,0.0004700334166279513,0.00042666523603902633,0.0005146423563331341,0.012500330118870709,0.0003191958493704315,0.012833342723636036,0.008208204724608294,0.016428625774654232,0.9995309188557765,3.877207883569941e-06,0.9995299665833721,0.9994853576436669,0.9995733347639609,0.9840447198554955,0.0004534660928012677,0.9836780807953049,0.9783856635631913,0.990074683094462,1.0018470191699675,0.00011099409674076533,1.0018002587182355,1.0005698608352578,1.0032767392114779,0.8891719857085466,0.0014821543393648351,0.8867157108387076,0.8718258291749545,0.9094030867761023,0.002482646695025836,2.9182864036030633e-05,0.0025118864315095825,0.002154434690031882,0.0029286445646252374
1.67488376425301,0.0016155980984398,100,0.0,0.0006707141550110972,5.947104052875372e-06,0.0006707594464213419,0.000607520965920317,0.0007352027814437007,0.018946278763046123,0.0005441981236908597,0.018787805192583492,0.011485110797914363,0.025253362693022318,0.9993292858449887,5.947104052876033e-06,0.9993292405535785,0.9992647972185562,0.9993924790340797,0.9742341549159671,0.0008652031197882906,0.9747695287564669,0.9643024720644342,0.9855922383363556,1.0022897788558491,0.00015181777256647293,1.002342810510311,1.0003478738489515,1.0043368058956217,0.8637610298861381,0.001972594521196591,0.8629319118169761,0.841087122396445,0.8928314609207003,0.0038443607256291854,4.377299821657891e-05,0.003981071705534969,0.0034145488738336004,0.0046415888336127815
2.343246656521626,0.0031622776601683,100,0.0,0.0009693547645016361,9.179266726167726e-06,0.0009676560232414934,0.0008618574495722752,0.0010682065236411115,0.02752087226389428,0.0008037199225400984,0.026702191967411023,0.017806349635467716,0.03664248573881573,0.9990306452354984,9.179266726168157e-06,0.9990323439767586,0.9989317934763589,0.9991381425504278,0.9598436755716878,0.001403924596625167,0.9618474146723925,0.9439542455835855,0.9762874534484013,1.002854747532067,0.00020340132378017815,1.0028925581709611,1.000314236989059,1.0055331533009595,0.8359121152930234,0.0024536889487904983,0.8365931329579405,0.8085780644805485,0.8665596058260612,0.0058682601334164655,6.362054925527785e-05,0.0054116952654646375,0.0054116952654646375,0.006309573444801929
3.278319970907745,0.0061896581889126,100,0.0,0.001410560127719352,1.4625101176662561e-05,0.0014108437614806884,0.001237983059967441,0.0015844500843915136,0.0398655001148165,0.0012490377504554714,0.03855260898986545,0.02618422753556475,0.057274878890539456,0.9985894398722805,1.4625101176663052e-05,0.9985891562385193,0.9984155499156084,0.9987620169400325,0.936335486002923,0.002570029276020266,0.9403068969609176,0.9010162020287084,0.9627298995137852,1.003545067118995,0.00028181641400983737,1.0035024041671359,1.0001136734640825,1.0074119764456015,0.802697566587962,0.0030768767525777324,0.8036533645322632,0.7606787317934824,0.8381846257805302,0.008753441226204745,0.00010013907483438444,0.008576958985908946,0.007356422544596407,0.01
4.586534585141047,0.0121152765862859,100,0.0,0.002062711307429426,2.3399568141269084e-05,0.0020759708235205494,0.0017833689075284714,0.0023299188631542666,0.05671220450299007,0.0018025469661525138,0.0537517869460859,0.037288391794445805,0.07765084260108872,0.9979372886925704,2.3399568141268675e-05,0.9979240291764795,0.9976700811368457,0.9982166310924716,0.8992224170574891,0.004386813954820422,0.9089048410777971,0.8507669506358299,0.9427286677707244,1.0043552876766686,0.00039290553398849733,1.0042449588980507,0.9995097506971483,1.0095487809063288,0.764760443968778,0.0037261779118207446,0.7681558848803787,0.7213410054933675,0.8068981975413239,0.01284500518361611,0.0001434340191283407,0.013593563908785243,0.01165914401179831,0.013593563908785243
6.41679265214314,0.0237137370566165,100,0.0,0.0030277487857355,3.79776396713047e-05,0.003033079730873085,0.002585180367527486,0.0034647995268404295,0.08044454426912956,0.0026824132383528243,0.07701559269538458,0.050423259966444825,0.11610965651934617,0.9969722512142647,3.797763967130417e-05,0.9969669202691269,0.9965352004731596,0.9974148196324725,0.8357280850889128,0.008372333202813456,0.8524512971248088,0.7328431464114954,0.9161401685753177,1.0052839062592336,0.0005425139140683777,1.0050474008626327,0.9983929544291881,1.0122890744068114,0.7201727679091796,0.004650691758602455,0.7224856107248554,0.6592513307474913,0.7754556658808611,0.018532048806977213,0.00022521171958529842,0.018478497974222907,0.01584893192461114,0.021544346900318822
8.977415775734741,0.0464158883361278,100,0.0,0.004442664322865859,6.173964250870306e-05,0.0043723164460723555,0.003749842702474855,0.005217199776605359,0.10852092721234645,0.003839576048881757,0.11300926550576418,0.06466279771865154,0.15171246079981635,0.995557335677134,6.173964250870264e-05,0.9956276835539277,0.9947828002233946,0.9962501572975252,0.7406931889673319,0.015863117851084272,0.7435518397250245,0.592937820989425,0.8837177776204274,1.0064459630465519,0.0007687683467898314,1.0066038812205589,0.9966081317808921,1.0166732263659117,0.675583305543904,0.005751359585004671,0.6638317019025648,0.6104981257947476,0.7457112254868655,0.026839745289238694,0.0003700628663540074,0.02511886431509582,0.021544346900318822,0.029286445646252372
12.55985636118279,0.0908517575651688,100,0.0,0.006512057209128733,9.995025234112577e-05,0.006401579545813461,0.0053756355941861865,0.007689435421095927,0.14356204518828672,0.005008626864411469,0.1333130435790116,0.08436371586302469,0.19888777800180585,0.9934879427908712,9.995025234112594e-05,0.9935984204541866,0.9923105645789041,0.9946243644058138,0.5896411026543269,0.029121223377268725,0.6692573543244744,0.35205188586782393,0.8324284743005558,1.0077090177965138,0.0010635575954699014,1.0073344963746225,0.9945229478692954,1.022062931816227,0.6266628044917469,0.006498938249195743,0.6348794185685591,0.5540317891001763,0.7095466936946144,0.038402634551353336,0.0005406402679465599,0.03981071705534969,0.034145488738336005,0.04641588833612782
17.571870987632057,0.1778279410038923,100,0.0,0.009521052025277253,0.000161780802898812,0.009140029332883284,0.007631362239231414,0.011329020696067676,0.18302703944366638,0.006586582932477085,0.18112535212810127,0.10631838342856686,0.25769065016134884,0.9904789479747228,0.00016178080289881166,0.9908599706671167,0.9886709793039323,0.9923686377607686,0.35404854078371,0.055709088562630946,0.4510499953001943,-0.06306347102643721,0.7659085258412862,1.0091785546280796,0.001493130628700828,1.0086300478368209,0.9899764254987689,1.029624058987894,0.5788956018353124,0.007586621192028765,0.5744117818396373,0.4923712010903919,0.6739373427728195,0.05526023232390711,0.0008938763945092797,0.054116952654646375,0.04641588833612782,0.0630957344480193
24.58393162522664,0.3480700588428413,100,0.0,0.01391976531255282,0.0002709841542195334,0.013165667896127116,0.010860136875547195,0.016787443201344777,0.22209802419217411,0.009283121947004263,0.2192203627607498,0.10958863304018508,0.33398409180862826,0.9860802346874473,0.00027098415421953346,0.9868343321038728,0.9832125567986553,0.9891398631244528,-0.05521763508709967,0.14866423409547394,0.22481559281503488,-0.8748011358759983,0.7550886316509858,1.0109915813677361,0.002091456334988629,1.010497750651425,0.9835753667491502,1.0411489502942581,0.5387991467634169,0.009739950617976669,0.5317907884375693,0.42208859474842764,0.6689655539271009,0.08108438141097629,0.0016763827243598678,0.08576958985908946,0.0630957344480193,0.1
34.39415726300309,0.6812920690579622,100,0.0,0.020229552350762424,0.000451150749304795,0.019550184040266164,0.015448656299349203,0.024999567659847,0.2616818548187856,0.011553553103630194,0.24740020494617088,0.12548276064887612,0.41335471106586075,0.9797704476492375,0.0004511507493047953,0.9804498159597339,0.9750004323401531,0.9845513437006508,-0.7793150960895902,0.4048794034038992,0.020601090336070382,-2.24201756681425,0.6990847290211523,1.0130218436408307,0.0029542612977205346,1.0110065856819301,0.9743904511893106,1.0542423957278713,0.5007554846725772,0.011208208001675057,0.5026081324749452,0.357073677095242,0.6457659235123775,0.1192903409665988,0.0028669842247247895,0.11659144011798311,0.08576958985908946,0.15848931924611143
48.11915652329192,1.333521432163324,100,0.0,0.029365278215258413,0.000769782371047169,0.028000592826463992,0.021522537411463316,0.037550570561942644,0.28864036992635045,0.015086014498300843,0.25378343980088425,0.11262580863433141,0.49701510014554895,0.9706347217847415,0.0007697823710471695,0.9719994071735361,0.9624494294380573,0.9784774625885366,-2.2836190859084082,1.147819552967484,-0.030614639297870117,-4.712482785555647,0.7448549990961445,1.016021267895825,0.00417330679818015,1.0142497726232984,0.9612580533709268,1.0737102050842504,0.48174525328971834,0.014231983982101331,0.4962308054305049,0.2950108945551858,0.6644042681388894,0.18396923171862675,0.005616921162469712,0.18478497974222907,0.11659144011798311,0.25118864315095774
67.32112104993318,2.6101572156825386,100,0.0,0.042892144947544904,0.0013468754118949695,0.03971494662685893,0.029858418608102847,0.05813703789761711,0.30779096539779466,0.019503922146108736,0.27634543274571216,0.06287135573393283,0.569621306716808,0.9571078550524552,0.00134687541189497,0.9602850533731411,0.9418629621023829,0.9701415813918972,-6.030169277659197,3.3253364928764357,-0.22834369890927753,-8.496232037767236,0.8878772433253072,1.0201608954355808,0.0059334924753661035,1.0168962167043418,0.9429221663909934,1.099315991204147,0.4858296437196899,0.020942395770537667,0.4743143288358523,0.2452931771809056,0.7493777090125406,0.30289445444783275,0.014126009699442967,0.29286445646252374,0.13593563908785242,0.4641588833612782
94.18563555298384,5.108969774506934,100,0.0,0.06252688038365646,0.002403668579711825,0.056861497033394895,0.03966268670756418,0.08472873848736615,0.32005672275352987,0.02378729664093653,0.2806599817518855,0.046049558996793506,0.6501878505976547,0.9374731196163435,0.002403668579711825,0.9431385029666051,0.9152712615126339,0.9603373132924359,-17.146135048640488,10.235730507250405,-0.19911660187215352,-16.353856317823773,0.9516709383268699,1.0283494382559248,0.008618232879816582,1.0254420864037472,0.91968577042775,1.1411446337383508,0.5231552619551131,0.03059606803688189,0.4773599487370708,0.19366349599291863,0.8664854168185737,0.5695740650349717,0.04387351549697628,0.4641588833612782,0.18478497974222907,0.8719263087318063
131.77044300762262,10.0,100,0.0,0.09063063209162975,0.004571770548830912,0.07897186462824785,0.053907685523629324,0.1372020954295663,0.31309242726633435,0.02855836804909385,0.2354835665223317,0.008458813772932205,0.7328221577839699,0.9093693679083702,0.004571770548830912,0.9210281353717522,0.8627979045704337,0.9460923144763708,-72.77160470825402,49.13846486886754,0.18788887769198948,-34.373669019492546,0.9927290368080844,1.047075297081246,0.013116275603366447,1.0324813128095565,0.8981970949779551,1.2225381796930197,0.5917076797921943,0.03845367257626556,0.5259963469212572,0.14395046851223062,1.10586899062052,1.1383954224104347,0.09290104422459969,0.7966690765252675,0.25118864315095774,2.1544346900318865
