policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90,slope_acc_distribution,slope_acc_distribution_se,R2_acc_distribution,R2_acc_distribution_se,gaussian_min_abs_N,slope_gen,R2_gen_mc,R2_gen_mc_se,R2_gen_mc_q10,R2_gen_mc_q90,R2_acc_mc,R2_acc_mc_se,R2_acc_mc_q10,R2_acc_mc_q90,slope_gen_mc,slope_gen_mc_se,slope_gen_mc_q10,slope_gen_mc_q90,slope_acc_mc,slope_acc_mc_se,slope_acc_mc_q10,slope_acc_mc_q90
fixed,1.4677992676220704e-05,0.1596435362934769,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072459480785937,0.1251951446195562,0.125195509534664,0.9927540519214064,0.931693867789602,1.3538292591343404,,0.1254554472942676,7.556172542415948e-05,0.0072566404334734,4.1264336869132216e-05,0.1090659607457483,0.0007519903469314,100,0.0004126433686913,0.0072234442188195,0.0067558986006573,0.0077730337376903,0.0075199034693142,0.1087184055610679,0.1006944732409594,0.1193582135374946,1.3540653168574126,0.00010666856382532652,0.9316184435276536,3.0417804732507177e-05,393.38402442475103,1.0190102281219557,0.9927433595665265,4.1264336869133056e-05,0.9922269662623096,0.9932441013993426,0.9384060831899158,0.0003180290838153936,0.9340683781589196,0.9419742887675735,1.0176691296416047,0.0001837849927683287,1.0154523255342192,1.0200293383928527,1.3300591010975575,0.0011323994745255574,1.3173239226934064,1.3454809233154117
DE_gen_CV,1.4677992676220704e-05,0.1596435362934769,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.956025441110739e-05,0.0002637747629957,0.000264062402992,0.9999304397455888,0.9997274438840996,0.9837588558594,,0.0002665294188779,6.063284423302756e-07,0.0001079232577083,1.4599240221553957e-06,0.0085371307994874,0.0006222595224962,100,1.4599240221537158e-05,0.0001049955558386,9.301018762109576e-05,0.0001282811908232,0.0062225952249628,0.0070638854939188,0.0039230617202589,0.0131835285195572,0.9837613469943188,1.8605936198161402e-05,0.9997244028441894,6.373995855722635e-07,635.4520901871749,1.0008208967540615,0.9998920767422917,1.4599240221556278e-06,0.9998717188091767,0.9999069898123789,0.9892186301218652,0.000951472086351471,0.9831725132081989,0.9955351459520426,1.000556775754298,5.987596713285139e-05,1.0000344944414266,1.0013225171743902,0.9116450544879465,0.0027164564020684514,0.8851953206318015,0.9373657168682296
fixed,2.8729848333536687e-05,0.2233493396013774,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072462297027424,0.1251490516695634,0.1251497657299129,0.9927537702972576,0.9317124447288614,1.353764118685832,,0.12540971756526,7.561461266586047e-05,0.0072563368258782,4.137033793652267e-05,0.1090303529115568,0.0007535304847538,100,0.0004137033793652,0.0072239151013969,0.0067558700520589,0.0077763536189276,0.0075353048475382,0.1086939558656524,0.1006176458180798,0.1192984120596202,1.3540005004261964,0.00010676270000985033,0.9316369112559295,3.044343154836791e-05,393.37257257312814,1.0190099280588838,0.9927436631741215,4.137033793652276e-05,0.9922236463810724,0.993244129947941,0.9384213943271854,0.0003187416939341558,0.9340929298383926,0.9420079131928732,1.0176775672464005,0.00018390580155527668,1.0154555229635738,1.0200076912487595,1.3300042648554362,0.001135016970371275,1.3172027839610494,1.3453943742159626
DE_gen_CV,2.8729848333536687e-05,0.2233493396013774,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,8.185594434381348e-05,0.0009798779344375,0.00098042831712,0.9999181440556562,0.9989557702301144,0.9686969979963967,,0.0009837521693195,1.3755687560877875e-06,0.0001538416700965,2.750039800782162e-06,0.0269216911113118,0.0016947057532914,100,2.7500398007818348e-05,0.0001477397663634,0.0001259319035968,0.000190824213786,0.0169470575329146,0.0229968354254874,0.0132883601403975,0.0411442599043023,0.9686981385270235,2.1947756656349046e-05,0.9989510871359151,1.51423269054599e-06,634.7959545877386,1.000808570061448,0.9998461583299034,2.750039800781971e-06,0.999809175786214,0.9998740680964031,0.9587942908490361,0.003632036652613502,0.9352407617296583,0.9830232207778786,1.0005125403411237,8.34273630383551e-05,0.9997605137291838,1.0015745159825504,0.8417385547395368,0.004351948426264033,0.7971790216298855,0.8847249596526823
fixed,5.623413251903491e-05,0.312476963731664,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072467809374554,0.1250588694057997,0.1250602662876719,0.9927532190625444,0.9317487988359138,1.3536366347054554,,0.1253202453682918,7.571781113311215e-05,0.0072560604727824,4.152807248977901e-05,0.1089590815456311,0.0007558322490992,100,0.0004152807248977,0.0072273603451498,0.0067559502130055,0.0077811422465431,0.0075583224909929,0.1086376467141544,0.1005554349183235,0.1191913633636976,1.3538736500376458,0.00010694659910983997,0.9316730517636829,3.049348191316246e-05,393.35018999035253,1.0190093407334095,0.9927439395272176,4.152807248977807e-05,0.9922188577534569,0.9932440497869944,0.9384519611155455,0.0003198288359230887,0.934136891477878,0.9420351291129688,1.0176892344700874,0.00018435197510117133,1.0154746411710187,1.0199767415544532,1.329894890847953,0.001139034404320069,1.3171047489971672,1.345239388402834
DE_gen_CV,5.623413251903491e-05,0.312476963731664,1736.3449650425118,1000,10000,False,E_acc,0.0670088426085858,6.700884260858583e-05,0.0025360208236793,0.000105678536248,0.0027820999761966,0.0027831208653884,0.999894321463752,0.9968994446799084,0.9472543842940794,,0.0027881224566365,2.84749075920948e-06,0.0001493384252099,9.889986817346774e-07,0.0087035834467767,0.0001300297097041,100,9.8899868173466e-06,0.0001485982569251,0.000137825699363,0.0001622829964951,0.0013002970970416,0.0086881707464167,0.0070773978541237,0.0106546080745882,0.9472538257809034,2.6982637699376794e-05,0.9968911868676964,3.352036342149222e-06,632.7059640132929,1.0008288533264913,0.9998506615747901,9.8899868173485e-07,0.9998377170035048,0.9998621743006368,0.9893933026914645,0.00017467311317385822,0.986751496616182,0.9915627026355688,1.0006182383989424,4.661860761851908e-05,1.0000874346512956,1.0011290549544491,0.906966163827982,0.0006984020281169728,0.8967788530814745,0.9158727283157941
fixed,0.0001100694171252,0.4371709942694524,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072478598921906,0.1248824950753978,0.1248852262716019,0.9927521401078092,0.9318199282336672,1.353387174463644,,0.1251452575165795,7.591858739402586e-05,0.0072559643284359,4.176701436915394e-05,0.108817448955052,0.0007593297024852,100,0.0004176701436915,0.0072235687792025,0.0067562974426151,0.007788123530457,0.007593297024852,0.1085156443480768,0.1004744010490188,0.1191137052298935,1.3536254275828363,0.00010730519108240983,0.9317437636999415,3.0591028377283446e-05,393.30650371202444,1.0190081911386735,0.9927440356715641,4.1767014369153926e-05,0.9922118764695428,0.9932437025573848,0.9385126098713211,0.00032152228489875517,0.9341687531091237,0.9420705957984594,1.0177052885123807,0.00018551411787726046,1.015427187982402,1.0199488419269989,1.3296779958654963,0.0011453374835093961,1.316976971447086,1.3451270921057794
DE_gen_CV,0.0001100694171252,0.4371709942694524,1736.3449650425118,1000,10000,False,E_acc,0.4249534679576583,0.0004249534679576,0.0031513022025788,0.0001441418794548,0.0038219301942801,0.0038237687573663,0.9998558581205452,0.9956577778289116,0.9381782385055214,,0.0038300774718422,3.9192164041983415e-06,0.0001784749457814,1.2007729766389837e-06,0.0046760245492733,6.436879349673273e-05,100,1.20077297663866e-05,0.0001771769390728,0.00016362732928,0.0001924223309257,0.0006436879349673,0.0046879180430734,0.0037826249218458,0.0054830249150988,0.9381788816137588,3.1691794439542246e-05,0.995645942138395,4.749250889358687e-06,626.5414295675856,1.0010081703250095,0.9998215250542186,1.2007729766380051e-06,0.9998075776690741,0.99983637267072,0.994606362167772,7.966016019384398e-05,0.9936049669276554,0.9957053477086044,1.0009173750817935,5.0704523203217094e-05,1.0004073312414992,1.0014108879347694,0.9317798168181562,0.0004717381989762663,0.9259525624315048,0.9384971084823386
fixed,0.0002154434690031,0.6116242168643903,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072499717753742,0.1245378182073113,0.1245431526987178,0.9927500282246258,0.9319590454454304,1.3528991615282069,,0.1248032816432022,7.630696136601721e-05,0.0072563984010548,4.213646672176733e-05,0.1085375227514048,0.0007647331912878,100,0.0004213646672176,0.0072301476344929,0.0067572433670224,0.00779844218472,0.0076473319128788,0.1081977762184563,0.1001474567198335,0.1192118086436889,1.353139828414481,0.00010800192542116666,0.9318820661729188,3.078037254303461e-05,393.2214640199166,1.019005940996372,0.9927436015989451,4.2136466721767595e-05,0.99220155781528,0.9932427566329776,0.9386324026222046,0.00032421701604746605,0.9341283203684756,0.9422138126139702,1.0177272223304659,0.00018817078894812282,1.0153933707890077,1.019958414618502,1.3292496786361157,0.0011554520275952169,1.3164608296035505,1.3452697871465058
DE_gen_CV,0.0002154434690031,0.6116242168643903,1736.3449650425118,1000,10000,False,E_acc,0.9660348324974672,0.0009660348324974,0.0039928176602942,0.0002022589044517,0.0053955391804267,0.0053987241347421,0.9997977410955482,0.9937150591799326,0.9265456660201268,,0.0054066311119347,5.540166888689723e-06,0.0002395363002106,1.7420089366703607e-06,0.0047711459064086,6.549013410348384e-05,100,1.7420089366703788e-05,0.0002380947234613,0.0002186533154965,0.0002597318871487,0.0006549013410348,0.0047974685889812,0.0038952043978704,0.0056830746802445,0.926549457549213,3.771155783117522e-05,0.9936976325441562,6.970297419720925e-06,618.9466834093732,1.0012438978403455,0.9997604636997893,1.7420089366696628e-06,0.9997402681128512,0.9997813466845035,0.994488419850902,8.121327516108436e-05,0.9933524336400305,0.9955689587131858,1.0012289861554589,6.282216392100848e-05,1.0006449502880612,1.0018808565646746,0.9310887455767913,0.00047551057331835146,0.9246138585723146,0.9375884345360115
