pc,variance,mean_power,power_se,power_over_variance
7.800000000000000000e+01,5.829508334246011714e+01,5.013297572764952470e+00,6.118279719562340624e-01,8.599863462436188599e-02
7.900000000000000000e+01,5.786441256013938528e+01,5.738451324185493974e+00,6.696413614360903210e-01,9.917064859548055389e-02
8.000000000000000000e+01,5.751308353194285417e+01,5.779493052126232655e+00,1.341779204591217134e+00,1.004900571696228651e-01
8.100000000000000000e+01,5.677114326183276916e+01,5.271945891321882627e+00,5.065447111909511246e-01,9.286312708213877165e-02
8.200000000000000000e+01,5.642386411865434326e+01,5.126993995253503300e+00,7.088278671921304230e-01,9.086570151366969716e-02
8.300000000000000000e+01,5.608989516119792285e+01,4.787754773756399018e+00,6.223544666950988624e-01,8.535859730164890857e-02
8.400000000000000000e+01,5.523256839408583119e+01,4.669134010988305938e+00,3.990798703933426950e-01,8.453588429337401122e-02
8.500000000000000000e+01,5.489236205543168978e+01,4.869141276416356412e+00,5.484328006164833624e-01,8.870343876802705418e-02
8.600000000000000000e+01,5.410710091090174956e+01,4.701320345868571948e+00,4.342576181783909806e-01,8.688915626084353638e-02
8.700000000000000000e+01,5.354890291702669458e+01,4.537505195895761290e+00,4.056252753948460521e-01,8.473572657364361604e-02
8.800000000000000000e+01,5.311881695334533759e+01,4.963369423678983594e+00,3.613514149226612626e-01,9.343900539122226845e-02
8.900000000000000000e+01,5.277461093523164237e+01,4.741272151305038207e+00,5.461412810027824749e-01,8.984002093589715798e-02
9.000000000000000000e+01,5.242513589353505665e+01,4.466901757113515004e+00,5.069146161650210924e-01,8.520534436353006946e-02
9.100000000000000000e+01,5.184104622188701228e+01,4.507788027061807590e+00,6.181521201363093798e-01,8.695403267456905394e-02
9.200000000000000000e+01,5.132784787390988868e+01,4.513430835678808428e+00,3.822552744113476564e-01,8.793337384349987629e-02
9.300000000000000000e+01,5.113303908760051542e+01,5.186378448910436312e+00,5.564526946837163868e-01,1.014291061406538824e-01
9.400000000000000000e+01,5.078128881133013550e+01,4.499009684847115054e+00,4.832583158452041783e-01,8.859581531225951823e-02
9.500000000000000000e+01,5.024477836702205735e+01,4.009232624835092018e+00,4.831396751437938564e-01,7.979401552035772505e-02
9.600000000000000000e+01,4.972421147955969190e+01,4.628498874677655195e+00,3.720848295624931135e-01,9.308340417987942539e-02
9.700000000000000000e+01,4.966826579860779844e+01,3.929025479893442530e+00,4.666791702012750842e-01,7.910534859068046876e-02
9.800000000000000000e+01,4.884722622872264708e+01,3.950364307621625048e+00,2.106549453642319047e-01,8.087182451516095050e-02
9.900000000000000000e+01,4.854190112692513992e+01,4.644159859197797502e+00,6.322467750814587673e-01,9.567321739324673169e-02
1.000000000000000000e+02,4.848839936196946354e+01,4.894400290770096085e+00,6.190231678868509668e-01,1.009396134987471660e-01
1.010000000000000000e+02,4.802542421309332354e+01,4.099516646885336790e+00,3.780920233549486253e-01,8.536138335177209657e-02
1.020000000000000000e+02,4.780622117683645200e+01,4.648420557471423464e+00,9.213950767962493238e-01,9.723463689541148036e-02
1.030000000000000000e+02,4.774872642079201768e+01,4.024865797953737001e+00,4.068193788429245727e-01,8.429263144076494518e-02
1.040000000000000000e+02,4.729207190470979327e+01,3.894850810546460540e+00,3.923142987296965312e-01,8.235737310038586390e-02
1.050000000000000000e+02,4.710238623245275846e+01,3.974568150787158860e+00,4.375879791715706069e-01,8.438146065832961840e-02
1.060000000000000000e+02,4.673746881873307046e+01,4.542069236080490846e+00,5.023505577364956176e-01,9.718261067360074723e-02
1.070000000000000000e+02,4.638371973102592705e+01,4.280199176723188614e+00,7.587798224258311963e-01,9.227804931436270341e-02
1.080000000000000000e+02,4.619893971368286856e+01,4.312995432962955178e+00,3.558819848708337230e-01,9.335702203757639817e-02
1.090000000000000000e+02,4.588502769472680143e+01,4.159972314004529714e+00,3.781811140646393343e-01,9.066077810131957515e-02
1.100000000000000000e+02,4.545401677055732392e+01,4.429570908238403604e+00,5.185861987315147914e-01,9.745169344654358579e-02
1.110000000000000000e+02,4.532571869943544840e+01,4.335248013059918470e+00,5.681066056395694952e-01,9.564653661220193226e-02
1.120000000000000000e+02,4.510385170618524597e+01,4.151737279821099413e+00,3.847968791690224433e-01,9.204839770373218766e-02
1.130000000000000000e+02,4.496372927384432217e+01,3.813675873278393080e+00,3.482310810200598961e-01,8.481671638159318793e-02
1.140000000000000000e+02,4.438163264485113757e+01,5.195093953521817909e+00,9.069181406822560687e-01,1.170550438081848776e-01
1.150000000000000000e+02,4.403368557995979415e+01,4.241964612106339239e+00,2.926113155876267635e-01,9.633453471441652538e-02
1.160000000000000000e+02,4.380459869897531888e+01,4.086393623642072370e+00,4.782903632273359795e-01,9.328686359447602161e-02
1.170000000000000000e+02,4.345924604244780198e+01,3.810022669534497197e+00,3.062741314243352386e-01,8.766886258940495558e-02
1.180000000000000000e+02,4.290764276492176776e+01,4.175238608393994966e+00,4.683953951473197042e-01,9.730757364763399642e-02
1.190000000000000000e+02,4.283546882942967216e+01,3.862082289288315984e+00,4.076969803641056211e-01,9.016085022127531823e-02
1.200000000000000000e+02,4.250792885857038073e+01,3.992815944360490477e+00,3.852248394443916757e-01,9.393108654258663925e-02
1.210000000000000000e+02,4.229661157829926310e+01,3.847269590020527374e+00,2.824733041051424309e-01,9.095928601510980260e-02
