method,sigma,ratio,alpha,lam,kappa,at_boundary,E_gen_DE,E_gen_MC_mean,E_gen_distribution,E_acc_DE,E_acc_MC_mean,E_acc_distribution,R2_gen_DE,R2_gen_MC_mean,R2_gen_distribution,R2_acc_DE,R2_acc_MC_mean,R2_acc_distribution,slope_gen_DE,slope_gen_MC_mean,slope_gen_distribution,slope_acc_DE,slope_acc_MC_mean,slope_acc_distribution,weight_error_DE,weight_error_MC_mean,weight_error_distribution
acc_distribution,0.007409996554182586,3.162277660168379e-08,0.0019054607179632462,1.9054607179632462e-06,0.0024157673597810002,False,5.6821331336512355e-05,6.048618067927362e-05,5.6837763580213515e-05,2.2050639241213616e-10,8.067436643019174e-09,1.77190191375977e-06,0.9999431786686634,0.9999395138193208,0.9999431622364198,0.9999999997795002,0.9999999919310879,0.9999982281401677,1.0008349371377376,1.000601833411555,1.0008312221522209,1.000014849457647,0.999970906751921,1.0000186117970316,52.06924332678017,51.50441013342865,52.06972405162078
acc_distribution,0.008314152880106817,3.981071705534969e-08,0.0023442288153199225,2.3442288153199226e-06,0.002416589267703533,False,5.684630056708943e-05,6.0567229307780566e-05,5.686274052870105e-05,2.9792105363687396e-10,1.0203041186201054e-08,1.772729858446929e-06,0.9999431536994329,0.9999394327706922,0.9999431372594714,0.9999999997020892,0.9999999897947431,0.9999982273379164,1.0008352056925853,1.0006021873033533,1.0008314896479806,1.0000172603897302,0.9999644837244647,1.0000210241042093,52.07511348420902,51.52984571870202,52.07559560325588
acc_distribution,0.009328632963367675,5.011872336272725e-08,0.0026915348039269166,2.6915348039269168e-06,0.0024172397310776536,False,5.686940074396687e-05,6.0640141978406695e-05,5.688584810460822e-05,2.2155334798559803e-10,1.48136021184885e-08,1.7734778136264924e-06,0.999943130599256,0.9999393598580211,0.9999431141518954,0.9999999997784532,0.9999999851816228,0.9999982265647434,1.0008354148771985,1.0006024959611022,1.0008316977675755,1.0000148846682189,0.9999402374301621,1.0000186491861736,52.082499431597526,51.561535151835315,52.082983143723176
acc_distribution,0.010466898338308139,6.30957344480193e-08,0.003311311214825911,3.311311214825911e-06,0.002418400244875134,False,5.690588369337712e-05,6.075432903455929e-05,5.692234242682537e-05,2.797655207738828e-10,1.9146383157106137e-08,1.7746801383886823e-06,0.9999430941163067,0.9999392456709651,0.9999430776575733,0.9999999997202439,0.9999999808464303,0.9999982253821023,1.0008357928257532,1.0006030756586306,1.0008320741380385,1.0000167261926562,0.9999278707497714,1.000020492550552,52.091784421551765,51.59882553263894,52.0922702797335
acc_distribution,0.011744053094884296,7.943282347242822e-08,0.004073802778041126,4.0738027780411255e-06,0.0024198275415159365,False,5.6951074227346204e-05,6.089255559529604e-05,5.6967547072999144e-05,3.456291838710025e-10,2.4747281623389313e-08,1.776174987112852e-06,0.9999430489257727,0.9999391074444047,0.9999430324529269,0.9999999996543837,0.9999999752419697,0.999998223907237,1.0008362573231384,1.0006038393603354,1.0008325366734325,1.0000185911049664,0.9999136219225043,1.0000223597015556,52.10345646728062,51.643488658967,52.1039450093409
acc_distribution,0.01317704430076226,1e-07,0.005011872336272725,5.011872336272725e-06,0.0024215828244049586,False,5.700705145491606e-05,6.105948814141704e-05,5.702354181263039e-05,4.1562350840692927e-10,3.191144233482391e-08,1.7780296773038656e-06,0.999942992948545,0.9999389405118587,0.9999429764581873,0.9999999995843935,0.9999999680726189,0.9999982220718596,1.0008368281360194,1.00060483357194,1.0008331050472252,1.0000203868464557,0.9998974868199633,1.0000241581666292,52.11812412379618,51.69671309654836,52.11861602155986
acc_distribution,0.014784886878609762,1.2589254117941662e-07,0.005754399373371567,5.754399373371567e-06,0.0024229716875865163,False,5.7059702929928976e-05,6.121139832358612e-05,5.70762103761807e-05,1.2342419337566202e-10,5.119664335440678e-08,1.7797262586559909e-06,0.9999429402970701,0.9999387886016763,0.9999429237896237,0.9999999998765785,0.999999948769748,0.9999982202763901,1.0008372713929725,1.0006056561054806,1.0008335458072577,1.0000111096441606,0.9998445309008441,1.000014882410226,52.136570935339165,51.7631168550713,52.137066712826304
acc_distribution,0.016588915922567116,1.584893192461114e-07,0.00707945784384138,7.07945784384138e-06,0.0024254489945027663,False,5.714175718567162e-05,6.14437257412188e-05,5.715829053130547e-05,9.606585404774854e-11,6.663476918345048e-08,1.7824270994770297e-06,0.9999428582428144,0.999938556274259,0.9999428417094687,0.9999999999039361,0.9999999333154374,0.9999982175616697,1.0008380738825629,1.0006071646064858,1.0008343446507983,1.0000098013189953,0.9998175893531182,1.0000135776849535,52.15971474092525,51.838593598248096,52.16021569021644
acc_distribution,0.01861306980198398,1.9952623149688787e-07,0.009332543007969915,9.332543007969914e-06,0.002429657938316395,False,5.726864591363758e-05,6.179202692244615e-05,5.72852184308295e-05,5.615387610311345e-10,6.587218167288795e-08,1.7866613506496274e-06,0.9999427313540864,0.9999382079730776,0.9999427147815692,0.9999999994384878,0.9999999340795465,0.9999982134764983,1.0008394497616135,1.0006098195400381,1.0008357151906218,1.0000236968090896,0.9998392123278369,1.000027480381511,52.188698181964895,51.92183039891018,52.18920605931718
acc_distribution,0.02088420780903663,2.5118864315095823e-07,0.01148153621496883,1.1481536214968829e-05,0.002433668475764401,False,5.740037649644302e-05,6.213865051513877e-05,5.741699053065949e-05,5.380630271253896e-10,8.231517255020324e-08,1.7909737202416395e-06,0.9999425996235035,0.9999378613494855,0.9999425830094694,0.9999999994619619,0.9999999176170742,0.9999982091592605,1.0008407498096072,1.0006124167547659,1.0008370094227383,1.0000231961856159,0.9998174311592645,1.0000269857325488,52.22507710411018,52.02436540866345,52.22559314901523
