model,metric,tau,noise_255,trace,mc_se,seed_sd,seed_min,seed_max,exact_trace,relative_to_exact,relative_mc_se,outside_rgb_fraction,n_seeds,directions,centers,h
resnet50,neighborhood,0.0078431372549019,1.9999999999999845,15733.670540110097,52.81879451508845,13114.00644903589,4410.578831475603,42879.46492659421,21364.035101848312,0.7364559393908174,0.00247232296068072,0.004931901425731388,10,64,8,3e-06
resnet50,neighborhood,0.0313725490196078,7.999999999999989,6603.318771268398,14.789410580247818,2541.249172269104,2719.9290929568438,11631.090397882228,21364.035101848312,0.30908574807093026,0.0006922573619516432,0.01823576972598115,10,64,8,3e-06
resnet50,neighborhood,0.0627450980392156,15.999999999999979,3422.209281957722,7.5926306424117005,911.4409491624118,1439.5248377618989,4431.382802361588,21364.035101848312,0.16018552982351397,0.00035539309901970825,0.03792809077671593,10,64,8,3e-06
resnet50,odd,0.0019607843137254,0.499999999999977,10243.683618397186,69.95127027406772,6814.058991968026,3986.71648731147,24850.427110466444,21364.035101848312,0.4794826243994962,0.0032742536669964507,0.001477321962110013,10,64,8,3e-06
resnet50,odd,0.0078431372549019,1.9999999999999845,4519.445432710438,27.440489090369077,1427.99505801192,1846.9517661509844,6682.992774708875,21364.035101848312,0.21154456127622806,0.0012844244525695924,0.004931901425731388,10,64,8,3e-06
resnet50,odd,0.0313725490196078,7.999999999999989,1086.6663218908143,5.694260672398847,288.8010488619837,489.546772422548,1509.5924902206252,21364.035101848312,0.0508642827401459,0.0002665348865629886,0.01823576972598115,10,64,8,3e-06
resnet50,odd,0.0627450980392156,15.999999999999979,416.520249946657,2.395850514353748,110.99603303231314,194.2269875468444,559.2282337511995,21364.035101848312,0.01949632866455184,0.00011214410119305929,0.03792809077671593,10,64,8,3e-06
resnet50,smooth,0.0019607843137254,0.499999999999977,9553.313459616995,75.78100879874194,5649.385697605027,3900.9861337574616,20827.177659872705,21364.035101848312,0.44716802860853233,0.003547129951690902,0.001477321962110013,10,64,8,3e-06
resnet50,smooth,0.0078431372549019,1.9999999999999845,3792.685576018147,31.8503674705891,937.9431838262698,1609.8597542266866,4813.822419179933,21364.035101848312,0.17752664971468907,0.0014908404390251895,0.004931901425731388,10,64,8,3e-06
resnet50,smooth,0.0313725490196078,7.999999999999989,766.8910166903626,7.855242335297772,255.48866146746352,355.98952465803546,1123.3397899043011,21364.035101848312,0.03589635633130068,0.00036768533181347256,0.01823576972598115,10,64,8,3e-06
resnet50,smooth,0.0627450980392156,15.999999999999979,258.65809976744976,3.540532140304612,86.36375232332027,122.6004951767246,373.96847549546646,21364.035101848312,0.012107174442204128,0.0001657239432263572,0.03792809077671593,10,64,8,3e-06
resnet50,step,0.0019607843137254,0.499999999999977,29928.904936522973,142.2369835063036,36026.90391599249,4438.366095734345,122399.64584180086,21364.035101848312,1.4009013182127599,0.006657777092586688,0.001477321962110013,10,64,8,3e-06
resnet50,step,0.0078431372549019,1.9999999999999845,51087.75123267998,89.5643305051573,42153.67269867368,4836.5728257174815,126358.26690825733,21364.035101848312,2.391296915078562,0.004192294670841869,0.004931901425731388,10,64,8,3e-06
resnet50,step,0.0313725490196078,7.999999999999989,19222.570748411683,26.079517658273687,7074.748856834792,4783.548604084896,28198.4406883185,21364.035101848312,0.8997631138861328,0.001220720595802495,0.01823576972598115,10,64,8,3e-06
resnet50,step,0.0627450980392156,15.999999999999979,9203.862470663202,12.301601573422031,2595.5983806763597,4108.923167932677,12588.753776731188,21364.035101848312,0.4308110535666986,0.0005758089010234662,0.03792809077671593,10,64,8,3e-06
resnet50,variance,0.0019607843137254,0.499999999999977,12091.06182409768,73.22292972714756,9395.485858697191,4122.682019419712,33234.72392575047,21364.035101848312,0.5659540328620608,0.0034273923150787496,0.001477321962110013,10,64,8,3e-06
resnet50,variance,0.0078431372549019,1.9999999999999845,6372.822372633686,30.19915323071323,2650.492556296261,2678.561702173873,10891.34692885678,21364.035101848312,0.29829675631277824,0.0014135510022683189,0.004931901425731388,10,64,8,3e-06
resnet50,variance,0.0313725490196078,7.999999999999989,1854.8231757401657,6.942991865316351,433.41299007378984,874.7221292021907,2308.2176940471186,21364.035101848312,0.0868198899176914,0.0003249850429573427,0.01823576972598115,10,64,8,3e-06
