pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
9.600000000000000000e+01,9.130497712273825950e-02,1.076853328251740072e-01,2.250456523835958622e-01,5.588987088801634640e-01,7.753632263224381482e-01
9.700000000000000000e+01,9.238404319718207525e-02,1.089324381978307305e-01,2.272395515349000805e-01,5.615888458435908115e-01,7.770210200360637698e-01
9.800000000000000000e+01,9.334145918588948598e-02,1.100379044260232364e-01,2.291704306833930727e-01,5.639158269598504303e-01,7.784452583053640407e-01
9.900000000000000000e+01,9.460989944774246541e-02,1.115019640389742633e-01,2.317207296048647280e-01,5.669693450418555880e-01,7.803094211520363865e-01
1.000000000000000000e+02,9.610817193016382709e-02,1.132311910066122335e-01,2.347314936424212961e-01,5.705700597870227986e-01,7.825066637074021836e-01
1.010000000000000000e+02,9.729771510251644662e-02,1.146033376432237932e-01,2.371105906266670338e-01,5.733871267289463169e-01,7.842190618911032418e-01
1.020000000000000000e+02,9.907223223194694395e-02,1.166497109686342737e-01,2.406516037593215973e-01,5.775601384276274342e-01,7.867510374125390449e-01
1.030000000000000000e+02,1.004542654134605167e-01,1.182433598228177646e-01,2.434077753785905684e-01,5.808041746649880155e-01,7.887184081828513271e-01
1.040000000000000000e+02,1.015934050621087464e-01,1.195561830578247275e-01,2.456686875666337644e-01,5.834388707517923489e-01,7.903101246195569640e-01
1.050000000000000000e+02,1.028528446098250504e-01,1.210073037157843728e-01,2.481633356489167108e-01,5.863338432332563244e-01,7.920562951389384931e-01
1.060000000000000000e+02,1.038002427200869354e-01,1.220983874491967380e-01,2.500325720284732878e-01,5.884856042457219383e-01,7.933501963499217657e-01
1.070000000000000000e+02,1.049724681202846288e-01,1.234477829128724086e-01,2.523365186768253277e-01,5.911169550197901135e-01,7.949277678062839358e-01
1.080000000000000000e+02,1.058321818772094830e-01,1.244371960617949580e-01,2.540228145859707021e-01,5.930349250348566637e-01,7.960758520051738341e-01
1.090000000000000000e+02,1.070896172166970056e-01,1.258837357551658431e-01,2.564806574456511834e-01,5.958107440132313082e-01,7.977330296422150413e-01
1.100000000000000000e+02,1.084408927737961909e-01,1.274373340626424322e-01,2.591091550649015085e-01,5.987503893167910318e-01,7.994816082256972489e-01
1.110000000000000000e+02,1.097701585874352459e-01,1.289653622785413012e-01,2.616910720284995051e-01,6.016294919489401094e-01,8.011923089574334300e-01
1.120000000000000000e+02,1.108274075379495904e-01,1.301803324802956185e-01,2.637394272608136747e-01,6.039020317352262746e-01,8.025400581359785068e-01
1.130000000000000000e+02,1.115243044526884469e-01,1.309810390778259337e-01,2.650874445152144876e-01,6.053927700351035002e-01,8.034230994673141613e-01
1.140000000000000000e+02,1.127181257816747689e-01,1.323515793217093783e-01,2.673810182979736161e-01,6.078951702978163674e-01,8.048980601356749975e-01
1.150000000000000000e+02,1.137741524144791350e-01,1.335633273364327522e-01,2.694014796979710691e-01,6.100817014014368045e-01,8.061830133455802905e-01
1.160000000000000000e+02,1.147586259718393897e-01,1.346925981642953518e-01,2.712798563366387028e-01,6.121035249050541527e-01,8.073688446027236232e-01
1.170000000000000000e+02,1.159578166491120055e-01,1.360674735283208536e-01,2.735583177791118259e-01,6.145359854575942471e-01,8.087913011929400708e-01
1.180000000000000000e+02,1.167327089940615598e-01,1.369551599021587851e-01,2.750205861426262000e-01,6.160766042007556065e-01,8.096879628366825399e-01
1.190000000000000000e+02,1.183688848700125557e-01,1.388292946063565958e-01,2.781053542152359115e-01,6.193210084808812299e-01,8.115750780021396826e-01
1.200000000000000000e+02,1.195729935330996641e-01,1.402078352197018984e-01,2.803661400998768705e-01,6.216800063617885508e-01,8.129433247677578800e-01
1.210000000000000000e+02,1.211598607467838928e-01,1.420239896185752360e-01,2.833375400335707006e-01,6.247645709564280114e-01,8.147291470454690598e-01
1.220000000000000000e+02,1.222759111857045639e-01,1.433008329595805153e-01,2.854210455165816507e-01,6.269150854052949473e-01,8.159716829084925349e-01
1.230000000000000000e+02,1.234421985554603335e-01,1.446342039365039744e-01,2.875856146998842511e-01,6.291247240749882064e-01,8.172434354672676315e-01
1.240000000000000000e+02,1.245367300093104812e-01,1.458852020927124682e-01,2.896125050342455709e-01,6.311852276373234316e-01,8.184276309743668820e-01
1.250000000000000000e+02,1.253104435783790049e-01,1.467691338676993251e-01,2.910401487871783766e-01,6.326268341580554289e-01,8.192542044536395007e-01
1.260000000000000000e+02,1.269726697798157222e-01,1.486675622426927301e-01,2.940994702631211655e-01,6.357015089079645076e-01,8.210142420775602412e-01
1.270000000000000000e+02,1.282839026498515667e-01,1.501639720002179712e-01,2.964976448218341609e-01,6.380838610728964966e-01,8.223725157403436459e-01
1.280000000000000000e+02,1.295717004758303870e-01,1.516331299738318539e-01,2.988463140840312837e-01,6.404049734914178948e-01,8.236935239272340503e-01
1.290000000000000000e+02,1.307489897570149051e-01,1.529759405388085303e-01,3.009898345931403818e-01,6.425168443285712572e-01,8.248941844195910589e-01
1.300000000000000000e+02,1.320330512549941770e-01,1.544400470822319682e-01,3.033214037517626971e-01,6.448026167655364072e-01,8.261915153487306984e-01
1.310000000000000000e+02,1.328639710212406733e-01,1.553872590142322818e-01,3.048273707243230324e-01,6.462740315834945015e-01,8.270256853707701472e-01
1.320000000000000000e+02,1.341864062175834593e-01,1.568941250544658716e-01,3.072157313088155206e-01,6.485927497022533350e-01,8.283373648073202311e-01
1.330000000000000000e+02,1.355732903066184936e-01,1.584737855128966477e-01,3.097122102724434445e-01,6.510020192020476992e-01,8.296975261773374966e-01
1.340000000000000000e+02,1.366521811520983176e-01,1.597024455946841059e-01,3.116517626225929760e-01,6.528694584014586022e-01,8.307509681131620694e-01
1.350000000000000000e+02,1.382656664512868228e-01,1.615384152468834489e-01,3.145332580476747353e-01,6.556112516844271321e-01,8.322915339232864751e-01
1.360000000000000000e+02,1.391105283920359148e-01,1.624996333389048253e-01,3.160402736158007819e-01,6.570421510661182962e-01,8.330949600540311639e-01
1.370000000000000000e+02,1.401492778616356960e-01,1.636807830878468095e-01,3.178847971362550040e-01,6.587795912992205905e-01,8.340679191292089678e-01
1.380000000000000000e+02,1.413263077434060710e-01,1.650186244670016900e-01,3.199679970331427703e-01,6.607305138898548202e-01,8.351583344196241709e-01
1.390000000000000000e+02,1.425824215717530208e-01,1.664461290027965390e-01,3.221883322993939758e-01,6.628052166755066255e-01,8.363170772571681955e-01
1.400000000000000000e+02,1.435157833858703158e-01,1.675063262707980893e-01,3.238316892363295452e-01,6.643302662664143377e-01,8.371669088054116692e-01
1.410000000000000000e+02,1.447672004071842433e-01,1.689275776316594979e-01,3.260322729477727055e-01,6.663679595095661767e-01,8.383015947029950343e-01
1.420000000000000000e+02,1.460881377322273134e-01,1.704274923936366093e-01,3.283514737445220599e-01,6.685096542663004904e-01,8.394931313288804819e-01
1.430000000000000000e+02,1.479353809632215633e-01,1.725239784600103021e-01,3.315817558835442158e-01,6.714720733305504785e-01,8.411375507221865444e-01
1.440000000000000000e+02,1.495594428492574013e-01,1.743666512944287150e-01,3.344153515183390102e-01,6.740605961394112722e-01,8.425726029445761434e-01
1.450000000000000000e+02,1.506377508771002960e-01,1.755896473635206734e-01,3.362910711407122721e-01,6.757652279582062604e-01,8.435160468724202110e-01
1.460000000000000000e+02,1.515472907574346162e-01,1.766210757072858295e-01,3.378713253967255969e-01,6.771984017974659320e-01,8.443087237077593343e-01
1.470000000000000000e+02,1.527824144404376638e-01,1.780209100955019164e-01,3.400073539074416895e-01,6.791203902269074000e-01,8.453690572833593153e-01
1.480000000000000000e+02,1.535644245314676248e-01,1.789069408841895414e-01,3.413565424319530139e-01,6.803294729558723164e-01,8.460352230453590527e-01
1.490000000000000000e+02,1.546325669807927239e-01,1.801164922139638636e-01,3.431912416696568102e-01,6.819613748157060673e-01,8.469321952592825387e-01
1.500000000000000000e+02,1.555910292257934591e-01,1.812015673357645629e-01,3.448342208579066037e-01,6.834177791226211385e-01,8.477318366163387742e-01
1.510000000000000000e+02,1.570042384365438193e-01,1.828003541596150139e-01,3.472434205803406337e-01,6.855337906738110387e-01,8.488902398240952829e-01
