pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
2.500000000000000000e+01,1.248411586196695316e-02,1.508906939984175008e-02,3.910312226019026921e-02,2.073476866043405809e-01,5.143629536075473574e-01
2.600000000000000000e+01,1.325091770418799532e-02,1.600917830555161764e-02,4.133083431452767853e-02,2.150651908811940516e-01,5.227408230627809127e-01
2.700000000000000000e+01,1.392610038906111868e-02,1.681893454538575111e-02,4.328236950748480527e-02,2.216831054243404708e-01,5.297922464202980963e-01
2.800000000000000000e+01,1.471958523478088601e-02,1.777018985591516387e-02,4.556670346430494178e-02,2.293029816816172239e-01,5.377972403214231756e-01
2.900000000000000000e+01,1.568299596819103248e-02,1.892433762337545830e-02,4.832077297402235377e-02,2.382303056234406913e-01,5.469525996046679106e-01
3.000000000000000000e+01,1.649648332261633571e-02,1.989812061309213786e-02,5.062842391018819443e-02,2.454839861571125603e-01,5.542067121593060586e-01
3.100000000000000000e+01,1.727332674322588565e-02,2.082788128055916912e-02,5.282844256821839224e-02,2.523538255520029749e-01,5.610405636312829625e-01
3.200000000000000000e+01,1.817186306419651606e-02,2.190169540724066707e-02,5.533629459933708805e-02,2.597555750189690649e-01,5.680859108746046937e-01
3.300000000000000000e+01,1.888731077859853724e-02,2.275599380602155719e-02,5.731695130741443212e-02,2.654248725761616523e-01,5.733591799446839943e-01
3.400000000000000000e+01,1.972591479998984237e-02,2.375693675329158122e-02,5.962923445946526069e-02,2.719452894375323226e-01,5.793576699501935545e-01
3.500000000000000000e+01,2.047285578482951549e-02,2.464770551810889845e-02,6.167162642252790178e-02,2.775311239896952609e-01,5.843839380222215496e-01
3.600000000000000000e+01,2.136482311769524398e-02,2.571121017751387336e-02,6.410577040714968144e-02,2.841411427347997898e-01,5.903017275331255975e-01
3.700000000000000000e+01,2.225865298558803856e-02,2.677610488143549947e-02,6.652666624053016342e-02,2.905402318870382028e-01,5.959233127813025055e-01
3.800000000000000000e+01,2.307714160536350478e-02,2.775087434558448987e-02,6.873551225360648165e-02,2.963048429703383224e-01,6.009431742287230094e-01
3.900000000000000000e+01,2.372739438053284716e-02,2.852500917818151863e-02,7.048432304057056230e-02,3.008142652150022078e-01,6.048378888279064558e-01
4.000000000000000000e+01,2.445662910921927655e-02,2.939291749803306028e-02,7.244000185220333954e-02,3.058076633621840124e-01,6.091219635180961101e-01
4.100000000000000000e+01,2.530474398720676879e-02,3.040152973141346804e-02,7.469761940824151680e-02,3.114262543308240483e-01,6.138608668329690321e-01
4.200000000000000000e+01,2.636470763098017200e-02,3.166145562297052046e-02,7.750579026534544502e-02,3.183032946750682379e-01,6.196002957635887709e-01
4.300000000000000000e+01,2.724432584042947234e-02,3.270605815019542867e-02,7.981591884416125438e-02,3.237979757919941526e-01,6.241008374474054099e-01
4.400000000000000000e+01,2.826731718669842075e-02,3.392070968885400883e-02,8.249804755121310784e-02,3.301419126391124670e-01,6.292786129281441321e-01
