trial,sigma,alpha,lam,kappa
35,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
35,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
35,41.66947281934956,128.82495516931323,0.1288249551693132,0.1383538836469589
36,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
36,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
36,13.177044300762262,48.97788193684456,0.0489778819368445,0.0566155364806987
36,41.66947281934956,208.92961308540364,0.2089296130854036,0.2194695937465584
37,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
37,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
37,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
37,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
38,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
38,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
38,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
38,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
39,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
39,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
39,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
39,41.66947281934956,112.2018454301963,0.1122018454301963,0.1214492539872679
40,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
40,4.166947281934956,8.709635899560796,0.0087096358995607,0.0136165155674846
40,13.177044300762262,30.19951720402013,0.0301995172040201,0.0369749015733597
40,41.66947281934956,138.03842646028838,0.1380384264602883,0.1477093679019815
41,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
41,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
41,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
41,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
42,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
