geometry_id,model,layer,fd_error,fd_quality,cache_relative_l2,cache_p99_sd_error,cache_max_sd_error,alias_count,seed_archives,max_variance_identity_error,max_step_identity_error,max_variance_identity_relative,max_step_identity_relative
dinov2_vitb14_reg__.blocks.NestedTensorBlock7__7cad87db8b,dinov2_vitb14_reg,.blocks.NestedTensorBlock7,0.0008762967982375403,pass,0.0003647753370703087,,0.0005222906509614899,4,10,0.015625,0.015625,5.960436055829632e-08,5.9604289504022745e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock8__e3621f7acb,dinov2_vitb14_reg,.blocks.NestedTensorBlock8,0.0008604228318688499,pass,0.0003541955273098721,,0.0005142228043182576,2,10,0.03125,0.03125,5.9604261082313315e-08,5.960441740171518e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock9__d45a968c54,dinov2_vitb14_reg,.blocks.NestedTensorBlock9,0.0012792631384268727,pass,0.0003923969635264434,,0.0007057756452108698,2,10,0.0625,0.0625,5.960448845598876e-08,5.960448845598876e-08
radio_v2.5-b__.model.blocks.Block10__2a39fcd583,radio_v2.5-b,.model.blocks.Block10,0.002282999333924884,pass,1.9251142780119096e-06,,3.6920714963652573e-06,8,10,0.00390625,0.00390625,5.960444582342461e-08,5.9604531088552903e-08
radio_v2.5-b__.model.blocks.Block11__5129994521,radio_v2.5-b,.model.blocks.Block11,0.0013340520975674939,pass,1.7578796122544223e-06,,5.31051807955318e-06,4,10,0.0078125,0.0078125,5.960454529940762e-08,5.9604289504022745e-08
radio_v2.5-b__.model.blocks.Block2__a987243f1d,radio_v2.5-b,.model.blocks.Block2,0.0007086038429969201,pass,8.713967746037879e-07,,1.8511313775173808e-06,2,10,0.00390625,0.00390625,5.960460214282648e-08,5.960457372111705e-08
radio_v2.5-b__.model.blocks.Block3__b2160b13a5,radio_v2.5-b,.model.blocks.Block3,0.000872208710224016,pass,1.0380136679482294e-06,,2.2131122157363194e-06,2,10,0.001953125,0.001953125,5.960454529940762e-08,5.960463056453591e-08
radio_v2.5-b__.model.blocks.Block4__fc63cb6d0a,radio_v2.5-b,.model.blocks.Block4,0.000751347121029389,pass,1.2412087781759636e-06,,2.347045071858263e-06,1,10,0.00390625,0.00390625,5.960438898000575e-08,5.960441740171518e-08
radio_v2.5-b__.model.blocks.Block5__9fe153bdbd,radio_v2.5-b,.model.blocks.Block5,0.005915650965561359,pass,4.300315260113033e-06,,6.229423527121623e-06,4,10,0.001953125,0.001953125,5.9604616353681195e-08,5.9604374769151036e-08
radio_v2.5-b__.model.blocks.Block6__acc444f483,radio_v2.5-b,.model.blocks.Block6,0.004373320136743881,pass,3.6302322990579514e-06,,5.199819457422059e-06,1,10,0.0009765625,0.0009765625,5.960441740171518e-08,5.9604587931971764e-08
radio_v2.5-b__.model.blocks.Block7__17d2e7ce44,radio_v2.5-b,.model.blocks.Block7,0.0033746826485617156,pass,2.5085988733127216e-06,,3.673432602466671e-06,3,10,0.001953125,0.001953125,5.960427529316803e-08,5.960450266684347e-08
regnety_640__.s3.Bottleneckb1__b8e9169f5d,regnety_640,.s3.Bottleneckb1,0.020684187279568653,pass,0.0007001628507027289,0.0007634101211271844,0.0012118338305071908,2,10,0.0078125,0.0078125,5.9604616353681195e-08,5.9604559510262334e-08
regnety_640__.s3.Bottleneckb11__c1599550b0,regnety_640,.s3.Bottleneckb11,0.021551465501537744,pass,0.0006489841242060336,0.0004919386819078825,0.0006120764175082835,1,10,0.00390625,0.00390625,5.960447424513404e-08,5.9604559510262334e-08
regnety_640__.s3.Bottleneckb3__dec3b30327,regnety_640,.s3.Bottleneckb3,0.020668567561576305,pass,0.000715442135121596,0.0007484992312218605,0.0008593825292159981,4,10,0.00390625,0.00390625,5.9604616353681195e-08,5.9604616353681195e-08
regnety_640__.s3.Bottleneckb4__a67179bc31,regnety_640,.s3.Bottleneckb4,0.020789665438909158,pass,0.0007188776829379897,0.000718168045489403,0.0010051513940287158,2,10,0.0078125,0.0078125,5.960433213658689e-08,5.9604261082313315e-08
regnety_640__.s3.Bottleneckb5__00b2e5825d,regnety_640,.s3.Bottleneckb5,0.022791306314039146,pass,0.0007823327018402497,0.0007480655665659468,0.0008916486645395083,4,10,0.00390625,0.00390625,5.9604559510262334e-08,5.9604559510262334e-08
regnety_640__.s3.Bottleneckb7__f6f3d2fd33,regnety_640,.s3.Bottleneckb7,0.02322930087134363,pass,0.0007025053013861722,0.0006756807457433745,0.0009098483982996562,1,10,0.001953125,0.001953125,5.9604317925732175e-08,5.960454529940762e-08
regnety_640__.s3.Bottleneckb8__3e2eb8be42,regnety_640,.s3.Bottleneckb8,0.021297782639442337,pass,0.0007274749235881506,0.0006364813281457461,0.0009151892509196053,1,10,0.001953125,0.001953125,5.960446003427933e-08,5.9604587931971764e-08
regnety_640__.s3.Bottleneckb9__b30282c9d3,regnety_640,.s3.Bottleneckb9,0.01780936508116763,pass,0.0006733693929509171,0.0006514807302914583,0.0008558045997424646,4,10,0.001953125,0.001953125,5.9604616353681195e-08,5.960457372111705e-08
regnety_640__.s4.Bottleneckb1__7688202083,regnety_640,.s4.Bottleneckb1,0.027077081547878926,pass,0.00048336737365525594,0.0005637041683892289,0.000705345191492689,6,10,0.0009765625,0.0009765625,5.960463056453591e-08,5.960464477539063e-08
resnet50__.layer3.Bottleneck0__0088b97a86,resnet50,.layer3.Bottleneck0,0.03325972805241187,pass,0.0009055397190789318,0.0011601677204338098,0.0014246168271358087,2,10,0.0078125,0.0078125,5.960460214282648e-08,5.9604559510262334e-08
resnet50__.layer3.Bottleneck1__3b0fa710da,resnet50,.layer3.Bottleneck1,0.031913311218547395,pass,0.0009107346172405049,0.001155237884471836,0.0014456303706757588,4,10,0.00390625,0.00390625,5.9604616353681195e-08,5.960409055205673e-08
resnet50__.layer3.Bottleneck2__8aca2b9a9a,resnet50,.layer3.Bottleneck2,0.0259842497091801,pass,0.0008768491093605511,0.00105594720264222,0.001348890941370815,1,10,0.00390625,0.00390625,5.9604616353681195e-08,5.960448845598876e-08
resnet50__.layer3.Bottleneck3__cabefbe255,resnet50,.layer3.Bottleneck3,0.01801070907131032,pass,0.0008499634070948839,0.0008957253181346835,0.001206113447503551,3,10,0.0078125,0.0078125,5.960463056453591e-08,5.96042468714586e-08
resnet50__.layer3.Bottleneck4__fe851e4e44,resnet50,.layer3.Bottleneck4,0.013958999932471128,pass,0.0007783251041151228,0.0008484733233725066,0.0010124915002458243,3,10,0.0078125,0.0078125,5.960441740171518e-08,5.9604559510262334e-08
resnet50__.layer3.Bottleneck5__9270a61b14,resnet50,.layer3.Bottleneck5,0.01519916968642957,pass,0.0007053131074090701,0.0007434608876761856,0.0010012097505936032,3,10,0.0078125,0.0078125,5.9604232660603884e-08,5.96044316125699e-08
resnet50__.layer4.Bottleneck0__0e6bada263,resnet50,.layer4.Bottleneck0,0.015036509880083869,pass,0.0010789673231269324,0.0016308195255799183,0.002140748068664027,6,10,0.015625,0.015625,5.960460214282648e-08,5.960460214282648e-08
resnet50__.layer4.Bottleneck1__d983f3b75e,resnet50,.layer4.Bottleneck1,0.018782707078902283,pass,0.0008493530760084955,0.0016261730132256568,0.0020840343818860707,2,10,0.015625,0.015625,5.960451687769819e-08,5.960450266684347e-08
resnet50__.layer4.Bottleneck2__9e38c71090,resnet50,.layer4.Bottleneck2,0.03236380965082103,pass,0.0006511786307904731,0.0016935550913278028,0.0019777560422761485,1,10,0.125,0.125,5.960463056453591e-08,5.960463056453591e-08
resnet50_clip__.layer2.Bottleneck1__945c5fe34c,resnet50_clip,.layer2.Bottleneck1,0.31345817054683434,marginal,0.0005621081350383718,0.0006352663129374728,0.0008142257506808832,2,10,1.0,1.0,5.960446003427933e-08,5.960446003427933e-08
resnet50_clip__.layer3.Bottleneck0__3af83ac7d7,resnet50_clip,.layer3.Bottleneck0,0.35974093638590277,marginal,0.0007213232582158653,0.0011425881067839469,0.0015367564019785108,1,10,0.125,0.125,5.960433213658689e-08,5.9604346347441606e-08
resnet50_clip__.layer3.Bottleneck1__16a06b893f,resnet50_clip,.layer3.Bottleneck1,0.3022700618450952,marginal,0.0009454317622599537,0.0013263166351460646,0.0015464991907135626,3,10,0.125,0.125,5.960427529316803e-08,5.9604559510262334e-08
resnet50_clip__.layer3.Bottleneck2__a2882187a5,resnet50_clip,.layer3.Bottleneck2,0.3723862762511682,marginal,0.0009426511141480268,0.0013333077498593829,0.0017595418611329509,2,10,0.0625,0.0625,5.960448845598876e-08,5.960447424513404e-08
resnet50_clip__.layer3.Bottleneck4__7c1cde76ff,resnet50_clip,.layer3.Bottleneck4,0.4080076540791022,marginal,0.001007409475562739,0.0011826336220792948,0.0015176543119753319,1,10,0.015625,0.015625,5.960448845598876e-08,5.9604616353681195e-08
resnet50_clip__.layer3.Bottleneck5__cd4b551763,resnet50_clip,.layer3.Bottleneck5,0.3961984338404381,marginal,0.001096723395828658,0.0012475151303606026,0.0018629134611498307,4,10,0.015625,0.015625,5.9604289504022745e-08,5.9604616353681195e-08
resnet50_clip__.layer4.Bottleneck0__972f01c801,resnet50_clip,.layer4.Bottleneck0,0.4409639173901718,marginal,0.0012626923986396642,0.0018626740711202598,0.0024252933310924658,7,10,0.125,0.125,5.960454529940762e-08,5.960457372111705e-08
resnet50_clip__.layer4.Bottleneck1__9cfd21d4a8,resnet50_clip,.layer4.Bottleneck1,0.43536202069182395,marginal,0.0011879191486798056,0.0018488608929218987,0.0023296115406713012,4,10,0.25,0.25,5.9604531088552903e-08,5.9604317925732175e-08
resnet50_clip__.layer4.Bottleneck2__0d41993ebb,resnet50_clip,.layer4.Bottleneck2,0.4591915411184025,marginal,0.0019357688443294475,0.00273919603383524,0.0049515585931148316,1,10,0.125,0.125,5.960454529940762e-08,5.960454529940762e-08
resnet50_dino__.layer3.Bottleneck2__c2bc25709f,resnet50_dino,.layer3.Bottleneck2,0.030408014288456988,pass,0.0009985193723392322,0.0014391423836513215,0.0018594791547590524,4,10,0.0625,0.0625,5.960436055829632e-08,5.96042468714586e-08
resnet50_dino__.layer3.Bottleneck4__b8361158b8,resnet50_dino,.layer3.Bottleneck4,0.033173396630271426,pass,0.0007748558116930731,0.0011021819172016706,0.0013033128924230767,3,10,0.03125,0.03125,5.960463056453591e-08,5.960463056453591e-08
resnet50_dino__.layer3.Bottleneck5__a56147500a,resnet50_dino,.layer3.Bottleneck5,0.032627407226870304,pass,0.000825874403064016,0.0012023215104368047,0.00166569253247034,1,10,0.125,0.125,5.9604403190860467e-08,5.960457372111705e-08
resnet50_dino__.layer4.Bottleneck0__6379bde673,resnet50_dino,.layer4.Bottleneck0,0.03242719011017324,pass,0.0008628001383318342,0.001253055959092414,0.0018353089961263142,7,10,0.0625,0.0625,5.960444582342461e-08,5.960444582342461e-08
resnet50_dino__.layer4.Bottleneck1__4435581331,resnet50_dino,.layer4.Bottleneck1,0.03350677416908525,pass,0.0007187259035000465,0.001101061864932638,0.0017065887008794712,6,10,0.03125,0.03125,5.960436055829632e-08,5.960419002803974e-08
resnet50_dino__.layer4.Bottleneck2__545b0410c3,resnet50_dino,.layer4.Bottleneck2,0.033474393656367764,pass,0.0007164922917731233,0.0011205269847529688,0.001501957520196509,4,10,0.03125,0.03125,5.9604616353681195e-08,5.9604317925732175e-08
resnet50_robust__.layer3.Bottleneck1__c25d5fc01c,resnet50_robust,.layer3.Bottleneck1,0.02476290029722219,pass,0.00024374452612963872,0.00039828658334537377,0.0007566350841772877,1,10,0.00048828125,0.00048828125,5.960414739547559e-08,5.960450266684347e-08
resnet50_robust__.layer3.Bottleneck3__5f62f97197,resnet50_robust,.layer3.Bottleneck3,0.01864693331967633,pass,0.0002225074561430486,0.0003794452224248784,0.0006038548235043394,1,10,0.000244140625,0.000244140625,5.960447424513404e-08,5.960447424513404e-08
resnet50_robust__.layer3.Bottleneck4__8e36524a3a,resnet50_robust,.layer3.Bottleneck4,0.010145843258509507,pass,0.00021932629276399118,0.00036580159807823593,0.0006674604037663572,4,10,0.000244140625,0.000244140625,5.9604559510262334e-08,5.9604559510262334e-08
resnet50_robust__.layer4.Bottleneck0__1fa2410d40,resnet50_robust,.layer4.Bottleneck0,0.01969650505573042,pass,0.00025463833540516264,0.0004918129477527719,0.0007401843176861119,5,10,0.001953125,0.001953125,5.960450266684347e-08,5.960444582342461e-08
resnet50_robust__.layer4.Bottleneck1__af37fa812c,resnet50_robust,.layer4.Bottleneck1,0.01737978515727079,pass,0.0002273901296604771,0.00043851774199040675,0.0006491122407415404,9,10,0.001953125,0.001953125,5.9604531088552903e-08,5.960413318462088e-08
resnet50_robust__.layer4.Bottleneck2__800a8492b7,resnet50_robust,.layer4.Bottleneck2,0.017278297446590492,pass,0.00021606820819230195,0.0005617574795330723,0.000813189328578721,5,10,0.00390625,0.00390625,5.960451687769819e-08,5.960454529940762e-08
siglip2_vitb16__.trunk.blocks.Block10__85aa744400,siglip2_vitb16,.trunk.blocks.Block10,0.0019782017875765376,pass,0.003092822631916801,0.0012714272385478806,0.004281082461577766,2,10,32.0,32.0,5.9604616353681195e-08,5.960448845598876e-08
siglip2_vitb16__.trunk.blocks.Block11__efd32088a3,siglip2_vitb16,.trunk.blocks.Block11,0.0029098941394263955,pass,0.002083064227147766,0.0014132275927806548,0.0030120275387959224,2,10,16.0,8.0,5.960464477539063e-08,5.960464477539063e-08
siglip2_vitb16__.trunk.blocks.Block2__02a22d2527,siglip2_vitb16,.trunk.blocks.Block2,0.0038060316167178683,pass,0.0001734738414929092,0.0005872278408453983,0.0006731595167200856,4,10,0.0078125,0.0078125,5.9604587931971764e-08,5.960460214282648e-08
siglip2_vitb16__.trunk.blocks.Block3__d6cb60e0eb,siglip2_vitb16,.trunk.blocks.Block3,0.002975506955430157,pass,0.00020231183326900316,0.0006338943175898006,0.0009080279403700688,1,10,0.00390625,0.00390625,5.960460214282648e-08,5.960460214282648e-08
siglip2_vitb16__.trunk.blocks.Block4__54933bacf0,siglip2_vitb16,.trunk.blocks.Block4,0.0037041496094217387,pass,0.00024659309673531765,0.0006512240134699816,0.0009571047562335834,1,10,0.001953125,0.001953125,5.960457372111705e-08,5.9604559510262334e-08
siglip2_vitb16__.trunk.blocks.Block5__f04fd1fc70,siglip2_vitb16,.trunk.blocks.Block5,0.0036208416390317182,pass,0.00022884106208611845,0.0006328343910509582,0.0008151199187698591,2,10,0.0625,0.0625,5.9604616353681195e-08,5.9604616353681195e-08
siglip2_vitb16__.trunk.blocks.Block6__ad891f0e7d,siglip2_vitb16,.trunk.blocks.Block6,0.0028620246782607816,pass,0.00035969288251558367,0.0007613225112157276,0.0011401101984119643,1,10,0.125,0.125,5.9604587931971764e-08,5.96042468714586e-08
siglip2_vitb16__.trunk.blocks.Block7__9574be1a2b,siglip2_vitb16,.trunk.blocks.Block7,0.0027578619719071623,pass,0.00039671633581059003,0.0006691894687203597,0.0011414918579383385,7,10,0.125,0.125,5.960454529940762e-08,5.960460214282648e-08
siglip2_vitb16__.trunk.blocks.Block8__3e0fcbc0e7,siglip2_vitb16,.trunk.blocks.Block8,0.0024283185197738286,pass,0.0005031246701922781,0.0006844319488688297,0.0009871702970721393,2,10,0.125,0.125,5.9604232660603884e-08,5.960457372111705e-08
siglip2_vitb16__.trunk.blocks.Block9__6648294970,siglip2_vitb16,.trunk.blocks.Block9,0.0017970868433039866,pass,0.004371174225169537,0.0009463413617684152,0.004685556505766648,3,10,32.0,32.0,5.960446003427933e-08,5.9604559510262334e-08
