pc,variance,mean_power,power_se,power_over_variance
1.810000000000000000e+02,1.046613991464023911e+03,3.540710321943795134e+04,1.455782179872431516e+04,3.383014512342779767e+01
1.820000000000000000e+02,1.041776871957647245e+03,3.495015966215734807e+04,1.898720234463946690e+04,3.354860393135913910e+01
1.830000000000000000e+02,1.039316285358930827e+03,3.757997298950645927e+04,2.280872629798216076e+04,3.615836056733019177e+01
1.840000000000000000e+02,1.038495950470859725e+03,3.162650298625422874e+04,1.639797080557632580e+04,3.045414184996542417e+01
1.850000000000000000e+02,1.034987205579076999e+03,2.852869203708337227e+04,1.278426047262458815e+04,2.756429440219169180e+01
1.860000000000000000e+02,1.034887666098597492e+03,4.225684727810505865e+04,2.199499848756729261e+04,4.083230350730558911e+01
1.870000000000000000e+02,1.033187591197342726e+03,2.784285382534989549e+04,1.212540796486466752e+04,2.694849808744151431e+01
1.880000000000000000e+02,1.031972842104611573e+03,4.359458163148569292e+04,2.254638288111606744e+04,4.224392334063621490e+01
1.890000000000000000e+02,1.029556880724866687e+03,2.859573636757267013e+04,1.308352409630684451e+04,2.777479991920372981e+01
1.900000000000000000e+02,1.028120352910171277e+03,3.004637592466959541e+04,1.487540372827878855e+04,2.922457068340402841e+01
1.910000000000000000e+02,1.026976640478077343e+03,3.496257321710732504e+04,1.705782665015898237e+04,3.404417572811741621e+01
1.920000000000000000e+02,1.025824736315113341e+03,4.117969963624405500e+04,1.960146949262065755e+04,4.014301681217643392e+01
1.930000000000000000e+02,1.023330731652147392e+03,3.236208862346672686e+04,1.661467459483038328e+04,3.162427123752921077e+01
1.940000000000000000e+02,1.021883448797788333e+03,2.862598072271524507e+04,1.358899975150265709e+04,2.801296053516940177e+01
1.950000000000000000e+02,1.020101747005635843e+03,2.398807814925713683e+04,1.141646904646859912e+04,2.351537797055121359e+01
1.960000000000000000e+02,1.019356177402938556e+03,3.067526891728962073e+04,1.646729083473652281e+04,3.009278758229772066e+01
1.970000000000000000e+02,1.018606623183609713e+03,2.692213765097075520e+04,1.113482725337031661e+04,2.643035794017008300e+01
1.980000000000000000e+02,1.016901148808198059e+03,3.444678430323152861e+04,1.732114796544452111e+04,3.387427022144969158e+01
1.990000000000000000e+02,1.015955008652219362e+03,2.961682268080710128e+04,1.165292620571019870e+04,2.915170694428408638e+01
2.000000000000000000e+02,1.014003916268596527e+03,4.277046954268577974e+04,2.114743845491539832e+04,4.217978733265211133e+01
2.010000000000000000e+02,1.012175672571867381e+03,4.352938435074411245e+04,2.410992229231463352e+04,4.300576029469173278e+01
2.020000000000000000e+02,1.010852202755938151e+03,3.143217240947514802e+04,1.509782790073044453e+04,3.109472613679824349e+01
2.030000000000000000e+02,1.008347153973893342e+03,3.230641167528205551e+04,1.615605727638311328e+04,3.203897739777672626e+01
2.040000000000000000e+02,1.007138129392958035e+03,3.134274973739574853e+04,1.664982603412835306e+04,3.112060681913340332e+01
2.050000000000000000e+02,1.004998728378394730e+03,2.854178476034472260e+04,1.438408610351099378e+04,2.839982176534493874e+01
2.060000000000000000e+02,1.002347888805202388e+03,3.406977919741559890e+04,1.773788223154639127e+04,3.398997451675858628e+01
2.070000000000000000e+02,1.002149703918649266e+03,2.920788112677794925e+04,1.239290839976144889e+04,2.914522751697478498e+01
2.080000000000000000e+02,1.000779696226865440e+03,3.250503907025731678e+04,1.553133134310180139e+04,3.247971475920989803e+01
2.090000000000000000e+02,9.974173579093492208e+02,3.438875788469676627e+04,2.053608711798480726e+04,3.447780170657728149e+01
2.100000000000000000e+02,9.962269473919259326e+02,3.717419998537936044e+04,1.999185757529208058e+04,3.731499141104306005e+01
2.110000000000000000e+02,9.951849236320442742e+02,2.722372009775301558e+04,1.310955220026928509e+04,2.735543862380556490e+01
2.120000000000000000e+02,9.922501026837765039e+02,3.582706615989641432e+04,1.943595784011933210e+04,3.610689085644192886e+01
2.130000000000000000e+02,9.917451150151154025e+02,3.732606788266864896e+04,1.768452275875156920e+04,3.763675496611823945e+01
2.140000000000000000e+02,9.900196449199289646e+02,3.181728117316014323e+04,1.621887014056952830e+04,3.213803012538551229e+01
2.150000000000000000e+02,9.889285499644697666e+02,3.534819348917988827e+04,1.695472675377827181e+04,3.574393063123709169e+01
2.160000000000000000e+02,9.880001364692212746e+02,2.531131235381488659e+04,1.360358765383760147e+04,2.561873366158527787e+01
2.170000000000000000e+02,9.873021162743716559e+02,3.457906552627951896e+04,1.935118319091337980e+04,3.502379358485035965e+01
2.180000000000000000e+02,9.845652421029145671e+02,2.742803012982497603e+04,1.158714377870261524e+04,2.785801179741218192e+01
2.190000000000000000e+02,9.841900142847264306e+02,2.336252233721255107e+04,8.660098488621242723e+03,2.373781688304527648e+01
2.200000000000000000e+02,9.826285201369533979e+02,3.056431774241931998e+04,1.354017357289647043e+04,3.110465157082905918e+01
2.210000000000000000e+02,9.818347622780304391e+02,2.786664801555539452e+04,1.112304973156197957e+04,2.838221774802497066e+01
2.220000000000000000e+02,9.791634837585797868e+02,3.277106636264888220e+04,1.588642487155440176e+04,3.346843188724227502e+01
2.230000000000000000e+02,9.786799797170111788e+02,3.296194364701778250e+04,1.596954801424279140e+04,3.368000197219610925e+01
2.240000000000000000e+02,9.772912158934645959e+02,2.776667121795113781e+04,1.230507118276577239e+04,2.841187024541721584e+01
2.250000000000000000e+02,9.756140540521740832e+02,2.095914451709235072e+04,7.425826445290932497e+03,2.148302848861122882e+01
2.260000000000000000e+02,9.734966831141939565e+02,2.246662410055856162e+04,9.122012755714476953e+03,2.307827493432061416e+01
2.270000000000000000e+02,9.721999963464493248e+02,3.330806187064353435e+04,1.602952556482485488e+04,3.426050400721664602e+01
2.280000000000000000e+02,9.685093741504891796e+02,3.278051200200610765e+04,1.501834580803954486e+04,3.384635490054905205e+01
2.290000000000000000e+02,9.669975690909809600e+02,3.555745064275210461e+04,2.036850513649241111e+04,3.677098245053255710e+01
2.300000000000000000e+02,9.661280154378290490e+02,4.328022164817612793e+04,2.309963503787269292e+04,4.479760544834468305e+01
2.310000000000000000e+02,9.654998119726697041e+02,2.874791583200832974e+04,1.461135908447239308e+04,2.977516460958367617e+01
2.320000000000000000e+02,9.636615057355705858e+02,2.442450133353022102e+04,1.087343869394784451e+04,2.534551934279745211e+01
