pc,variance,mean_power,power_se,power_over_variance
8.100000000000000000e+01,5.677114326183276916e+01,4.796568328438066686e+00,2.086527570759246775e+00,8.448954966990772364e-02
8.200000000000000000e+01,5.642386411865434326e+01,7.239875542762521654e+00,4.411861717039497477e-01,1.283122957962912758e-01
8.300000000000000000e+01,5.608989516119792285e+01,7.588116536138057810e+00,5.453702567350142694e-01,1.352849120921051917e-01
8.400000000000000000e+01,5.523256839408583119e+01,7.807272807941128434e+00,2.503278645418811177e+00,1.413527024895172568e-01
8.500000000000000000e+01,5.489236205543168978e+01,5.826048218437510862e+00,7.654956149400601317e-01,1.061358629922724145e-01
8.600000000000000000e+01,5.410710091090174956e+01,4.854704260933297988e+00,1.436724543152147371e+00,8.972397669074060056e-02
8.700000000000000000e+01,5.354890291702669458e+01,5.623887904865052079e+00,1.979521017662481674e-01,1.050234010130738083e-01
8.800000000000000000e+01,5.311881695334533759e+01,6.461445430993204120e+00,1.227233859111525938e+00,1.216413655573003599e-01
8.900000000000000000e+01,5.277461093523164237e+01,7.377734274906089240e+00,3.388615310628146027e+00,1.397970377074027881e-01
9.000000000000000000e+01,5.242513589353505665e+01,7.345306679219238077e+00,8.733766615198845784e-01,1.401103984572607264e-01
9.100000000000000000e+01,5.184104622188701228e+01,5.722988721055768835e+00,1.722486934915339551e+00,1.103949310081545759e-01
9.200000000000000000e+01,5.132784787390988868e+01,6.680150764535648378e+00,2.190402559272626171e-01,1.301467145270898962e-01
9.300000000000000000e+01,5.113303908760051542e+01,8.013646692004328997e+00,2.433475265513881602e+00,1.567215020854802743e-01
9.400000000000000000e+01,5.078128881133013550e+01,5.631249471251752681e+00,1.020247892463339578e+00,1.108922125268181208e-01
9.500000000000000000e+01,5.024477836702205735e+01,5.570856939057103219e+00,1.497092571298535901e+00,1.108743459541959298e-01
9.600000000000000000e+01,4.972421147955969190e+01,6.654934238346532638e+00,6.837097524811635019e-01,1.338368983705694459e-01
9.700000000000000000e+01,4.966826579860779844e+01,5.253167812802278291e+00,1.340397044682594130e+00,1.057650741039064951e-01
9.800000000000000000e+01,4.884722622872264708e+01,4.584393623273153473e+00,6.110667895432646546e-01,9.385166727394410324e-02
9.900000000000000000e+01,4.854190112692513992e+01,6.035955492233629371e+00,2.407532507019257917e+00,1.243452636197970307e-01
1.000000000000000000e+02,4.848839936196946354e+01,7.121820804123179194e+00,1.864024016810886364e+00,1.468767972924464593e-01
1.010000000000000000e+02,4.802542421309332354e+01,5.600689093169677335e+00,2.143865916732780874e-01,1.166192529256773053e-01
1.020000000000000000e+02,4.780622117683645200e+01,8.317023704207763046e+00,2.213015924605133300e+00,1.739736691055935314e-01
1.030000000000000000e+02,4.774872642079201768e+01,6.469743947238274728e+00,1.938242702488190972e-02,1.354956337520459297e-01
1.040000000000000000e+02,4.729207190470979327e+01,5.282022762280281114e+00,1.013522126844668358e+00,1.116893921019824765e-01
1.050000000000000000e+02,4.710238623245275846e+01,5.816571072072855841e+00,1.926756153971957319e+00,1.234878216863105616e-01
1.060000000000000000e+02,4.673746881873307046e+01,4.341777479299340214e+00,3.822407184515355105e-01,9.289714631612851214e-02
1.070000000000000000e+02,4.638371973102592705e+01,5.331743600979867992e+00,2.269399832256406402e+00,1.149485990321186119e-01
1.080000000000000000e+02,4.619893971368286856e+01,3.894847274705764750e+00,6.019587648613131670e-01,8.430598838077266177e-02
1.090000000000000000e+02,4.588502769472680143e+01,5.658245717428373567e+00,1.039190090815026668e+00,1.233135513194564409e-01
1.100000000000000000e+02,4.545401677055732392e+01,6.023793465413916692e+00,7.378813186348716080e-01,1.325249976436803645e-01
1.110000000000000000e+02,4.532571869943544840e+01,5.909069248490220971e+00,1.162882568817576345e+00,1.303690138412260946e-01
1.120000000000000000e+02,4.510385170618524597e+01,4.677012504053340791e+00,1.667871643232060830e+00,1.036943038594632105e-01
1.130000000000000000e+02,4.496372927384432217e+01,3.073393103599726395e+00,3.390194635541410317e-01,6.835271791807398523e-02
1.140000000000000000e+02,4.438163264485113757e+01,5.197211840320582255e+00,1.713993370328623200e+00,1.171027637020362749e-01
1.150000000000000000e+02,4.403368557995979415e+01,4.561550402415232242e+00,9.997320695621024489e-02,1.035922917270237081e-01
1.160000000000000000e+02,4.380459869897531888e+01,4.230511176454567313e+00,1.833423324257041021e+00,9.657687325311641036e-02
1.170000000000000000e+02,4.345924604244780198e+01,5.112869899648724292e+00,8.714825500224952434e-03,1.176474597524045512e-01
1.180000000000000000e+02,4.290764276492176776e+01,3.262206652816580288e+00,3.524635162153792467e-01,7.602856839955626778e-02
1.190000000000000000e+02,4.283546882942967216e+01,6.876610277429726636e+00,2.271005139347340496e+00,1.605354269568592118e-01
1.200000000000000000e+02,4.250792885857038073e+01,5.022287147809391783e+00,9.324793904708553738e-01,1.181494201827432977e-01
