model,metric,mean,subject_sd,subject_sem,subject_min,subject_max,n_subjects,n_sites
resnet50_dino,unregularized_trace,35771.283962091766,5811.241129599141,2598.8660398852685,28923.00469536017,43545.344445259216,5,25
resnet50_robust,unregularized_trace,95.20186726085693,7.590405627760249,3.394532592093776,86.90373567640881,106.58861454309341,5,25
siglip2_vitb16,unregularized_trace,15063.281385091876,3623.525288706108,1620.4897727472814,9852.712970045219,18001.006963515796,5,25
AlexNet_training_seed_01,trace_df2_010,2225.2740638162923,929.6408910746445,415.7480454212765,1023.9519372848657,3204.7790655666627,5,25
clipag_vitb32,trace_df2_010,8.836387490946382,4.1824976752781,1.8704698235313344,4.487198334481159,14.470079326402105,5,25
dinov2_vitb14_reg,trace_df2_010,1423.521739418943,151.75637838637437,67.86751561822258,1255.714709715523,1643.625600940827,5,25
radio_v2.5-b,trace_df2_010,736.9150215957806,43.28995829000214,19.359857895915066,665.0766153225611,775.8446607666261,5,25
regnety_640,trace_df2_010,2246.512865266784,483.86961750864805,216.39307139923187,1709.057867007116,2736.9476607455554,5,25
resnet50,trace_df2_010,1944.436165519545,682.0898834516922,305.03986923257855,1117.7709495900651,2686.581709516365,5,25
resnet50_clip,trace_df2_010,13201.340898573268,2096.079697121652,937.3953378042368,9799.619701587431,14923.092532024912,5,25
resnet50_dino,trace_df2_010,2717.3452223131753,302.8013255860991,135.41686953751278,2378.0611124161082,3181.3997823074214,5,25
resnet50_robust,trace_df2_010,6.829856290876469,0.40339740329707907,0.1804048031438333,6.473410164497116,7.4559391213460104,5,25
siglip2_vitb16,trace_df2_010,1492.9126016917526,859.6111002337939,384.42977086722965,437.4915502966958,2332.811277683977,5,25
AlexNet_training_seed_01,trace_df2_025,8658.55177387217,3502.8384922966015,1566.5169965956147,4008.7942339624733,12606.471319418331,5,25
clipag_vitb32,trace_df2_025,26.7422145527545,13.417810972384459,6.00062748869884,12.828230462045248,44.84612318655639,5,25
dinov2_vitb14_reg,trace_df2_025,3861.3960173358073,372.9727847678508,166.79850009966248,3469.1946997658833,4417.462893691747,5,25
radio_v2.5-b,trace_df2_025,2045.1426699214255,125.79069224599878,56.25530775976179,1841.6698481873389,2154.200290923233,5,25
regnety_640,trace_df2_025,5958.309676577434,1247.3493644485716,557.8315941196331,4573.998745619123,7238.012728923483,5,25
resnet50,trace_df2_025,5213.81205345243,1847.4476593848183,826.2037102514662,2900.187650993596,7174.528911367848,5,25
resnet50_clip,trace_df2_025,37154.00423671668,5698.378192425045,2548.3921999529557,28085.747768882142,42130.02523832836,5,25
resnet50_dino,trace_df2_025,7494.240405490465,1076.0837105058615,481.2392652342622,6230.856102699316,8977.390931881813,5,25
resnet50_robust,trace_df2_025,19.333715534383153,1.2382749217337916,0.553773379965998,18.020703813240335,21.172846318037035,5,25
siglip2_vitb16,trace_df2_025,3550.3928034780947,1407.2354266451177,629.3348148648804,1615.5907186265276,4801.6700234303125,5,25
AlexNet_training_seed_01,trace_df2_050,24901.01979038456,9741.115442851822,4356.359261377928,10856.722679401117,36360.757358323004,5,25
clipag_vitb32,trace_df2_050,61.882084581586334,32.451707695123076,14.512844878449643,28.370549505880845,105.86597661941856,5,25
dinov2_vitb14_reg,trace_df2_050,8182.459630713589,712.6313892563022,318.698445855441,7467.836577636959,9270.980599788036,5,25
radio_v2.5-b,trace_df2_050,4420.502454887139,288.5011724245934,129.02164662595573,3969.5796323507343,4666.999223333136,5,25
regnety_640,trace_df2_050,12419.344779387697,2545.948254381106,1138.582672798616,9598.101188845385,15056.312502215,5,25
resnet50,trace_df2_050,11050.033729190269,3920.1130947485844,1753.1278718689816,6019.470863890326,15126.245303477754,5,25
resnet50_clip,trace_df2_050,81134.9063686755,11953.20352170878,5345.635124686142,62500.64723205942,92512.42664035525,5,25
resnet50_dino,trace_df2_050,16193.813559080958,2567.9039134821855,1148.401542046781,13160.313472574426,19616.29783548906,5,25
resnet50_robust,trace_df2_050,42.408684846689866,3.0069435468347985,1.3447460350453864,39.108050908126216,46.86272199870386,5,25
siglip2_vitb16,trace_df2_050,7234.254358745539,2209.4558482281536,988.0986939845219,4063.3403319364643,9085.86660500823,5,25
AlexNet_training_seed_01,trace_df2_075,49536.135022845025,18823.223151978596,8418.001304694399,19552.257406451718,70356.96736879632,5,25
clipag_vitb32,trace_df2_075,101.34024659343012,54.4488837130322,24.35028105626423,45.303525033637435,175.45895097593572,5,25
dinov2_vitb14_reg,trace_df2_075,12726.725816614104,1038.9997939976352,464.654833597398,11721.800882074456,14340.417729405617,5,25
radio_v2.5-b,trace_df2_075,6972.499302814834,487.646622093014,218.08219919962602,6234.290534664299,7398.68058786017,5,25
regnety_640,trace_df2_075,19100.384485775696,3868.19804762421,1729.9107569839405,14819.998405891838,23130.53411771209,5,25
resnet50,trace_df2_075,17252.947068377816,6105.474969465667,2730.4514133297366,9302.049129288256,23522.242687381942,5,25
resnet50_clip,trace_df2_075,128623.87999514032,18437.030177376826,8245.290555965918,100348.42520741797,147203.36955622805,5,25
