model,noise_255,metric,mean,subject_sd,subject_sem,subject_min,subject_max,n_subjects
resnet50_robust,0.5,trace_df2_050,41.274454390611254,2.9342327117955076,1.3122287610756607,38.04636364026392,45.61383382958966,5
resnet50_robust,0.5,unregularized_trace,92.60864432780429,7.40917270419484,3.313482764723121,84.53033653344535,103.73830640336156,5
resnet50_robust,2.0,raw_energy,1825.453443016529,958.6511080897415,428.72180887883206,721.9470560119302,2745.5489163076877,5
resnet50_robust,2.0,trace_df2_050,38.934544244757625,2.7174699373615896,1.2152895013505218,35.712239648018866,42.75935952931458,5
resnet50_robust,2.0,unregularized_trace,87.32637665949167,6.859550741510466,3.067684350625298,79.32412317648267,97.2215719787238,5
resnet50_robust,8.0,raw_energy,1416.5781412096917,751.33433572203,336.0069297008215,553.4390665826202,2136.6666077709197,5
resnet50_robust,8.0,trace_df2_050,29.819016908713856,2.067525727647042,0.9246256144497005,26.877464204509725,32.15526935302238,5
resnet50_robust,8.0,unregularized_trace,66.8269644896659,5.154722127891603,2.3052618166175973,59.726640722350254,73.10984969977538,5
resnet50_robust,16.0,raw_energy,1030.8902710003445,555.4275352703625,248.3947450879385,390.94089993961154,1565.3009548255802,5
resnet50_robust,16.0,trace_df2_050,21.13208310777103,1.5315533502158025,0.6849314804500153,18.645640737946845,22.562288232278835,5
resnet50_robust,16.0,unregularized_trace,47.151396283241446,3.669006531526875,1.6408296028769636,41.33478684164824,50.330299826263015,5
siglip2_vitb16,0.5,raw_energy,3904537.9558978984,3868319.318100328,1729964.9907895934,36211.04004523754,8245061.858184433,5
siglip2_vitb16,0.5,trace_df2_050,5495.61060484597,1381.2629813734363,617.7195842310059,3366.8830940389394,6805.146234876808,5
siglip2_vitb16,0.5,unregularized_trace,11424.58889418265,2074.848834416156,927.9006073581461,8130.28035966953,13395.798276462894,5
siglip2_vitb16,2.0,raw_energy,2066439.2545604755,2103220.7859882032,940588.929832032,16321.21239593029,4376694.171198788,5
siglip2_vitb16,2.0,trace_df2_050,2292.313777271619,497.60567994230826,222.53602526820097,1501.0687319169895,2791.5764557040793,5
siglip2_vitb16,2.0,unregularized_trace,4665.034687838937,637.0836706256842,284.91247897482316,3585.3521485534106,5279.121350151492,5
