model,subject,value,metric
resnet50,leap_250426-250501,3664.6710224572457,trace_df2_025
resnet50,paul_20250428-20250430,5813.944179488204,trace_df2_025
resnet50,red_20250428-20250430,7174.528911367848,trace_df2_025
resnet50,three0_250426-250501,6515.7285029552495,trace_df2_025
resnet50,venus_250426-250429,2900.187650993596,trace_df2_025
resnet50_clip,leap_250426-250501,28085.747768882142,trace_df2_025
resnet50_clip,paul_20250428-20250430,41802.756642470034,trace_df2_025
resnet50_clip,red_20250428-20250430,37626.1593991331,trace_df2_025
resnet50_clip,three0_250426-250501,42130.02523832836,trace_df2_025
resnet50_clip,venus_250426-250429,36125.3321347698,trace_df2_025
resnet50_dino,leap_250426-250501,8977.390931881813,trace_df2_025
resnet50_dino,paul_20250428-20250430,6230.856102699316,trace_df2_025
resnet50_dino,red_20250428-20250430,6699.039824914373,trace_df2_025
resnet50_dino,three0_250426-250501,7919.875883430575,trace_df2_025
resnet50_dino,venus_250426-250429,7644.03928452625,trace_df2_025
resnet50_robust,leap_250426-250501,21.172846318037035,trace_df2_025
resnet50_robust,paul_20250428-20250430,19.925582028960918,trace_df2_025
resnet50_robust,red_20250428-20250430,18.935417353763143,trace_df2_025
resnet50_robust,three0_250426-250501,18.61402815791434,trace_df2_025
resnet50_robust,venus_250426-250429,18.020703813240335,trace_df2_025
siglip2_vitb16,leap_250426-250501,1615.5907186265276,trace_df2_025
siglip2_vitb16,paul_20250428-20250430,4801.6700234303125,trace_df2_025
siglip2_vitb16,red_20250428-20250430,4801.1002600234,trace_df2_025
siglip2_vitb16,three0_250426-250501,3932.750157068797,trace_df2_025
siglip2_vitb16,venus_250426-250429,2600.8528582414374,trace_df2_025
AlexNet_training_seed_01,leap_250426-250501,26408.172290642593,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,30345.716696879048,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,10856.722679401117,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,36360.757358323004,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,20533.729926677017,trace_df2_050
clipag_vitb32,leap_250426-250501,105.86597661941856,trace_df2_050
clipag_vitb32,paul_20250428-20250430,31.08695453639737,trace_df2_050
clipag_vitb32,red_20250428-20250430,28.370549505880845,trace_df2_050
clipag_vitb32,three0_250426-250501,72.04347112311747,trace_df2_050
clipag_vitb32,venus_250426-250429,72.04347112311747,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,7467.836577636959,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,8475.44851260174,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,9270.980599788036,trace_df2_050
dinov2_vitb14_reg,three0_250426-250501,7731.546035118936,trace_df2_050
dinov2_vitb14_reg,venus_250426-250429,7966.486428422274,trace_df2_050
radio_v2.5-b,leap_250426-250501,3969.5796323507343,trace_df2_050
radio_v2.5-b,paul_20250428-20250430,4666.999223333136,trace_df2_050
