model,metric,noise_255,mean_ratio,subject_sd_ratio,subject_sem_ratio,subject_min_ratio,subject_max_ratio,n_subjects
resnet50_dino,smooth,8.0,0.017389745532297406,0.0013016500268284476,0.0005821155885805668,0.015904404444027027,0.018771258682217736,5
resnet50_dino,smooth,16.0,0.005773641796383813,0.0005072593772427353,0.00022685328994779324,0.005238641840358788,0.006336934960038133,5
resnet50_dino,step,0.5,2.067809454526082,0.14105286658126587,0.06308075961938378,1.919437214889257,2.269978613160987,5
resnet50_dino,step,2.0,1.9135658697959261,0.10107421301342825,0.045201762214063884,1.783543680350594,2.0374518287899592,5
resnet50_dino,step,8.0,0.6331768198030422,0.050460419753564585,0.02256658574842872,0.5848114300296068,0.6942144742171518,5
resnet50_dino,step,16.0,0.3026918037495438,0.027296301621498664,0.01220727719200175,0.2783432784853673,0.3360653323735682,5
resnet50_dino,variance,0.5,0.5538434700128706,0.01176746368210383,0.005262569743188828,0.5400834389554776,0.5662626040422422,5
resnet50_dino,variance,2.0,0.19845373084430154,0.010764135141491904,0.004813867579074043,0.18668847600906685,0.2101227361879064,5
resnet50_dino,variance,8.0,0.04196000679033175,0.0029748295822606048,0.001330384233482403,0.03873856465214202,0.04521246483304501,5
resnet50_dino,variance,16.0,0.0168575164351618,0.0014854435199553278,0.0006643105374713357,0.015405481610685222,0.01856380926484961,5
resnet50_robust,neighborhood,0.5,0.9954869475309911,0.0009637357983960505,0.00043099575151272037,0.9945874816714294,0.9968989822965418,5
resnet50_robust,neighborhood,2.0,1.009463315363777,0.0004665424384251667,0.0002086441213414365,1.0091586822491005,1.0102749401789568,5
resnet50_robust,neighborhood,8.0,1.0788055543114623,0.009927335010793658,0.004439639183909646,1.0696290950148388,1.0955285256311251,5
resnet50_robust,neighborhood,16.0,1.1196596160351677,0.04266106724646065,0.019078609271155157,1.0683576908228785,1.1534029382828763,5
resnet50_robust,smooth,0.5,0.9732441813593236,0.00043310083069095256,0.00019368857970731944,0.9727724091562794,0.9738180468457829,5
resnet50_robust,smooth,2.0,0.9181313530295394,0.004946327412845888,0.0022120648668188143,0.9124386656519274,0.9225841903224339,5
resnet50_robust,smooth,8.0,0.7032812072592396,0.015190912577557504,0.006793582632735025,0.6861588055835028,0.7158899212049379,5
resnet50_robust,smooth,16.0,0.4985801004271512,0.02200664147789213,0.009841669260206647,0.4724192333588241,0.5165530812292666,5
resnet50_robust,step,0.5,1.1450563381998848,0.013081836306794785,0.005850375050503587,1.127796913726869,1.1582431450879058,5
resnet50_robust,step,2.0,2.530523035312876,0.17287009130791706,0.07730985508821961,2.293669361890893,2.691756509675248,5
resnet50_robust,step,8.0,18.152076443975417,2.0925216350982647,0.9358041240937458,15.481574085043084,20.17770637605508,5
resnet50_robust,step,16.0,51.52138248721445,8.407052513620663,3.7597481821732557,41.162968293119235,59.185662230914964,5
resnet50_robust,variance,0.5,0.9814965779400083,0.00036543484715869897,0.00016342743191881935,0.9810197107207581,0.981948220411638,5
resnet50_robust,variance,2.0,0.9511399551499187,0.0031965844107198368,0.0014295560076371325,0.9476436261768536,0.9541563816533846,5
resnet50_robust,variance,8.0,0.8383980139077586,0.00878589590613915,0.00392917209787285,0.8267720039133379,0.8454744514205345,5
resnet50_robust,variance,16.0,0.7100983690895764,0.03220706387262317,0.014403436834972607,0.6743051407446616,0.7370721933869262,5
siglip2_vitb16,neighborhood,0.5,1.0520226201532044,0.01013891299024622,0.004534259732829241,1.0398565849871497,1.0619348780972215,5
siglip2_vitb16,neighborhood,2.0,0.9636760060328097,0.029950045437950226,0.013394067505692832,0.9258209705335633,1.0009441179945302,5
siglip2_vitb16,neighborhood,8.0,0.6260433796137336,0.12760405720065962,0.05706626922108929,0.4343634454625762,0.763140274298955,5
siglip2_vitb16,neighborhood,16.0,0.3874654394922548,0.11243268462285454,0.05028142514189961,0.22526605957563461,0.5301341111978145,5
siglip2_vitb16,smooth,0.5,0.7727213044294521,0.060232994007113044,0.026937013817648445,0.7101454616129189,0.8447162723298985,5
siglip2_vitb16,smooth,2.0,0.32631624167843065,0.042928807094215565,0.019198346171128245,0.2881977347500292,0.37577443127282617,5
siglip2_vitb16,smooth,8.0,0.07546183336223648,0.02128030466953224,0.009516841564596057,0.053221265480496424,0.10588961291033153,5
siglip2_vitb16,smooth,16.0,0.026159270288911157,0.010376983889548642,0.004640728275690187,0.016426440497686608,0.039323857285843554,5
siglip2_vitb16,step,0.5,1.5080656296697383,0.6445299338196312,0.28824254911082725,1.1488777933719667,2.645389173061105,5
siglip2_vitb16,step,2.0,3.5684145459777468,3.9051544357040133,1.7464381561738012,1.502730139388265,10.502987270621302,5
siglip2_vitb16,step,8.0,1.5741216072981312,1.7349210112718534,0.7758802633593086,0.5969861201935591,4.636117520809372,5
siglip2_vitb16,step,16.0,0.8199908267513518,0.7412656827330479,0.33150409119577745,0.36309578851059116,2.1074509432895514,5
siglip2_vitb16,variance,0.5,0.8725742067443797,0.05098329963129748,0.022800424738564227,0.8216824921215542,0.9269538788014015,5
siglip2_vitb16,variance,2.0,0.518035010864962,0.05921937256601446,0.026483708528498896,0.46515077937801586,0.592918878715268,5
siglip2_vitb16,variance,8.0,0.18264764570911085,0.05024375190571775,0.022469688941163895,0.13328044253127458,0.25772746416696896,5
siglip2_vitb16,variance,16.0,0.08060282567000596,0.025589277219952588,0.011443872671780165,0.05639770781030469,0.11679674151265776,5
