model,subject,metric,noise_255,energy,exact_energy,ratio
clipag_vitb32,red_20250428-20250430,variance,16.0,29.25848362111885,28.370549505880845,1.0312977411683177
clipag_vitb32,three0_250426-250501,neighborhood,0.5,71.40359652319367,72.04347112311747,0.9911182152948975
clipag_vitb32,three0_250426-250501,neighborhood,2.0,71.55683069586664,72.04347112311747,0.9932451835028993
clipag_vitb32,three0_250426-250501,neighborhood,8.0,73.30793137384326,72.04347112311747,1.017551351024785
clipag_vitb32,three0_250426-250501,neighborhood,16.0,75.67668957058882,72.04347112311747,1.0504309188720575
clipag_vitb32,three0_250426-250501,smooth,0.5,71.38642437762095,72.04347112311747,0.9908798571854809
clipag_vitb32,three0_250426-250501,smooth,2.0,71.29020567989559,72.04347112311747,0.9895442927515999
clipag_vitb32,three0_250426-250501,smooth,8.0,69.97847247938164,72.04347112311747,0.9713367691541834
clipag_vitb32,three0_250426-250501,smooth,16.0,67.1751715418046,72.04347112311747,0.932425527179371
clipag_vitb32,three0_250426-250501,step,0.5,73.43230667184645,72.04347112311747,1.0192777433829576
clipag_vitb32,three0_250426-250501,step,2.0,104.00284219506635,72.04347112311747,1.4436123159214866
clipag_vitb32,three0_250426-250501,step,8.0,556.5903201975995,72.04347112311747,7.725756567814783
clipag_vitb32,three0_250426-250501,step,16.0,1256.836137122197,72.04347112311747,17.445524452512124
clipag_vitb32,three0_250426-250501,variance,0.5,71.39744599206806,72.04347112311747,0.9910328427964639
clipag_vitb32,three0_250426-250501,variance,2.0,71.42671020017407,72.04347112311747,0.9914390448804251
clipag_vitb32,three0_250426-250501,variance,8.0,71.62400538752543,72.04347112311747,0.9941776023690585
clipag_vitb32,three0_250426-250501,variance,16.0,71.27738792824708,72.04347112311747,0.9893663758432572
clipag_vitb32,venus_250426-250429,neighborhood,0.5,71.40359652319367,72.04347112311747,0.9911182152948975
clipag_vitb32,venus_250426-250429,neighborhood,2.0,71.55683069586664,72.04347112311747,0.9932451835028993
clipag_vitb32,venus_250426-250429,neighborhood,8.0,73.30793137384326,72.04347112311747,1.017551351024785
clipag_vitb32,venus_250426-250429,neighborhood,16.0,75.67668957058882,72.04347112311747,1.0504309188720575
clipag_vitb32,venus_250426-250429,smooth,0.5,71.38642437762095,72.04347112311747,0.9908798571854809
clipag_vitb32,venus_250426-250429,smooth,2.0,71.29020567989559,72.04347112311747,0.9895442927515999
clipag_vitb32,venus_250426-250429,smooth,8.0,69.97847247938164,72.04347112311747,0.9713367691541834
clipag_vitb32,venus_250426-250429,smooth,16.0,67.1751715418046,72.04347112311747,0.932425527179371
clipag_vitb32,venus_250426-250429,step,0.5,73.43230667184645,72.04347112311747,1.0192777433829576
clipag_vitb32,venus_250426-250429,step,2.0,104.00284219506635,72.04347112311747,1.4436123159214866
clipag_vitb32,venus_250426-250429,step,8.0,556.5903201975995,72.04347112311747,7.725756567814783
clipag_vitb32,venus_250426-250429,step,16.0,1256.836137122197,72.04347112311747,17.445524452512124
clipag_vitb32,venus_250426-250429,variance,0.5,71.39744599206806,72.04347112311747,0.9910328427964639
clipag_vitb32,venus_250426-250429,variance,2.0,71.42671020017407,72.04347112311747,0.9914390448804251
clipag_vitb32,venus_250426-250429,variance,8.0,71.62400538752543,72.04347112311747,0.9941776023690585
clipag_vitb32,venus_250426-250429,variance,16.0,71.27738792824708,72.04347112311747,0.9893663758432572
dinov2_vitb14_reg,leap_250426-250501,neighborhood,0.5,7313.421806321309,7467.836577636959,0.9793226900842933
dinov2_vitb14_reg,leap_250426-250501,neighborhood,2.0,4539.580146256871,7467.836577636959,0.6078842378328163
dinov2_vitb14_reg,leap_250426-250501,neighborhood,8.0,1239.8238820008735,7467.836577636959,0.16602182829142598
dinov2_vitb14_reg,leap_250426-250501,neighborhood,16.0,591.5370625705913,7467.836577636959,0.07921130255340575
dinov2_vitb14_reg,leap_250426-250501,smooth,0.5,6229.581372641505,7467.836577636959,0.834188229466147
dinov2_vitb14_reg,leap_250426-250501,smooth,2.0,2237.7717941597684,7467.836577636959,0.29965462833787193
dinov2_vitb14_reg,leap_250426-250501,smooth,8.0,410.8981377788511,7467.836577636959,0.055022379441097946
dinov2_vitb14_reg,leap_250426-250501,smooth,16.0,153.7842390493747,7467.836577636959,0.020592876859396474
dinov2_vitb14_reg,leap_250426-250501,step,0.5,11959.021995296305,7467.836577636959,1.6014038163487085
dinov2_vitb14_reg,leap_250426-250501,step,2.0,16717.012235461214,7467.836577636959,2.238534823528632
