pc,variance,mean_power,power_se,power_over_variance
1.480000000000000000e+02,2.359472798894474010e+01,1.391613687996383078e+03,5.721140548989859553e+02,5.897985722269910269e+01
1.490000000000000000e+02,2.359051300936229012e+01,1.216869938213248133e+03,4.628639258860329733e+02,5.158302143451958699e+01
1.500000000000000000e+02,2.349904347964598372e+01,1.351989600426741845e+03,5.270659502350181356e+02,5.753381415706498814e+01
1.510000000000000000e+02,2.342974170409589263e+01,1.217123595168322936e+03,4.434117934284028024e+02,5.194780252125230646e+01
1.520000000000000000e+02,2.340606470658045524e+01,1.184219575784239851e+03,4.382326201842492424e+02,5.059456130834777099e+01
1.530000000000000000e+02,2.324392072356449290e+01,1.503484499080965634e+03,6.736518887114809786e+02,6.468291287694616187e+01
1.540000000000000000e+02,2.305486105397695695e+01,1.133638110391945929e+03,3.949436357461167972e+02,4.917132693785607245e+01
1.550000000000000000e+02,2.303069988177702854e+01,1.437433549452487114e+03,6.136084041993349274e+02,6.241380230871108381e+01
1.560000000000000000e+02,2.294144041936742440e+01,1.198671870528367435e+03,4.679777322714218144e+02,5.224919833352900866e+01
1.570000000000000000e+02,2.290973610563797180e+01,1.280391209651067811e+03,4.680396940806477346e+02,5.588851847734596845e+01
1.580000000000000000e+02,2.287456430663832307e+01,1.195670489319633589e+03,4.696174383998330200e+02,5.227074375238017012e+01
1.590000000000000000e+02,2.272202457626810101e+01,1.320281266993714326e+03,5.187191902496329021e+02,5.810579345876929835e+01
1.600000000000000000e+02,2.264094524395063246e+01,1.455770732508617357e+03,6.186939306541421502e+02,6.429814289213832978e+01
1.610000000000000000e+02,2.254226792644318067e+01,1.105100041869971847e+03,4.087806740767341012e+02,4.902346318817529180e+01
1.620000000000000000e+02,2.243618173125214810e+01,1.347270377446168595e+03,6.092747151123821823e+02,6.004900448677986446e+01
1.630000000000000000e+02,2.238746627080762153e+01,1.316158867411241317e+03,5.695684636387881028e+02,5.878998773199541716e+01
1.640000000000000000e+02,2.234404900160737029e+01,1.442253968396572191e+03,6.794349984874593247e+02,6.454756558638142394e+01
1.650000000000000000e+02,2.230694065870204668e+01,1.248647024304499155e+03,4.852939121902775810e+02,5.597571820398400888e+01
1.660000000000000000e+02,2.225696086458831857e+01,1.417654505240921026e+03,6.221124875950499700e+02,6.369488241750309498e+01
1.670000000000000000e+02,2.213106091883976845e+01,1.173844980936466072e+03,4.552483834798197222e+02,5.304061044525855806e+01
1.680000000000000000e+02,2.198443732309236154e+01,1.303029161033819264e+03,5.943507285049793154e+02,5.927052586718345850e+01
1.690000000000000000e+02,2.190470967091477306e+01,1.312476044607588619e+03,5.611921065642561643e+02,5.991752752378651792e+01
1.700000000000000000e+02,2.182184582605936285e+01,1.188050329319589309e+03,5.199889824743711415e+02,5.444316391883014461e+01
1.710000000000000000e+02,2.176994406410490157e+01,1.322784419951507061e+03,5.344406268374042384e+02,6.076195768148819099e+01
1.720000000000000000e+02,2.175137514966599994e+01,1.361408983414424029e+03,6.430234341850371038e+02,6.258955923691697620e+01
1.730000000000000000e+02,2.169331408873772560e+01,1.058425756041655859e+03,4.520767742027414329e+02,4.879041310664224085e+01
1.740000000000000000e+02,2.158486342604132346e+01,1.138280358689275545e+03,3.543463669004296435e+02,5.273511980233255514e+01
1.750000000000000000e+02,2.151805173627470680e+01,1.211416878699645395e+03,4.561470389842026520e+02,5.629770267061226008e+01
1.760000000000000000e+02,2.144806022227572484e+01,1.162151286747558743e+03,4.370130804766491792e+02,5.418444720425397065e+01
1.770000000000000000e+02,2.142749186652177329e+01,1.602268139728456163e+03,8.447559403922052752e+02,7.477628038360539620e+01
1.780000000000000000e+02,2.134354896051013029e+01,1.145546203865085090e+03,4.913629751258774263e+02,5.367177717185537489e+01
1.790000000000000000e+02,2.129139775745142060e+01,1.260889317780848160e+03,4.401547042535787000e+02,5.922059848511216273e+01
1.800000000000000000e+02,2.125297649574495651e+01,1.600948861064299535e+03,7.552414395981190864e+02,7.532821867961997953e+01
1.810000000000000000e+02,2.113318618171228636e+01,1.263081597904854334e+03,4.961190132974786593e+02,5.976768420267212889e+01
1.820000000000000000e+02,2.105115658979662641e+01,1.017339577734400109e+03,3.952297843805142179e+02,4.832701582902569726e+01
1.830000000000000000e+02,2.100202279342674672e+01,1.204930208463687677e+03,5.193125892165968480e+02,5.737210269292770448e+01
1.840000000000000000e+02,2.087151214782636544e+01,1.358489305984521479e+03,6.070358142461576563e+02,6.508820713912669476e+01
