pc,kappa_3.28792,kappa_32.8792,kappa_328.792,kappa_3287.92,kappa_32879.2
3.300000000000000000e+01,2.212288294892563595e-02,2.346415486360115682e-02,3.623182793527386647e-02,1.221320482613743597e-01,2.887651237587968711e-01
3.400000000000000000e+01,2.318813008647417628e-02,2.458530998474138529e-02,3.784455397625094419e-02,1.257763464121289809e-01,2.932104397265216655e-01
3.500000000000000000e+01,2.483382850455434845e-02,2.631574283934272687e-02,4.031334862356642651e-02,1.311752126525197737e-01,2.996460162120237469e-01
3.600000000000000000e+01,2.597992013438998188e-02,2.752069299068331601e-02,4.203056640789590986e-02,1.349143564537808315e-01,3.040899027951170508e-01
3.700000000000000000e+01,2.663804908929422871e-02,2.821235801298730209e-02,4.301305279193936432e-02,1.370262698450907812e-01,3.065777467785050225e-01
3.800000000000000000e+01,2.755389849198685431e-02,2.917418955423328047e-02,4.437092329668685525e-02,1.398762360694094375e-01,3.098812573523134217e-01
3.900000000000000000e+01,2.843146415129845644e-02,3.009560504929032626e-02,4.566918666739290533e-02,1.425806283692150067e-01,3.130002933412275867e-01
4.000000000000000000e+01,2.934502662483266799e-02,3.105449391595390199e-02,4.701635722216659929e-02,1.453561349541079295e-01,3.161780649881595351e-01
4.100000000000000000e+01,2.997449994903385664e-02,3.171498703677118336e-02,4.794175828835299524e-02,1.472429263627805518e-01,3.183235906323939601e-01
4.200000000000000000e+01,3.125279793906633047e-02,3.305611021173045228e-02,4.981875815117804696e-02,1.510544387218133722e-01,3.226463226347647817e-01
4.300000000000000000e+01,3.201918691107515785e-02,3.385972266686206045e-02,5.093818746342621689e-02,1.532877823595797384e-01,3.251504364775183453e-01
4.400000000000000000e+01,3.292219447303357249e-02,3.480623028488903647e-02,5.225240909771323300e-02,1.558784032742459857e-01,3.280329114529210721e-01
4.500000000000000000e+01,3.441711003475182717e-02,3.637232837617792452e-02,5.441712600278214573e-02,1.600751173717911147e-01,3.326536164619056657e-01
4.600000000000000000e+01,3.575246266903816389e-02,3.777049687735969941e-02,5.634072107039086313e-02,1.637414571871791125e-01,3.366478159971761364e-01
4.700000000000000000e+01,3.686464843973064759e-02,3.893492788955917050e-02,5.794189274281531798e-02,1.667874154589208679e-01,3.399622256335209647e-01
4.800000000000000000e+01,3.803937036564251917e-02,4.016452961023812135e-02,5.962915015354706277e-02,1.699730175547488620e-01,3.434125264894387630e-01
4.900000000000000000e+01,3.885269831134574581e-02,4.101547232875993321e-02,6.079238989207972482e-02,1.721395692558153889e-01,3.457396887021794152e-01
5.000000000000000000e+01,3.996127772196050171e-02,4.217519893728117336e-02,6.237632479692661186e-02,1.750803045836785421e-01,3.488923410654609647e-01
5.100000000000000000e+01,4.073911598901199665e-02,4.298857359568812597e-02,6.348317795204576341e-02,1.771088891625183237e-01,3.510502365838321648e-01
5.200000000000000000e+01,4.188383249079651038e-02,4.418483184900087041e-02,6.510243123043074620e-02,1.800216472653011213e-01,3.541144243377671863e-01
5.300000000000000000e+01,4.314081748774039465e-02,4.549782447290891263e-02,6.687301385435152901e-02,1.831651740336270595e-01,3.573960324462442939e-01
5.400000000000000000e+01,4.406829509500379688e-02,4.646651666843486239e-02,6.817804797148022122e-02,1.854744588396716465e-01,3.598020766894796663e-01
5.500000000000000000e+01,4.487030112464461540e-02,4.730400261438998805e-02,6.930452523948492372e-02,1.874568717988669975e-01,3.618609702987057308e-01
5.600000000000000000e+01,4.614619337594690063e-02,4.863623784101568648e-02,7.109533557973962692e-02,1.906015115397808046e-01,3.651227878789719550e-01
5.700000000000000000e+01,4.704111625366299426e-02,4.957056044229710828e-02,7.234991893214882952e-02,1.927964405001597881e-01,3.673946582649939008e-01
5.800000000000000000e+01,4.827460186934753178e-02,5.085758039441685280e-02,7.406946847031406489e-02,1.957539238545205063e-01,3.704259812057223988e-01
5.900000000000000000e+01,4.923602968888999426e-02,5.186032672826310780e-02,7.540466908505115418e-02,1.980241670801310971e-01,3.727378118405463292e-01
6.000000000000000000e+01,5.016433834880471010e-02,5.282851438076046485e-02,7.669367380530847655e-02,2.002148361400403753e-01,3.749680201699673865e-01
6.100000000000000000e+01,5.140461381210249120e-02,5.412181173734043060e-02,7.841265025859923965e-02,2.031199379628342017e-01,3.779162452244774206e-01
6.200000000000000000e+01,5.308575568812559653e-02,5.587386959505672573e-02,8.073088484125913455e-02,2.069791472161902623e-01,3.817998684895446693e-01
6.300000000000000000e+01,5.463254803142707228e-02,5.748525550658797195e-02,8.285581520608260864e-02,2.104773220011353363e-01,3.852985208275754303e-01
6.400000000000000000e+01,5.578111403724672623e-02,5.868132567447544717e-02,8.442806233138201721e-02,2.130387346677335147e-01,3.878456419624237705e-01
6.500000000000000000e+01,5.694656327024027326e-02,5.989483440179763779e-02,8.602167997690426948e-02,2.156267048492152838e-01,3.904147026737658788e-01
6.600000000000000000e+01,5.781975488377780192e-02,6.080380776130942660e-02,8.721292398497140774e-02,2.175483279697164318e-01,3.923153556519156648e-01
6.700000000000000000e+01,5.890535712568555765e-02,6.193375430339864013e-02,8.869223069889103916e-02,2.199266220236803515e-01,3.946634176008137485e-01
6.800000000000000000e+01,6.023084433055940490e-02,6.331256761290743329e-02,9.048856139831912282e-02,2.227694307676776619e-01,3.974464099262650651e-01
6.900000000000000000e+01,6.116271150243292321e-02,6.428188163019465939e-02,9.175092750265499697e-02,2.247648435840559067e-01,3.993986026593898675e-01
7.000000000000000000e+01,6.190367287353534115e-02,6.505236035363173852e-02,9.275158693493862350e-02,2.263327033197605476e-01,4.009253303809331981e-01
7.100000000000000000e+01,6.284962042176440999e-02,6.603572057831968989e-02,9.402584486315562762e-02,2.283149337773120457e-01,4.028482307196792900e-01
7.200000000000000000e+01,6.410893243289653154e-02,6.734460500428965379e-02,9.571943946426432481e-02,2.309372607727094573e-01,4.053858508373015535e-01
7.300000000000000000e+01,6.516849269899527286e-02,6.844559799232184660e-02,9.714111096897087849e-02,2.331242798847239506e-01,4.074950241709738297e-01
7.400000000000000000e+01,6.603729637083835535e-02,6.934800306172633766e-02,9.830243127827070770e-02,2.348919580708468402e-01,4.091904023716356753e-01
7.500000000000000000e+01,6.686348688138149532e-02,7.020606851131190596e-02,9.940586649170075895e-02,2.365676098452158538e-01,4.107955746085509841e-01
7.600000000000000000e+01,6.787653811007880733e-02,7.125806324394706737e-02,1.007572105064919454e-01,2.386127447840084015e-01,4.127512384306173399e-01
7.700000000000000000e+01,6.891055221884538617e-02,7.233145933000661998e-02,1.021322023629685494e-01,2.406756747771431060e-01,4.147151215324574869e-01
7.800000000000000000e+01,7.009810624057499773e-02,7.356408968892716449e-02,1.037095684741998342e-01,2.430348041446740992e-01,4.169573687055321831e-01
7.900000000000000000e+01,7.131849060966810594e-02,7.483054872956595993e-02,1.053276444994475092e-01,2.454429325437831044e-01,4.192404376440238556e-01
8.000000000000000000e+01,7.266744821005995114e-02,7.622999812287789556e-02,1.071110990922193029e-01,2.480765220016015460e-01,4.217273575509711270e-01
8.100000000000000000e+01,7.370519875284708977e-02,7.730628596303838751e-02,1.084795549422930688e-01,2.500830552746168833e-01,4.236153836272001372e-01
8.200000000000000000e+01,7.529420496380731520e-02,7.895405806821143013e-02,1.105721294536637783e-01,2.531401849950751792e-01,4.264866844004582269e-01
8.300000000000000000e+01,7.625906255217333729e-02,7.995425471171684062e-02,1.118387850117167764e-01,2.549750813036978925e-01,4.282027427040024370e-01
8.400000000000000000e+01,7.726739928411389957e-02,8.099947231262331904e-02,1.131619360022137616e-01,2.568895398000211050e-01,4.299921474040106495e-01
8.500000000000000000e+01,7.878538268727433569e-02,8.257274629879782224e-02,1.151511924013031152e-01,2.597574495958642204e-01,4.326679223435281885e-01
8.600000000000000000e+01,7.977966161138051737e-02,8.360317040524167798e-02,1.164533491302773144e-01,2.616316489660441835e-01,4.344151142037457336e-01
8.700000000000000000e+01,8.095500210424276533e-02,8.482113128763087151e-02,1.179914052728683743e-01,2.638406432089095421e-01,4.364722232865345108e-01
8.800000000000000000e+01,8.204534476143318655e-02,8.595075233193728848e-02,1.194152562955158731e-01,2.658742130486824173e-01,4.383607328962702554e-01
8.900000000000000000e+01,8.304881698361772646e-02,8.699004073828339734e-02,1.207218652210939880e-01,2.677259495041182102e-01,4.400738328240086927e-01
9.000000000000000000e+01,8.419285025897629837e-02,8.817476489368523962e-02,1.222098769915861832e-01,2.698286880736917026e-01,4.420163857097116900e-01
9.100000000000000000e+01,8.558848760680828893e-02,8.961941794242551940e-02,1.240180577660976585e-01,2.723575892919971597e-01,4.443408693478668736e-01
9.200000000000000000e+01,8.703150700849429655e-02,9.111293969465519837e-02,1.258856191024845805e-01,2.749621673658553811e-01,4.467316254115488716e-01
9.300000000000000000e+01,8.842583887486313299e-02,9.255581378045164842e-02,1.276872758245904405e-01,2.774642733653492899e-01,4.490236371376571389e-01
