policy,sigma,ratio,lam,acc_mc,acc_bias2,acc_variance,gen_mc,gen_de,acc_leading,acc_gaussian
Gaussian_acc_oracle,1.67488376425301,0.0016155980984398,0.0106346415721843,0.00012056744112026052,8.26051744255029e-05,3.796226669477965e-05,0.0008791626262449,0.0007864137135266,2.2607984868374632e-08,3.1609643839229504e-05
Gaussian_acc_oracle,2.343246656521626,0.0031622776601683,0.0153988691553926,0.00015125402098728968,9.108873318786534e-05,6.016528779944971e-05,0.0012715686956757,0.0011709298299015,2.6108620381646706e-08,4.926935648769472e-05
Gaussian_acc_oracle,3.278319970907745,0.0061896581889126,0.0221263574895639,0.00018524314432234325,9.138243456868872e-05,9.386070975367943e-05,0.0018514982830871,0.0017521640253184,2.3187653047970008e-08,7.677336932052158e-05
Gaussian_acc_oracle,4.586534585141047,0.0121152765862859,0.0316459077224911,0.00022760710667848276,8.297441620833382e-05,0.00014463269047017548,0.0027071521055299,0.002626117690748,1.0633604781527982e-08,0.0001187856440479
Gaussian_acc_oracle,6.41679265214314,0.0237137370566165,0.0451953611666497,0.0002893814614187869,6.805595856307982e-05,0.00022132550285573885,0.0039648273654125,0.0039296412933267,2.5356021098557557e-10,0.0001818500855674
Gaussian_acc_oracle,8.977415775734741,0.0464158883361278,0.0646683049078272,0.0003899973354806547,5.086902072028259e-05,0.00033912831476040303,0.0058012557906706,0.0058521283511974,6.16525306505745e-08,0.0002761588882995
Gaussian_acc_oracle,12.55985636118279,0.0908517575651688,0.093029521682678,0.0005615355605893703,3.5983053289297905e-05,0.0005255525073001089,0.0084562513218632,0.0086461768474841,4.240400430963883e-07,0.0004205081795193
Gaussian_acc_oracle,17.571870987632057,0.1778279410038923,0.1350277952786031,0.0008572141668525344,2.6819593788902493e-05,0.0008303945730636677,0.012243552450096,0.0126337032058051,1.6578299179919927e-06,0.0006536533131627
Gaussian_acc_oracle,24.58393162522664,0.3480700588428413,0.1984598599986867,0.001366080976918368,2.6177472864524792e-05,0.0013399035040538821,0.0175580070021396,0.0182021314039062,4.827105690648184e-06,0.0010556501755743
Gaussian_acc_oracle,34.39415726300309,0.6812920690579622,0.2965292585099581,0.0022381136641057174,4.0608393221374714e-05,0.002197505270884382,0.0248747833556547,0.0257804829836521,1.1240790866133505e-05,0.0017877065236505
Gaussian_acc_oracle,48.11915652329192,1.333521432163324,0.4524713779912053,0.0037538341267431014,8.725995146422343e-05,0.0036665741752789135,0.0347198514915931,0.0357710341934806,2.265276875330486e-05,0.0032005981661024
Gaussian_acc_oracle,67.32112104993318,2.6101572156825386,0.7086064837951661,0.006558470970329461,0.00017642919243745868,0.006382041777892051,0.0475693006769457,0.048402384163737,4.99509615057308e-05,0.0061341881053305
Gaussian_acc_oracle,94.18563555298384,5.108969774506934,1.1424841819020706,0.012154584046797097,0.00023497258099354512,0.011919611465803583,0.0637341043787254,0.0635826788001776,0.0001536020526816,0.0122514702599527
Gaussian_acc_oracle,131.77044300762262,10.0,1.8890844810758824,0.023046976854596123,0.00014779295511276294,0.022899183899483404,0.0836996414221298,0.0812245469923206,0.0005391828778157,0.023311340767983
