trial,gen_baseline,gen_linear,gen_noise,N0_over_D0,N1_over_D0,D1_over_D0,D2_over_D0,slope_fit_error,gen_fit_error
39,6.34047155975975e-05,-2.4455621016305812e-05,0.0017010154474113213,1.0000008604937776,0.003280430252770472,0.006578690378534682,3.7499516633582712,3.530509218307998e-14,1.0995978433347986e-15
40,5.356404552939346e-05,-1.1693668259514685e-05,0.001520805380607849,1.000001135819377,0.0053802251771247755,0.010809299903564207,3.328513801621328,6.994405055138486e-15,1.0026159590059702e-16
41,6.021788002008115e-05,-3.669345179880084e-05,0.0017371077144468343,1.0000011338714507,0.014750889048175564,0.02943868993472111,3.8309991691681047,1.532107773982716e-14,2.6816385483713345e-16
42,5.903476983361069e-05,3.084251207816091e-05,0.0017671947610304363,1.0000009432074435,-0.006281214185947903,-0.012507522623779818,3.386686108929312,8.659739592076221e-15,3.59467230287569e-16
43,6.083735139285919e-05,2.950906290317417e-05,0.0014590349808288592,1.0000007924137138,-0.009328563177410099,-0.01865305258160723,3.2781053379081726,1.2434497875801753e-14,2.383889526752503e-17
44,6.367542293869477e-05,-1.4216948643198203e-05,0.0017620695659726687,1.0000010368671333,-0.012894682786397715,-0.025807948043666578,3.740387451953643,7.105427357601002e-15,9.721227729048154e-17
45,5.9526393952936644e-05,3.0091982941951026e-05,0.004091637541364869,1.0000009673826573,-0.002348706120002264,-0.004584608039305142,8.734524357355987,2.8199664825478976e-14,1.661648249551284e-15
46,6.177432950048773e-05,-4.0666276279663176e-05,0.0018044767903353165,1.0000007490016667,0.021889036394009964,0.043776257961895416,3.1381135817137333,5.440092820663267e-15,1.159960799287929e-16
47,5.619246329202839e-05,3.844244290352421e-05,0.001552096421559702,1.0000008768796922,-0.0318733720135142,-0.06373281520527438,2.9159715458398177,3.885780586188048e-15,4.061692388673821e-17
48,6.415859600973037e-05,3.0117630432662152e-06,0.001464422177433671,1.0000008718290008,0.0013464475817999144,0.00269775977332058,2.7741314113381,5.995204332975845e-15,2.7430314963883262e-17
49,6.070618210412249e-05,6.438617899658111e-06,0.0014717055445390378,1.0000008002549976,-0.0047393231053103335,-0.00947495647239093,2.6508733830849227,6.5503158452884236e-15,4.698661165009055e-17
